	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
Auxenochlorella_protothecoides	4621	2135	839	4251	4216	4472	3984	4225	3935	3138
Chlorella_A99	2135	2714	567	2547	2518	2600	2367	2525	2354	1998
Chlorella_KRBP	839	567	941	915	909	930	933	902	922	788
Chlorella_Sorokiniana1602	4251	2547	915	7077	5977	6399	4959	6162	5055	3885
Chlorella_VariabilisNC64A	4216	2518	909	5977	6844	6400	4987	5901	5090	3926
Chlorella_Vulgaris2111P	4472	2600	930	6399	6400	7492	5221	6346	5298	4115
Coccomyxa_SubellipsoideaC169	3984	2367	933	4959	4987	5221	5903	4929	4942	3878
Micractinium_SAG24180	4225	2525	902	6162	5901	6346	4929	6961	5007	3903
Scenedesmus_NREL	3935	2354	922	5055	5090	5298	4942	5007	7396	5263
Scenedesmus_PABB004	3138	1998	788	3885	3926	4115	3878	3903	5263	5501
