	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
Auxenochlorella_protothecoides	0.0	2348.0	954.0	4551.0	4559.0	4899.0	4358.0	4509.0	4367.0	3347.0
Chlorella_A99	2318.0	0.0	628.0	2836.0	2809.0	2876.0	2654.0	2779.0	2672.0	2189.0
Chlorella_KRBP	843.0	570.0	0.0	918.0	914.0	934.0	938.0	904.0	926.0	790.0
Chlorella_Sorokiniana1602	5378.0	3457.0	1181.0	0.0	7801.0	8288.0	6476.0	7905.0	6747.0	5008.0
Chlorella_VariabilisNC64A	5147.0	3290.0	1122.0	7460.0	0.0	8055.0	6305.0	7285.0	6669.0	4911.0
Chlorella_Vulgaris2111P	5457.0	3326.0	1151.0	8043.0	8310.0	0.0	6536.0	7905.0	6778.0	5082.0
Coccomyxa_SubellipsoideaC169	4679.0	2861.0	1140.0	5871.0	5968.0	6223.0	0.0	5814.0	6186.0	4598.0
Micractinium_SAG24180	5387.0	3425.0	1131.0	7989.0	7749.0	8313.0	6479.0	0.0	6715.0	5001.0
Scenedesmus_NREL	5275.0	3231.0	1273.0	6833.0	7000.0	7242.0	6967.0	6774.0	0.0	7539.0
Scenedesmus_PABB004	3434.0	2230.0	914.0	4361.0	4410.0	4629.0	4384.0	4328.0	6160.0	0.0
