	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
Auxenochlorella_protothecoides	0.0	13.0	0.0	53.0	48.0	60.0	70.0	57.0	124.0	37.0
Chlorella_A99	17.0	0.0	0.0	99.0	61.0	52.0	93.0	62.0	125.0	55.0
Chlorella_KRBP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chlorella_Sorokiniana1602	82.0	129.0	0.0	0.0	283.0	389.0	343.0	489.0	597.0	179.0
Chlorella_VariabilisNC64A	65.0	82.0	0.0	256.0	0.0	204.0	297.0	271.0	537.0	167.0
Chlorella_Vulgaris2111P	69.0	67.0	0.0	451.0	182.0	0.0	307.0	383.0	478.0	172.0
Coccomyxa_SubellipsoideaC169	86.0	96.0	0.0	327.0	283.0	304.0	0.0	332.0	386.0	121.0
Micractinium_SAG24180	83.0	86.0	0.0	453.0	268.0	351.0	292.0	0.0	588.0	221.0
Scenedesmus_NREL	139.0	130.0	0.0	569.0	498.0	486.0	395.0	546.0	0.0	164.0
Scenedesmus_PABB004	32.0	45.0	0.0	189.0	144.0	150.0	94.0	161.0	106.0	0.0
