	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
Auxenochlorella_protothecoides	0.0	221.0	205.0	176.0	160.0	201.0	281.0	198.0	347.0	345.0
Chlorella_A99	205.0	0.0	101.0	137.0	148.0	156.0	246.0	174.0	268.0	292.0
Chlorella_KRBP	2.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0
Chlorella_Sorokiniana1602	1589.0	1132.0	448.0	0.0	1669.0	1671.0	1764.0	1583.0	1777.0	1625.0
Chlorella_VariabilisNC64A	1077.0	868.0	361.0	1018.0	0.0	811.0	1250.0	998.0	1385.0	1280.0
Chlorella_Vulgaris2111P	1188.0	863.0	390.0	1122.0	1211.0	0.0	1299.0	1199.0	1412.0	1266.0
Coccomyxa_SubellipsoideaC169	788.0	572.0	346.0	747.0	749.0	745.0	0.0	773.0	905.0	863.0
Micractinium_SAG24180	1578.0	1138.0	389.0	1690.0	1744.0	1836.0	1848.0	0.0	1784.0	1518.0
Scenedesmus_NREL	1836.0	1181.0	582.0	1973.0	2099.0	2167.0	2227.0	2042.0	0.0	2659.0
Scenedesmus_PABB004	466.0	361.0	215.0	505.0	509.0	511.0	513.0	504.0	417.0	0.0
