	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
Auxenochlorella_protothecoides	0.0	95.0	1.0	698.0	420.0	510.0	332.0	621.0	756.0	193.0
Chlorella_A99	77.0	0.0	0.0	464.0	325.0	341.0	228.0	416.0	477.0	145.0
Chlorella_KRBP	93.0	43.0	0.0	184.0	153.0	173.0	144.0	161.0	235.0	91.0
Chlorella_Sorokiniana1602	83.0	60.0	1.0	0.0	411.0	491.0	314.0	683.0	816.0	200.0
Chlorella_VariabilisNC64A	74.0	65.0	0.0	748.0	0.0	446.0	311.0	696.0	863.0	204.0
Chlorella_Vulgaris2111P	72.0	69.0	0.0	733.0	323.0	0.0	314.0	715.0	896.0	210.0
Coccomyxa_SubellipsoideaC169	130.0	106.0	0.0	742.0	489.0	558.0	0.0	708.0	922.0	205.0
Micractinium_SAG24180	93.0	74.0	1.0	696.0	417.0	518.0	338.0	0.0	839.0	209.0
Scenedesmus_NREL	160.0	118.0	0.0	734.0	519.0	597.0	372.0	682.0	0.0	152.0
Scenedesmus_PABB004	164.0	127.0	0.0	663.0	497.0	534.0	368.0	610.0	1073.0	0.0
