Number of species	10
Number of genes	85710
Number of genes in orthogroups	76147
Number of unassigned genes	9563
Percentage of genes in orthogroups	88.8
Percentage of unassigned genes	11.2
Number of orthogroups	10657
Number of species-specific orthogroups	1319
Number of genes in species-specific orthogroups	4669
Percentage of genes in species-specific orthogroups	5.4
Mean orthogroup size	7.1
Median orthogroup size	6.0
G50 (assigned genes)	9
G50 (all genes)	9
O50 (assigned genes)	2788
O50 (all genes)	3319
Number of orthogroups with all species present	429
Number of single-copy orthogroups	199
Date	2023-08-18
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	8291	77.8	41865	55.0
'1	2083	19.5	25762	33.8
'2	201	1.9	4639	6.1
'3	47	0.4	1597	2.1
'4	12	0.1	516	0.7
'5	7	0.1	363	0.5
'6	5	0.0	319	0.4
'7	4	0.0	298	0.4
'8	2	0.0	170	0.2
'9	2	0.0	186	0.2
'10	0	0.0	0	0.0
11-15	2	0.0	240	0.3
16-20	1	0.0	192	0.3
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	1319
2	1795
3	827
4	727
5	706
6	840
7	1178
8	1478
9	1358
10	429
