	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
Number of genes	5852	3352	947	10384	9780	11141	9839	10070	17398	6947
Number of genes in orthogroups	5342	3216	947	9928	9415	10623	8167	9755	12148	6606
Number of unassigned genes	510	136	0	456	365	518	1672	315	5250	341
Percentage of genes in orthogroups	91.3	95.9	100.0	95.6	96.3	95.4	83.0	96.9	69.8	95.1
Percentage of unassigned genes	8.7	4.1	0.0	4.4	3.7	4.6	17.0	3.1	30.2	4.9
Number of orthogroups containing species	4621	2714	941	7077	6844	7492	5903	6961	7396	5501
Percentage of orthogroups containing species	43.4	25.5	8.8	66.4	64.2	70.3	55.4	65.3	69.4	51.6
Number of species-specific orthogroups	23	16	1	158	47	129	229	130	559	27
Number of genes in species-specific orthogroups	99	35	2	436	138	675	900	348	1934	102
Percentage of genes in species-specific orthogroups	1.7	1.0	0.2	4.2	1.4	6.1	9.1	3.5	11.1	1.5


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	6036	7943	9716	3580	3813	3165	4754	3696	3261	5156
'1	4119	2372	935	5365	5452	5863	4668	5328	4923	4834
'2	404	262	6	1147	931	1177	840	1125	1583	486
'3	70	53	0	342	266	265	211	300	448	105
'4	12	11	0	113	69	83	77	105	198	32
'5	9	3	0	50	42	35	43	45	91	16
'6	3	4	0	25	27	11	12	20	50	6
'7	2	3	0	8	11	10	15	15	23	4
'8	0	2	0	7	15	8	7	6	22	6
'9	0	1	0	5	8	10	10	3	11	4
'10	0	2	0	1	5	3	2	2	5	0
11-15	0	1	0	9	6	12	8	6	25	6
16-20	0	0	0	2	7	4	7	3	10	0
21-50	2	0	0	3	5	8	3	1	7	2
51-100	0	0	0	0	0	2	0	1	0	0
101-150	0	0	0	0	0	0	0	1	0	0
151-200	0	0	0	0	0	1	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	56.6	74.5	91.2	33.6	35.8	29.7	44.6	34.7	30.6	48.4
