Orthogroup	Chlorella_Sorokiniana1602	Chlorella_A99
OG0000001	PRW32527.1 Acetylornithine chloroplastic mitochondrial [Chlorella sorokiniana]	PCFQ01000058.1 g261 [Chlorella sp. A99], PCFQ01000006.1 g3245 [Chlorella sp. A99]
OG0000002	PRW05741.1 reverse transcriptase_R [Chlorella sorokiniana]	PCFQ01000029.1 g2733 [Chlorella sp. A99]
OG0000002	PRW61566.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform A [Chlorella sorokiniana], PRW61567.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform B [Chlorella sorokiniana]	PCFQ01000005.1 g859 [Chlorella sp. A99]
OG0000003	PRW51158.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana], PRW51157.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana]	PCFQ01000003.1 g1036 [Chlorella sp. A99]
OG0000003	PRW59695.1 hypothetical protein C2E21_1633 [Chlorella sorokiniana], PRW60753.1 Zn2+-binding dehydrogenase [Chlorella sorokiniana], PRW50906.1 hypothetical protein C2E21_5437 [Chlorella sorokiniana], PRW45267.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW45268.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW60261.1 Acyl-coenzyme A thioesterase THEM4 [Chlorella sorokiniana], PRW56718.1 hypothetical protein C2E21_4783 [Chlorella sorokiniana], PRW56397.1 hypothetical protein C2E21_4782 [Chlorella sorokiniana], PRW58582.1 hypothetical protein C2E21_3184 [Chlorella sorokiniana]	PCFQ01000002.1 g685 [Chlorella sp. A99]
OG0000003	PRW60976.1 hypothetical protein C2E21_0414 [Chlorella sorokiniana]	PCFQ01000013.1 g3270 [Chlorella sp. A99]
OG0000004	PRW50811.1 squamosa promoter binding [Chlorella sorokiniana], PRW45379.1 squamosa promoter-binding 7 isoform X2 [Chlorella sorokiniana], PRW45644.1 squamosa promoter-binding 12 [Chlorella sorokiniana], PRW55998.1 squamosa promoter-binding 9 [Chlorella sorokiniana], PRW20956.1 squamosa promoter-binding 8 [Chlorella sorokiniana], PRW60887.1 Squamosa promoter-binding 1 [Chlorella sorokiniana], PRW60923.1 squamosa promoter binding [Chlorella sorokiniana], PRW21082.1 Squamosa promoter-binding 16 [Chlorella sorokiniana], PRW20503.1 squamosa promoter-binding 16 [Chlorella sorokiniana], PRW56499.1 squamosa promoter-binding -like _SBP domain_ transcription factor family [Chlorella sorokiniana], PRW20468.1 squamosa promoter-binding 6 [Chlorella sorokiniana]	PCFQ01000079.1 g1475 [Chlorella sp. A99]
OG0000005	PRW60758.1 putative histone H2A variant 3 [Chlorella sorokiniana]	PCFQ01000079.1 g1243 [Chlorella sp. A99]
OG0000005	PRW32926.1 Histone H2A [Chlorella sorokiniana], PRW56969.1 Histone H2A [Chlorella sorokiniana], PRW57065.1 Histone H2A [Chlorella sorokiniana], PRW57122.1 Histone H2A [Chlorella sorokiniana], PRW32953.1 Histone H2A [Chlorella sorokiniana], PRW20373.1 Histone H2A [Chlorella sorokiniana], PRW33066.1 Histone H2A [Chlorella sorokiniana], PRW57339.1 Histone H2A [Chlorella sorokiniana], PRW57021.1 Histone H2A [Chlorella sorokiniana], PRW56948.1 Histone H2A [Chlorella sorokiniana], PRW20423.1 Histone H2A [Chlorella sorokiniana], PRW32875.1 Histone H2A [Chlorella sorokiniana]	PCFQ01000015.1 g2977 [Chlorella sp. A99]
OG0000005	PRW50900.1 Histone H2A [Chlorella sorokiniana]	PCFQ01000015.1 g2985 [Chlorella sp. A99], PCFQ01000015.1 g3006 [Chlorella sp. A99], PCFQ01000015.1 g2995 [Chlorella sp. A99], PCFQ01000015.1 g3024 [Chlorella sp. A99], PCFQ01000015.1 g3044 [Chlorella sp. A99], PCFQ01000005.1 g820 [Chlorella sp. A99], PCFQ01000005.1 g826 [Chlorella sp. A99]
OG0000006	PRW57849.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	PCFQ01000079.1 g1425 [Chlorella sp. A99]
OG0000006	PRW57168.1 kinase [Chlorella sorokiniana]	PCFQ01000009.1 g1704 [Chlorella sp. A99]
OG0000006	PRW60943.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	PCFQ01000002.1 g693 [Chlorella sp. A99], PCFQ01000015.1 g3051 [Chlorella sp. A99]
OG0000006	PRW33836.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	PCFQ01000020.1 g891 [Chlorella sp. A99], PCFQ01000008.1 g1169 [Chlorella sp. A99]
OG0000006	PRW33827.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58265.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61238.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33200.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57831.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57671.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57695.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW45340.1 TKL DRK kinase [Chlorella sorokiniana], PRW33991.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	PCFQ01000082.1 g563 [Chlorella sp. A99]
OG0000007	PRW60378.1 histone H2B [Chlorella sorokiniana], PRW32979.1 Histone [Chlorella sorokiniana], PRW56968.1 Histone [Chlorella sorokiniana], PRW33072.1 Histone [Chlorella sorokiniana], PRW57308.1 Histone [Chlorella sorokiniana], PRW20324.1 Histone [Chlorella sorokiniana], PRW56937.1 Histone isoform A [Chlorella sorokiniana], PRW57408.1 Histone [Chlorella sorokiniana], PRW56936.1 Histone isoform B [Chlorella sorokiniana], PRW32997.1 Histone [Chlorella sorokiniana], PRW33046.1 Histone [Chlorella sorokiniana], PRW33081.1 Histone [Chlorella sorokiniana], PRW57429.1 Histone [Chlorella sorokiniana], PRW57107.1 Histone [Chlorella sorokiniana]	PCFQ01000015.1 g3043 [Chlorella sp. A99], PCFQ01000015.1 g3021 [Chlorella sp. A99], PCFQ01000015.1 g3000 [Chlorella sp. A99], PCFQ01000015.1 g3005 [Chlorella sp. A99], PCFQ01000015.1 g3025 [Chlorella sp. A99]
OG0000008	PRW32932.1 Histone H4 isoform B [Chlorella sorokiniana], PRW20318.1 Histone H4 [Chlorella sorokiniana], PRW57322.1 Histone H4 [Chlorella sorokiniana], PRW32931.1 Histone H4 isoform A [Chlorella sorokiniana], PRW33013.1 Histone H4 [Chlorella sorokiniana]	PCFQ01000015.1 g3004 [Chlorella sp. A99]
OG0000008	PRW57363.1 Histone H4 [Chlorella sorokiniana]	PCFQ01000015.1 g3013 [Chlorella sp. A99]
OG0000008	PRW33065.1 Histone H4 [Chlorella sorokiniana]	PCFQ01000015.1 g2978 [Chlorella sp. A99]
OG0000008	PRW57495.1 Histone H4 [Chlorella sorokiniana]	PCFQ01000015.1 g3022 [Chlorella sp. A99]
OG0000009	PRW61361.1 left border a [Chlorella sorokiniana]	PCFQ01000006.1 g3166 [Chlorella sp. A99]
OG0000009	PRW58939.1 hypothetical protein C2E21_2035 [Chlorella sorokiniana]	PCFQ01000082.1 g599 [Chlorella sp. A99]
