Orthogroup	Coccomyxa_SubellipsoideaC169	Chlorella_KRBP
OG0000005	EIE20029.1 histone 2A variant [Coccomyxa subellipsoidea C-169], EIE19073.1 histone-fold-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE19114.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23631.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19130.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19099.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21864.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21867.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE20587.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01016321.1_1655-2667
OG0000013	EIE24690.1 CbiQ-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE19071.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18318.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22391.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE22392.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26092.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE20575.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE22449.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE19481.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE22450.1 Serine/threonine-protein kinase SRK2J [Coccomyxa subellipsoidea C-169], EIE25930.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22393.1 hypothetical protein COCSUDRAFT_42714 [Coccomyxa subellipsoidea C-169]	QAXK01004822.1_8132-10307
OG0000049	EIE23933.1 hypothetical protein COCSUDRAFT_62462 [Coccomyxa subellipsoidea C-169], EIE24013.1 hypothetical protein COCSUDRAFT_65695 [Coccomyxa subellipsoidea C-169]	QAXK01004561.1_5673-2644
OG0000059	EIE19004.1 intramembrane metalloprotease [Coccomyxa subellipsoidea C-169], EIE19800.1 cobW-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE25747.1 cobW-domain-containing protein [Coccomyxa subellipsoidea C-169]	QAXK01009817.1_2794-231
OG0000060	EIE21789.1 hypothetical protein COCSUDRAFT_17195 [Coccomyxa subellipsoidea C-169], EIE21790.1 hypothetical protein COCSUDRAFT_7070_ partial [Coccomyxa subellipsoidea C-169], EIE24815.1 hypothetical protein COCSUDRAFT_46955 [Coccomyxa subellipsoidea C-169], EIE21788.1 hypothetical protein COCSUDRAFT_42835 [Coccomyxa subellipsoidea C-169], EIE21877.1 putative zinc finger protein_ partial [Coccomyxa subellipsoidea C-169]	QAXK01006650.1_4897-1380
OG0000095	EIE20398.1 DUF1253-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE19833.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169], EIE23231.1 amine oxidase [Coccomyxa subellipsoidea C-169]	QAXK01000980.1_6477-3589
OG0000100	EIE25271.1 hypothetical protein COCSUDRAFT_13722_ partial [Coccomyxa subellipsoidea C-169], EIE19865.1 chaperonin 60A [Coccomyxa subellipsoidea C-169], EIE22901.1 chaperonin 60B2 [Coccomyxa subellipsoidea C-169]	QAXK01004495.1_1525-5952
OG0000102	EIE25521.1 uracil DNA-glycosylase [Coccomyxa subellipsoidea C-169], EIE25370.1 ferredoxin-dependent glutamate synthase [Coccomyxa subellipsoidea C-169], EIE24001.1 glutamate synthase_ NADH-dependent [Coccomyxa subellipsoidea C-169]	QAXK01002229.1_29280-27595
OG0000106	EIE24632.1 aldose 1-epimerase [Coccomyxa subellipsoidea C-169], EIE18881.1 aldose 1-epimerase [Coccomyxa subellipsoidea C-169], EIE26900.1 farnesyl-diphosphate farnesyltransferase [Coccomyxa subellipsoidea C-169]	QAXK01000521.1_8215-4849
OG0000116	EIE27567.1 ferredoxin_ partial [Coccomyxa subellipsoidea C-169], EIE20433.1 chloroplast ferredoxin [Coccomyxa subellipsoidea C-169], EIE19276.1 ferredoxin [Coccomyxa subellipsoidea C-169]	QAXK01010643.1_4647-4102
