Orthogroup	Coccomyxa_SubellipsoideaC169	Scenedesmus_NREL
OG0000001	EIE26998.1 hypothetical protein COCSUDRAFT_39934 [Coccomyxa subellipsoidea C-169], EIE22175.1 hypothetical protein COCSUDRAFT_55870 [Coccomyxa subellipsoidea C-169]	KAF6265258.1 hypothetical protein COO60DRAFT_1623924_ partial [Scenedesmus sp. NREL 46B-D3]
OG0000002	EIE18168.1 hypothetical protein COCSUDRAFT_60541 [Coccomyxa subellipsoidea C-169]	KAF6258605.1 hypothetical protein COO60DRAFT_1639043 [Scenedesmus sp. NREL 46B-D3], KAF6257144.1 flagellar associated protein [Scenedesmus sp. NREL 46B-D3]
OG0000003	EIE23278.1 hypothetical protein COCSUDRAFT_47573 [Coccomyxa subellipsoidea C-169]	KAF6261474.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6265839.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0000003	EIE27713.1 hypothetical protein COCSUDRAFT_55699 [Coccomyxa subellipsoidea C-169]	KAF6263597.1 SGNH hydrolase-type esterase domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000003	EIE19265.1 hypothetical protein COCSUDRAFT_58561 [Coccomyxa subellipsoidea C-169]	KAF6266240.1 hypothetical protein COO60DRAFT_1632898 [Scenedesmus sp. NREL 46B-D3], KAF6248448.1 hypothetical protein COO60DRAFT_1648906 [Scenedesmus sp. NREL 46B-D3]
OG0000003	EIE27712.1 hypothetical protein COCSUDRAFT_55698 [Coccomyxa subellipsoidea C-169]	KAF6263598.1 phosphoribosyltransferase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000004	EIE27634.1 SBP-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAF6260400.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000005	EIE19073.1 histone-fold-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE19114.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23631.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19130.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19099.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21864.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21867.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE20587.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]	KAF6252076.1 hypothetical protein COO60DRAFT_1251114_ partial [Scenedesmus sp. NREL 46B-D3], KAF6252084.1 hypothetical protein COO60DRAFT_1257178_ partial [Scenedesmus sp. NREL 46B-D3], KAF6263025.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254739.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6240835.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000006	EIE18296.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20275.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20985.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	KAF6263287.1 kinase-like domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253127.1 hypothetical protein COO60DRAFT_1463350 [Scenedesmus sp. NREL 46B-D3]
OG0000007	EIE21546.1 hypothetical protein COCSUDRAFT_17575 [Coccomyxa subellipsoidea C-169], EIE19157.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19113.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE23632.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21863.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19131.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19100.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21868.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE18782.1 putative histone H2B [Coccomyxa subellipsoidea C-169]	KAF6252075.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6248398.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6252085.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253507.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253137.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253540.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253534.1 histone H2B type 1-C/E/F/G/I-like protein [Scenedesmus sp. NREL 46B-D3], KAF6240836.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6266598.1 putative histone [Scenedesmus sp. NREL 46B-D3]
OG0000008	EIE19112.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19132.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21862.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23633.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21869.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19101.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]	KAF6253689.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253539.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252081.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252086.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248397.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253533.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248395.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252074.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253506.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000009	EIE19508.1 hypothetical protein COCSUDRAFT_83559 [Coccomyxa subellipsoidea C-169]	KAF6250026.1 hypothetical protein COO60DRAFT_912941 [Scenedesmus sp. NREL 46B-D3]
OG0000009	EIE27622.1 hypothetical protein COCSUDRAFT_39238 [Coccomyxa subellipsoidea C-169]	KAF6242295.1 hypothetical protein COO60DRAFT_206430 [Scenedesmus sp. NREL 46B-D3]
OG0000011	EIE23922.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE23924.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE19365.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26735.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18365.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE26174.1 hypothetical protein COCSUDRAFT_46522 [Coccomyxa subellipsoidea C-169], EIE18397.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20425.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE20426.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE20544.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	KAF6265892.1 hypothetical protein COO60DRAFT_768059 [Scenedesmus sp. NREL 46B-D3], KAF6265889.1 hypothetical protein COO60DRAFT_1697568 [Scenedesmus sp. NREL 46B-D3]
OG0000011	EIE22674.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE27156.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	KAF6258193.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263888.1 hypothetical protein COO60DRAFT_308005 [Scenedesmus sp. NREL 46B-D3], KAF6255294.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255835.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266356.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265430.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000011	EIE18704.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	KAF6260297.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000011	EIE18366.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6263742.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000011	EIE25815.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	KAF6263821.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000011	EIE23923.1 hypothetical protein COCSUDRAFT_62452 [Coccomyxa subellipsoidea C-169]	KAF6262439.1 hypothetical protein COO60DRAFT_627220 [Scenedesmus sp. NREL 46B-D3], KAF6262437.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6237056.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256414.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000013	EIE18318.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	KAF6263511.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263514.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257324.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255583.1 Snf1-like ser/thr protein kinase [Scenedesmus sp. NREL 46B-D3]
OG0000013	EIE22391.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169]	KAF6258910.1 Snf1-like protein kinase [Scenedesmus sp. NREL 46B-D3]
OG0000013	EIE25930.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	KAF6262199.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256418.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000013	EIE22393.1 hypothetical protein COCSUDRAFT_42714 [Coccomyxa subellipsoidea C-169]	KAF6256672.1 Rab3 GTPase-activating protein catalytic subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	EIE18936.1 cyclophilin-like protein [Coccomyxa subellipsoidea C-169]	KAF6256541.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	EIE20388.1 gcip-interacting family protein-like protein [Coccomyxa subellipsoidea C-169]	KAF6264995.1 hypothetical protein COO60DRAFT_1698077 [Scenedesmus sp. NREL 46B-D3]
OG0000014	EIE22797.1 cyclophilin_ partial [Coccomyxa subellipsoidea C-169]	KAF6259760.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	EIE27323.1 hypothetical protein COCSUDRAFT_11218_ partial [Coccomyxa subellipsoidea C-169]	KAF6258195.1 cyclophilin-type peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. NREL 46B-D3]
OG0000014	EIE25709.1 hypothetical protein COCSUDRAFT_12651 [Coccomyxa subellipsoidea C-169]	KAF6253704.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000014	EIE23164.1 hypothetical protein COCSUDRAFT_47524 [Coccomyxa subellipsoidea C-169]	KAF6259651.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000015	EIE18190.1 polymerase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20037.1 polymerase-like protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6251559.1 hypothetical protein COO60DRAFT_1644892 [Scenedesmus sp. NREL 46B-D3]
OG0000016	EIE19689.1 mitochondrial carrier_ partial [Coccomyxa subellipsoidea C-169]	KAF6257509.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000016	EIE19676.1 polyubiquitin [Coccomyxa subellipsoidea C-169]	KAF6265710.1 polyubiquitin [Scenedesmus sp. NREL 46B-D3]
OG0000016	EIE20101.1 hypothetical protein COCSUDRAFT_44063 [Coccomyxa subellipsoidea C-169]	KAF6264040.1 ubiquitin-like protein 1 [Scenedesmus sp. NREL 46B-D3], KAF6264957.1 hypothetical protein COO60DRAFT_1634011 [Scenedesmus sp. NREL 46B-D3]
OG0000016	EIE20343.1 polyubiquitin precursor_ partial [Coccomyxa subellipsoidea C-169]	KAF6256916.1 hypothetical protein COO60DRAFT_1640361 [Scenedesmus sp. NREL 46B-D3]
OG0000016	EIE25290.1 ubiquitin fusion protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6262261.1 ubiquitin extension protein [Scenedesmus sp. NREL 46B-D3]
OG0000018	EIE25106.1 Homeodomain-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE24716.1 hypothetical protein COCSUDRAFT_46919 [Coccomyxa subellipsoidea C-169]	KAF6252740.1 hypothetical protein COO60DRAFT_502322 [Scenedesmus sp. NREL 46B-D3], KAF6253083.1 hypothetical protein COO60DRAFT_469421 [Scenedesmus sp. NREL 46B-D3]
OG0000018	EIE22491.1 Homeodomain-like protein_ partial [Coccomyxa subellipsoidea C-169]	KAF6259699.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000018	EIE25222.1 hypothetical protein COCSUDRAFT_35694 [Coccomyxa subellipsoidea C-169]	KAF6262542.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6256388.1 hypothetical protein COO60DRAFT_115932 [Scenedesmus sp. NREL 46B-D3]
OG0000018	EIE25757.1 hypothetical protein COCSUDRAFT_12896_ partial [Coccomyxa subellipsoidea C-169]	KAF6251055.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]
