Orthogroup	Scenedesmus_PABB004	Coccomyxa_SubellipsoideaC169
OG0000002	KAF8059971.1 RE1 [Scenedesmus sp. PABB004]	EIE18168.1 hypothetical protein COCSUDRAFT_60541 [Coccomyxa subellipsoidea C-169]
OG0000003	KAF8071037.1 hypothetical protein HT031_001119 [Scenedesmus sp. PABB004]	EIE23278.1 hypothetical protein COCSUDRAFT_47573 [Coccomyxa subellipsoidea C-169]
OG0000003	KAF8072564.1 phosphoribosyl transferase [Scenedesmus sp. PABB004]	EIE27713.1 hypothetical protein COCSUDRAFT_55699 [Coccomyxa subellipsoidea C-169]
OG0000003	KAF8062809.1 hypothetical protein HT031_004139 [Scenedesmus sp. PABB004], KAF8057926.1 hypothetical protein HT031_005872 [Scenedesmus sp. PABB004], KAF8057889.1 hypothetical protein HT031_005835 [Scenedesmus sp. PABB004], KAF8069512.1 ASAT1 [Scenedesmus sp. PABB004]	EIE19265.1 hypothetical protein COCSUDRAFT_58561 [Coccomyxa subellipsoidea C-169]
OG0000004	KAF8073156.1 SPL3 [Scenedesmus sp. PABB004]	EIE27634.1 SBP-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000005	KAF8069675.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069689.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069662.1 Histone H2A-IV [Scenedesmus sp. PABB004]	EIE19073.1 histone-fold-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE19114.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23631.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19130.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19099.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21864.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21867.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE20587.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]
OG0000006	KAF8069681.1 drkC [Scenedesmus sp. PABB004]	EIE18296.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20275.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20985.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000008	KAF8069669.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069673.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069657.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069678.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069686.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069659.1 Histone H4 [Scenedesmus sp. PABB004]	EIE19112.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19132.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21862.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23633.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21869.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19101.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]
OG0000011	KAF8066337.1 Map3k12 [Scenedesmus sp. PABB004]	EIE22674.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE27156.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000011	KAF8057650.1 DNA-directed RNA polymerase II subunit RPB7 [Scenedesmus sp. PABB004], KAF8057640.1 HT1 [Scenedesmus sp. PABB004], KAF8066284.1 Gucy1b1 [Scenedesmus sp. PABB004], KAF8072490.1 Map3k20 [Scenedesmus sp. PABB004]	EIE23923.1 hypothetical protein COCSUDRAFT_62452 [Coccomyxa subellipsoidea C-169]
OG0000012	KAF8069674.1 histone H3 [Scenedesmus sp. PABB004]	EIE21870.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19169.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE23634.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19102.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19133.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19111.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE21861.1 histone H3 [Coccomyxa subellipsoidea C-169]
OG0000013	KAF8060557.1 SRK2G [Scenedesmus sp. PABB004]	EIE18318.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000013	KAF8069392.1 SRK2A [Scenedesmus sp. PABB004]	EIE22391.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169]
