Orthogroup	Species	Chlorella_KRBP	Orthologs
OG0000005	Chlorella_Vulgaris2111P	QAXK01016321.1_1655-2667	KAI3429680.1 hypothetical protein D9Q98_005765 [Chlorella vulgaris], KAI3424375.1 hypothetical protein D9Q98_009928 [Chlorella vulgaris], KAI3424432.1 hypothetical protein D9Q98_009984 [Chlorella vulgaris], KAI3424402.1 hypothetical protein D9Q98_009955 [Chlorella vulgaris], KAI3428571.1 hypothetical protein D9Q98_007393 [Chlorella vulgaris], KAI3424353.1 hypothetical protein D9Q98_009906 [Chlorella vulgaris], KAI3424410.1 hypothetical protein D9Q98_009962 [Chlorella vulgaris], KAI3424383.1 hypothetical protein D9Q98_009936 [Chlorella vulgaris], KAI3428592.1 hypothetical protein D9Q98_007415 [Chlorella vulgaris], KAI3427071.1 hypothetical protein D9Q98_007011 [Chlorella vulgaris], KAI3429597.1 hypothetical protein D9Q98_005683 [Chlorella vulgaris]
OG0000005	Chlorella_A99	QAXK01016321.1_1655-2667	PCFQ01000079.1 g1243 [Chlorella sp. A99], PCFQ01000015.1 g2977 [Chlorella sp. A99], PCFQ01000015.1 g2985 [Chlorella sp. A99], PCFQ01000015.1 g3006 [Chlorella sp. A99], PCFQ01000015.1 g2995 [Chlorella sp. A99], PCFQ01000015.1 g3024 [Chlorella sp. A99], PCFQ01000015.1 g3044 [Chlorella sp. A99], PCFQ01000005.1 g820 [Chlorella sp. A99], PCFQ01000005.1 g826 [Chlorella sp. A99], PCFQ01000018.1 g424 [Chlorella sp. A99], PCFQ01000001.1 g977 [Chlorella sp. A99], PCFQ01000015.1 g3014 [Chlorella sp. A99]
OG0000005	Chlorella_VariabilisNC64A	QAXK01016321.1_1655-2667	XP_005851876.1 hypothetical protein CHLNCDRAFT_133450 [Chlorella variabilis], XP_005843647.1 hypothetical protein CHLNCDRAFT_54989 [Chlorella variabilis], XP_005843638.1 hypothetical protein CHLNCDRAFT_54972 [Chlorella variabilis], XP_005847129.1 hypothetical protein CHLNCDRAFT_52799 [Chlorella variabilis], XP_005843094.1 hypothetical protein CHLNCDRAFT_28450 [Chlorella variabilis], XP_005843702.1 hypothetical protein CHLNCDRAFT_27894 [Chlorella variabilis], XP_005848689.1 hypothetical protein CHLNCDRAFT_21904 [Chlorella variabilis], XP_005852170.1 hypothetical protein CHLNCDRAFT_48410 [Chlorella variabilis]
OG0000005	Chlorella_Sorokiniana1602	QAXK01016321.1_1655-2667	PRW60758.1 putative histone H2A variant 3 [Chlorella sorokiniana], PRW32926.1 Histone H2A [Chlorella sorokiniana], PRW56969.1 Histone H2A [Chlorella sorokiniana], PRW57065.1 Histone H2A [Chlorella sorokiniana], PRW57122.1 Histone H2A [Chlorella sorokiniana], PRW32953.1 Histone H2A [Chlorella sorokiniana], PRW20373.1 Histone H2A [Chlorella sorokiniana], PRW33066.1 Histone H2A [Chlorella sorokiniana], PRW57339.1 Histone H2A [Chlorella sorokiniana], PRW57021.1 Histone H2A [Chlorella sorokiniana], PRW56948.1 Histone H2A [Chlorella sorokiniana], PRW20423.1 Histone H2A [Chlorella sorokiniana], PRW32875.1 Histone H2A [Chlorella sorokiniana], PRW50900.1 Histone H2A [Chlorella sorokiniana]
OG0000005	Coccomyxa_SubellipsoideaC169	QAXK01016321.1_1655-2667	EIE20029.1 histone 2A variant [Coccomyxa subellipsoidea C-169], EIE19073.1 histone-fold-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE19114.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23631.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19130.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19099.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21864.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21867.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE20587.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]
OG0000005	Scenedesmus_NREL	QAXK01016321.1_1655-2667	KAF6246278.1 histone 2A variant [Scenedesmus sp. NREL 46B-D3], KAF6252076.1 hypothetical protein COO60DRAFT_1251114_ partial [Scenedesmus sp. NREL 46B-D3], KAF6252084.1 hypothetical protein COO60DRAFT_1257178_ partial [Scenedesmus sp. NREL 46B-D3], KAF6263025.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254739.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6240835.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262800.1 histone-fold-containing protein_ partial [Scenedesmus sp. NREL 46B-D3]
OG0000005	Scenedesmus_PABB004	QAXK01016321.1_1655-2667	KAF8062745.1 histone H2A variant 2 [Scenedesmus sp. PABB004], KAF8069675.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069689.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069662.1 Histone H2A-IV [Scenedesmus sp. PABB004]
OG0000005	Micractinium_SAG24180	QAXK01016321.1_1655-2667	PSC71167.1 Histone H2A [Micractinium conductrix], PSC72168.1 Histone H2A [Micractinium conductrix], PSC72080.1 Histone H2A [Micractinium conductrix], PSC72210.1 Histone H2A [Micractinium conductrix], PSC72098.1 Histone H2A [Micractinium conductrix], PSC72071.1 Histone H2A [Micractinium conductrix], PSC68321.1 Histone H2A [Micractinium conductrix], PSC71227.1 Histone H2A [Micractinium conductrix], PSC68329.1 Histone H2A [Micractinium conductrix], PSC71104.1 Histone H2A [Micractinium conductrix], PSC71088.1 Histone H2A [Micractinium conductrix], PSC72221.1 Histone H2A [Micractinium conductrix], PSC69436.1 Histone H2A [Micractinium conductrix]
OG0000005	Auxenochlorella_protothecoides	QAXK01016321.1_1655-2667	RMZ53759.1 hypothetical protein APUTEX25_003898 [Auxenochlorella protothecoides], RMZ52566.1 hypothetical protein APUTEX25_003709 [Auxenochlorella protothecoides], RMZ52574.1 hypothetical protein APUTEX25_003717_ partial [Auxenochlorella protothecoides], RMZ55637.1 hypothetical protein APUTEX25_000220_ partial [Auxenochlorella protothecoides], RMZ53009.1 hypothetical protein APUTEX25_001128_ partial [Auxenochlorella protothecoides], RMZ54523.1 hypothetical protein APUTEX25_002099 [Auxenochlorella protothecoides]
OG0000013	Chlorella_VariabilisNC64A	QAXK01004822.1_8132-10307	XP_005849557.1 hypothetical protein CHLNCDRAFT_30391 [Chlorella variabilis], XP_005842607.1 hypothetical protein CHLNCDRAFT_59511_ partial [Chlorella variabilis], XP_005848350.1 hypothetical protein CHLNCDRAFT_145069 [Chlorella variabilis], XP_005849558.1 hypothetical protein CHLNCDRAFT_34706 [Chlorella variabilis], XP_005849560.1 hypothetical protein CHLNCDRAFT_57249 [Chlorella variabilis], XP_005849559.1 hypothetical protein CHLNCDRAFT_142950 [Chlorella variabilis], XP_005851920.1 hypothetical protein CHLNCDRAFT_33664 [Chlorella variabilis], XP_005849819.1 expressed protein [Chlorella variabilis]
