Orthogroup	Scenedesmus_NREL	Chlorella_KRBP
OG0000005	KAF6246278.1 histone 2A variant [Scenedesmus sp. NREL 46B-D3], KAF6252076.1 hypothetical protein COO60DRAFT_1251114_ partial [Scenedesmus sp. NREL 46B-D3], KAF6252084.1 hypothetical protein COO60DRAFT_1257178_ partial [Scenedesmus sp. NREL 46B-D3], KAF6263025.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254739.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6240835.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262800.1 histone-fold-containing protein_ partial [Scenedesmus sp. NREL 46B-D3]	QAXK01016321.1_1655-2667
OG0000013	KAF6252425.1 cobalt transport protein [Scenedesmus sp. NREL 46B-D3], KAF6250537.1 hypothetical protein COO60DRAFT_808178 [Scenedesmus sp. NREL 46B-D3], KAF6250536.1 hypothetical protein COO60DRAFT_1629611 [Scenedesmus sp. NREL 46B-D3], KAF6248250.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263511.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263514.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257324.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255583.1 Snf1-like ser/thr protein kinase [Scenedesmus sp. NREL 46B-D3], KAF6258910.1 Snf1-like protein kinase [Scenedesmus sp. NREL 46B-D3], KAF6262199.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256418.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256672.1 Rab3 GTPase-activating protein catalytic subunit-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01004822.1_8132-10307
OG0000049	KAF6260775.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250885.1 histidine phosphatase superfamily [Scenedesmus sp. NREL 46B-D3], KAF6260064.1 hypothetical protein COO60DRAFT_1686201 [Scenedesmus sp. NREL 46B-D3], KAF6254669.1 hypothetical protein COO60DRAFT_296766 [Scenedesmus sp. NREL 46B-D3], KAF6251092.1 eukaryotic translation initiation factor 2B alpha [Scenedesmus sp. NREL 46B-D3]	QAXK01004561.1_5673-2644
OG0000059	KAF6256534.1 intramembrane metalloprotease [Scenedesmus sp. NREL 46B-D3], KAF6264360.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256533.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264285.1 CobW/HypB/UreG_ nucleotide-binding domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01009817.1_2794-231
OG0000060	KAF6264570.1 hypothetical protein COO60DRAFT_1698180 [Scenedesmus sp. NREL 46B-D3], KAF6252347.1 hypothetical protein COO60DRAFT_1644120 [Scenedesmus sp. NREL 46B-D3], KAF6250815.1 hypothetical protein COO60DRAFT_1298823 [Scenedesmus sp. NREL 46B-D3]	QAXK01006650.1_4897-1380
OG0000095	KAF6265709.1 digestive organ expansion factor [Scenedesmus sp. NREL 46B-D3], KAF6265697.1 hypothetical protein COO60DRAFT_868721 [Scenedesmus sp. NREL 46B-D3], KAF6265696.1 hypothetical protein COO60DRAFT_868698 [Scenedesmus sp. NREL 46B-D3], KAF6250576.1 hypothetical protein COO60DRAFT_1705674 [Scenedesmus sp. NREL 46B-D3], KAF6251044.1 hypothetical protein COO60DRAFT_1645535 [Scenedesmus sp. NREL 46B-D3]	QAXK01000980.1_6477-3589
OG0000100	KAF6264645.1 hypothetical protein COO60DRAFT_1470258 [Scenedesmus sp. NREL 46B-D3], KAF6261137.1 chaperonin 60A [Scenedesmus sp. NREL 46B-D3], KAF6259379.1 chaperonin 60B2 [Scenedesmus sp. NREL 46B-D3]	QAXK01004495.1_1525-5952
OG0000102	KAF6252716.1 uracil-DNA glycosylase Ung2 [Scenedesmus sp. NREL 46B-D3], KAF6263529.1 ferredoxin-dependent glutamate synthase [Scenedesmus sp. NREL 46B-D3], KAF6263375.1 hypothetical protein COO60DRAFT_459133 [Scenedesmus sp. NREL 46B-D3], KAF6261166.1 uracil-DNA glycosylase-like protein [Scenedesmus sp. NREL 46B-D3]	QAXK01002229.1_29280-27595
OG0000106	KAF6257191.1 aldose-1-epimerase [Scenedesmus sp. NREL 46B-D3], KAF6259777.1 galactose mutarotase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264647.1 farnesyl-diphosphate farnesyltransferase [Scenedesmus sp. NREL 46B-D3]	QAXK01000521.1_8215-4849
OG0000116	KAF6260622.1 putative ferredoxin [Scenedesmus sp. NREL 46B-D3], KAF6251762.1 chloroplast ferredoxin [Scenedesmus sp. NREL 46B-D3], KAF6265058.1 2Fe-2S ferredoxin-type domain-containing protein [Scenedesmus sp. NREL 46B-D3]	QAXK01010643.1_4647-4102
