Orthogroup	Scenedesmus_PABB004	Micractinium_SAG24180
OG0000002	KAF8059971.1 RE1 [Scenedesmus sp. PABB004]	PSC69335.1 reverse transcriptase_R [Micractinium conductrix], PSC67096.1 reverse transcriptase_R [Micractinium conductrix]
OG0000002	KAF8056151.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8064476.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8057710.1 hypothetical protein HT031_005894 [Scenedesmus sp. PABB004], KAF8055039.1 hypothetical protein HT031_006855 [Scenedesmus sp. PABB004]	PSC68225.1 Gag-Pol poly_ partial [Micractinium conductrix], PSC67710.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC69623.1 Gag-Pol poly_ partial [Micractinium conductrix], PSC76734.1 Gag-Pol poly [Micractinium conductrix], PSC73936.1 Gag-Pol poly [Micractinium conductrix], PSC67030.1 Gag-Pol poly [Micractinium conductrix], PSC67709.1 Gag-Pol poly [Micractinium conductrix], PSC67010.1 Gag-Pol poly [Micractinium conductrix], PSC67032.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC67003.1 Gag-Pol poly [Micractinium conductrix], PSC67599.1 Gag-Pol poly [Micractinium conductrix], PSC67725.1 Gag-Pol poly [Micractinium conductrix], PSC74416.1 Gag-Pol poly [Micractinium conductrix], PSC67044.1 Retrovirus-related Pol poly from transposon TNT 1-94_ partial [Micractinium conductrix], PSC74555.1 Gag-Pol poly [Micractinium conductrix], PSC67759.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC67744.1 Gag-Pol poly [Micractinium conductrix], PSC67207.1 hypothetical protein C2E20_9092 [Micractinium conductrix], PSC68713.1 hypothetical protein C2E20_7772_ partial [Micractinium conductrix], PSC76226.1 with ribonuclease H-like and integrase domains isoform A [Micractinium conductrix], PSC76225.1 with ribonuclease H-like and integrase domains isoform B [Micractinium conductrix], PSC75096.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC67713.1 hypothetical protein C2E20_8660 [Micractinium conductrix], PSC68653.1 retrotransposon Ty1-copia subclass [Micractinium conductrix], PSC67600.1 F-box protein [Micractinium conductrix], PSC69326.1 hypothetical protein C2E20_7064 [Micractinium conductrix], PSC67021.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC67073.1 Gag-Pol poly_ partial [Micractinium conductrix], PSC67019.1 Retrovirus-related Pol poly from transposon TNT 1-94_ partial [Micractinium conductrix], PSC69379.1 Gag-Pol poly [Micractinium conductrix], PSC74768.1 Gag-Pol poly [Micractinium conductrix], PSC67580.1 Gag-Pol poly [Micractinium conductrix], PSC68659.1 Gag-Pol poly [Micractinium conductrix], PSC67063.1 Gag-Pol poly [Micractinium conductrix], PSC67111.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC67031.1 retrotransposon with Ribonuclease H-like superfamily and integrase domain [Micractinium conductrix], PSC67043.1 retrotransposon Ty1-copia subclass [Micractinium conductrix], PSC67053.1 Retrovirus-related Pol poly from transposon TNT 1-94_ partial [Micractinium conductrix], PSC67594.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC67067.1 Retrovirus-related Pol poly from transposon TNT 1-94_ partial [Micractinium conductrix], PSC67027.1 Gag-Pol poly_ partial [Micractinium conductrix], PSC67037.1 reverse transcriptase_R_ partial [Micractinium conductrix], PSC76941.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC68535.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC75692.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform A [Micractinium conductrix], PSC67636.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC75691.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform B [Micractinium conductrix]
OG0000002	KAF8054533.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8072702.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8056152.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8054650.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8054775.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055044.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055043.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055041.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055042.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8059219.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8063819.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8057297.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8060630.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8071195.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8071196.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8054843.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8057708.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8061284.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8054514.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055085.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004]	PSC67038.1 retrotransposon Ty1-copia subclass [Micractinium conductrix], PSC67022.1 reverse gag-pol poly_ partial [Micractinium conductrix]
OG0000003	KAF8071037.1 hypothetical protein HT031_001119 [Scenedesmus sp. PABB004]	PSC74069.1 hypothetical protein C2E20_2567 [Micractinium conductrix]
OG0000004	KAF8073156.1 SPL3 [Scenedesmus sp. PABB004]	PSC71250.1 squamosa promoter-binding 9 [Micractinium conductrix], PSC71709.1 squamosa promoter-binding 9 [Micractinium conductrix]
OG0000004	KAF8071295.1 SPL5 [Scenedesmus sp. PABB004]	PSC74766.1 squamosa promoter-binding 16 [Micractinium conductrix], PSC74759.1 copper responsive regulator 1 [Micractinium conductrix]
OG0000004	KAF8057876.1 SPL3 [Scenedesmus sp. PABB004], KAF8057875.1 SPL3 [Scenedesmus sp. PABB004]	PSC74248.1 squamosa promoter-binding 6 isoform X1 [Micractinium conductrix], PSC71707.1 squamosa promoter-binding 15 [Micractinium conductrix], PSC69488.1 Squamosa promoter-binding 11 [Micractinium conductrix], PSC68538.1 squamosa promoter-binding 3 [Micractinium conductrix]
OG0000005	KAF8069675.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069689.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069662.1 Histone H2A-IV [Scenedesmus sp. PABB004]	PSC69436.1 Histone H2A [Micractinium conductrix]
OG0000006	KAF8069681.1 drkC [Scenedesmus sp. PABB004]	PSC74167.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC72144.1 kinase [Micractinium conductrix], PSC70863.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC74168.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC69274.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC70242.1 Serine threonine-kinase CTR1 [Micractinium conductrix]
OG0000008	KAF8069669.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069673.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069657.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069678.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069686.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069659.1 Histone H4 [Scenedesmus sp. PABB004]	PSC71213.1 Histone H4 [Micractinium conductrix], PSC72310.1 Histone H4 [Micractinium conductrix], PSC68336.1 Histone H4 [Micractinium conductrix], PSC72060.1 Histone H4 [Micractinium conductrix], PSC71092.1 Histone H4 [Micractinium conductrix], PSC72143.1 Histone H4 [Micractinium conductrix], PSC72347.1 Histone H4 [Micractinium conductrix], PSC68363.1 Histone H4 [Micractinium conductrix], PSC72279.1 Histone H4 [Micractinium conductrix], PSC72277.1 Histone H4 [Micractinium conductrix], PSC74522.1 Histone H4 [Micractinium conductrix]
OG0000011	KAF8066337.1 Map3k12 [Scenedesmus sp. PABB004]	PSC76957.1 kinase [Micractinium conductrix], PSC69706.1 kinase [Micractinium conductrix], PSC69656.1 kinase [Micractinium conductrix], PSC72637.1 kinase [Micractinium conductrix]
OG0000012	KAF8069656.1 histone H3 [Scenedesmus sp. PABB004], KAF8069687.1 histone H3 [Scenedesmus sp. PABB004]	PSC72203.1 histone H3 [Micractinium conductrix]
OG0000012	KAF8069674.1 histone H3 [Scenedesmus sp. PABB004]	PSC72265.1 histone H3 [Micractinium conductrix], PSC72335.1 histone H3 [Micractinium conductrix]
OG0000013	KAF8060557.1 SRK2G [Scenedesmus sp. PABB004]	PSC70880.1 sulfur stress regulator [Micractinium conductrix]
OG0000013	KAF8069392.1 SRK2A [Scenedesmus sp. PABB004]	PSC67849.1 hypothetical protein C2E20_8527 [Micractinium conductrix]
OG0000014	KAF8070918.1 PCKR1 [Scenedesmus sp. PABB004]	PSC68358.1 peptidyl-prolyl cis-trans isomerase CYP19-3 [Micractinium conductrix]
OG0000014	KAF8061127.1 CYP20-1 [Scenedesmus sp. PABB004]	PSC73928.1 peptidyl-prolyl cis-trans isomerase [Micractinium conductrix]
OG0000014	KAF8055596.1 peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. PABB004]	PSC72208.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Micractinium conductrix]
