Orthogroup	Chlorella_KRBP	Chlorella_Sorokiniana1602
OG0000005	QAXK01016321.1_1655-2667	PRW60758.1 putative histone H2A variant 3 [Chlorella sorokiniana], PRW32926.1 Histone H2A [Chlorella sorokiniana], PRW56969.1 Histone H2A [Chlorella sorokiniana], PRW57065.1 Histone H2A [Chlorella sorokiniana], PRW57122.1 Histone H2A [Chlorella sorokiniana], PRW32953.1 Histone H2A [Chlorella sorokiniana], PRW20373.1 Histone H2A [Chlorella sorokiniana], PRW33066.1 Histone H2A [Chlorella sorokiniana], PRW57339.1 Histone H2A [Chlorella sorokiniana], PRW57021.1 Histone H2A [Chlorella sorokiniana], PRW56948.1 Histone H2A [Chlorella sorokiniana], PRW20423.1 Histone H2A [Chlorella sorokiniana], PRW32875.1 Histone H2A [Chlorella sorokiniana], PRW50900.1 Histone H2A [Chlorella sorokiniana]
OG0000013	QAXK01004822.1_8132-10307	PRW20807.1 sulfur stress regulator [Chlorella sorokiniana], PRW33203.1 Serine threonine- kinase SAPK1 [Chlorella sorokiniana], PRW44937.1 sulfur stress regulator [Chlorella sorokiniana], PRW58909.1 sulfur stress regulator [Chlorella sorokiniana], PRW59234.1 sulfur stress regulator [Chlorella sorokiniana], PRW59170.1 sulfur stress regulator isoform A [Chlorella sorokiniana], PRW59171.1 sulfur stress regulator isoform B [Chlorella sorokiniana], PRW60419.1 serine threonine- kinase [Chlorella sorokiniana], PRW58940.1 serine threonine- kinase Nek1 isoform X5 [Chlorella sorokiniana]
OG0000049	QAXK01004561.1_5673-2644	PRW59120.1 hypothetical protein C2E21_2482 [Chlorella sorokiniana], PRW58828.1 putative ubiquitin-like-specific protease 2B isoform X1 [Chlorella sorokiniana], PRW55925.1 translation initiation factor fusion with methylthioribose kinase [Chlorella sorokiniana]
OG0000059	QAXK01009817.1_2794-231	PRW21133.1 putative GTP-binding -like isoform B [Chlorella sorokiniana], PRW21134.1 putative GTP-binding -like isoform A [Chlorella sorokiniana], PRW59349.1 cobalamin biosynthesis [Chlorella sorokiniana], PRW58648.1 cobalamin biosynthesis [Chlorella sorokiniana], PRW32945.1 zinc metalloprotease [Chlorella sorokiniana]
OG0000060	QAXK01006650.1_4897-1380	PRW58431.1 LOV domain-containing [Chlorella sorokiniana], PRW20982.1 LOV domain-containing isoform B [Chlorella sorokiniana], PRW20983.1 LOV domain-containing isoform A [Chlorella sorokiniana]
OG0000095	QAXK01000980.1_6477-3589	PRW59313.1 U3 small nucleolar RNA-associated 25 [Chlorella sorokiniana], PRW44628.1 carotene isomerase [Chlorella sorokiniana], PRW44291.1 ABC transporter A family member 7-like isoform B [Chlorella sorokiniana], PRW44290.1 ABC transporter A family member 7-like isoform C [Chlorella sorokiniana]
OG0000100	QAXK01004495.1_1525-5952	PRW61091.1 TOC75- chloroplastic [Chlorella sorokiniana], PRW61294.1 ru large subunit-binding subunit alpha [Chlorella sorokiniana], PRW61354.1 ru large subunit-binding subunit chloroplastic isoform A [Chlorella sorokiniana], PRW61355.1 ru large subunit-binding subunit chloroplastic isoform B [Chlorella sorokiniana]
OG0000102	QAXK01002229.1_29280-27595	PRW56489.1 ferredoxin-dependent glutamate synthase isoform A [Chlorella sorokiniana], PRW56490.1 ferredoxin-dependent glutamate synthase isoform B [Chlorella sorokiniana], PRW60858.1 glutamate synthase 1 [NADH] chloroplastic isoform X1 [Chlorella sorokiniana]
OG0000106	QAXK01000521.1_8215-4849	PRW60803.1 Squalene synthase isoform A [Chlorella sorokiniana], PRW60802.1 Squalene synthase isoform B [Chlorella sorokiniana], PRW57248.1 galactose mutarotase [Chlorella sorokiniana], PRW56102.1 Aldose 1-epimerase [Chlorella sorokiniana]
OG0000116	QAXK01010643.1_4647-4102	PRW57228.1 chloroplast precursor [Chlorella sorokiniana], PRW20534.1 chloroplast ferredoxin [Chlorella sorokiniana], PRW58415.1 leaf L-A-like [Chlorella sorokiniana], PRW33753.1 Ferredoxin [Chlorella sorokiniana]
OG0000126	QAXK01000372.1_2577-4525	PRW56265.1 Thioredoxin chloroplastic [Chlorella sorokiniana], PRW55935.1 hypothetical protein C2E21_4946 [Chlorella sorokiniana], PRW61558.1 sulfoquinovosyl transferase SQD2-like [Chlorella sorokiniana]
OG0000128	QAXK01009125.1_10140-8059	PRW44516.1 obg-like ATPase 1 isoform B [Chlorella sorokiniana], PRW44517.1 obg-like ATPase 1 isoform A [Chlorella sorokiniana], PRW33830.1 Golgi-localized GRIP domain-containing [Chlorella sorokiniana], PRW58916.1 ribonuclease [Chlorella sorokiniana]
OG0000137	QAXK01002137.1_9267-10854	PRW60485.1 E3 ubiquitin- ligase RNF185 isoform X1 [Chlorella sorokiniana], PRW20581.1 MMS19 nucleotide excision repair [Chlorella sorokiniana], PRW60259.1 variable flagella 1 [Chlorella sorokiniana]
OG0000152	QAXK01008299.1_4185-5535	PRW33012.1 Ubiquinone biosynthesis COQ4 mitochondrial [Chlorella sorokiniana], PRW32999.1 mitogen activated kinase [Chlorella sorokiniana], PRW56562.1 serine threonine- kinase CTR1-like isoform X1 [Chlorella sorokiniana]
OG0000163	QAXK01013733.1_9353-8061	PRW56576.1 ADP-ribosylation factor 1 [Chlorella sorokiniana], PRW44304.1 Arf6 -family small GTPase [Chlorella sorokiniana], PRW56446.1 ADP-ribosylation factor [Chlorella sorokiniana]
OG0000165	QAXK01004609.1_12369-13533	PRW56006.1 3-hydroxyisobutyryl- mitochondrial [Chlorella sorokiniana], PRW55988.1 E3 ubiquitin- ligase listerin [Chlorella sorokiniana]
