Orthogroup	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180
OG0000001	EIE22175.1 hypothetical protein COCSUDRAFT_55870 [Coccomyxa subellipsoidea C-169]	PSC74425.1 hypothetical protein C2E20_2449 [Micractinium conductrix], PSC70099.1 methylcytosine dioxygenase TET3 [Micractinium conductrix], PSC67107.1 hypothetical protein C2E20_9209_ partial [Micractinium conductrix], PSC67850.1 serine hydrolase [Micractinium conductrix], PSC70757.1 serine hydrolase [Micractinium conductrix], PSC75652.1 rve-domain-containing [Micractinium conductrix], PSC71093.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76202.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC70182.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67416.1 KRAB-A domain-containing 2-like isoform B [Micractinium conductrix], PSC67417.1 KRAB-A domain-containing 2-like isoform A [Micractinium conductrix], PSC70012.1 leucine-rich repeat family [Micractinium conductrix], PSC74552.1 UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase 2 [Micractinium conductrix], PSC71764.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67960.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC70550.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74596.1 reticuline oxidase [Micractinium conductrix], PSC75027.1 formin-binding 4-like isoform X2 [Micractinium conductrix], PSC74472.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74199.1 KRAB-A domain-containing 2-like isoform B [Micractinium conductrix], PSC74200.1 KRAB-A domain-containing 2-like isoform A [Micractinium conductrix], PSC68101.1 ATP-dependent DNA helicase 2 subunit KU80 [Micractinium conductrix], PSC68043.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76691.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC71940.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC72491.1 DNA topoisomerase 2-like [Micractinium conductrix], PSC75634.1 hypothetical protein C2E20_1435 [Micractinium conductrix], PSC76111.1 DNA topoisomerase 2-like [Micractinium conductrix], PSC67075.1 Amino-acid acetyltransferase_ partial [Micractinium conductrix], PSC75228.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC69931.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74026.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67976.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC75858.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67146.1 testis-expressed sequence 2 -like [Micractinium conductrix], PSC71968.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC70408.1 flagellar associated [Micractinium conductrix], PSC68084.1 Thioredoxin-dependent peroxide reductase [Micractinium conductrix], PSC72944.1 Tyrosine-kinase TXK [Micractinium conductrix], PSC67170.1 hypothetical protein C2E20_9140 [Micractinium conductrix], PSC68457.1 gamma-glutamyl hydrolase [Micractinium conductrix], PSC70902.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74450.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76489.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC73472.1 short-chain dehydrogenase [Micractinium conductrix], PSC67793.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC68622.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74507.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC68649.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74826.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC71289.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC68983.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67498.1 Gag-Pol poly [Micractinium conductrix], PSC73629.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC72915.1 DEAD-box ATP-dependent RNA helicase 24 [Micractinium conductrix], PSC67142.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC68719.1 CTR type copper ion transporter isoform B [Micractinium conductrix], PSC68720.1 CTR type copper ion transporter isoform A [Micractinium conductrix], PSC69411.1 CMGC CK2 kinase Cka1 [Micractinium conductrix], PSC76013.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC73286.1 peptidyl-tRNA hydrolase PTRHD1 [Micractinium conductrix], PSC70172.1 Protease [Micractinium conductrix], PSC67602.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC70867.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC71196.1 PITH domain-containing 1 [Micractinium conductrix], PSC71686.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67492.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC68194.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC71370.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76069.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC75698.1 KRAB-A domain-containing 2-like isoform A [Micractinium conductrix], PSC75697.1 KRAB-A domain-containing 2-like isoform B [Micractinium conductrix], PSC68129.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC75173.1 squamosa promoter binding isoform B [Micractinium conductrix], PSC75172.1 squamosa promoter binding isoform A [Micractinium conductrix], PSC72032.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC75540.1 kinesin K39 [Micractinium conductrix], PSC72436.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67727.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC68576.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC75113.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC73701.1 NAD-dependent aldehyde dehydrogenase [Micractinium conductrix], PSC69859.1 acid phosphatase [Micractinium conductrix], PSC69351.1 zinc finger domain containing [Micractinium conductrix], PSC70610.1 NADPH_quinone reductase [Micractinium conductrix], PSC74890.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC73791.1 nicotinamidase [Micractinium conductrix], PSC73086.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC73817.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC73039.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76601.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC68013.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76472.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC70085.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76136.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC67910.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC67890.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC75022.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC71372.1 H_+_ hexose cotransporter 2 [Micractinium conductrix], PSC74394.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC74508.1 hypothetical protein C2E20_2159 [Micractinium conductrix], PSC68796.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74298.1 hypothetical protein C2E20_2529 [Micractinium conductrix], PSC70238.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67614.1 KDEL-tailed cysteine endopeptidase CEP1 [Micractinium conductrix], PSC67025.1 Kinesin KIF3A_ partial [Micractinium conductrix], PSC73278.1 SCAN domain-containing 3-like [Micractinium conductrix], PSC75439.1 hypothetical protein C2E20_1423 [Micractinium conductrix], PSC68078.1 hypothetical protein C2E20_8332 [Micractinium conductrix]
OG0000002	EIE18168.1 hypothetical protein COCSUDRAFT_60541 [Coccomyxa subellipsoidea C-169]	PSC69335.1 reverse transcriptase_R [Micractinium conductrix], PSC67096.1 reverse transcriptase_R [Micractinium conductrix]
OG0000003	EIE23278.1 hypothetical protein COCSUDRAFT_47573 [Coccomyxa subellipsoidea C-169]	PSC74069.1 hypothetical protein C2E20_2567 [Micractinium conductrix]
OG0000003	EIE24971.1 hypothetical protein COCSUDRAFT_83664 [Coccomyxa subellipsoidea C-169]	PSC69063.1 S-acyltransferase 23 [Micractinium conductrix]
OG0000003	EIE27712.1 hypothetical protein COCSUDRAFT_55698 [Coccomyxa subellipsoidea C-169]	PSC74214.1 hypothetical protein C2E20_2651 [Micractinium conductrix], PSC71318.1 hypothetical protein C2E20_5316 [Micractinium conductrix], PSC76891.1 hypothetical protein C2E20_0797 [Micractinium conductrix], PSC68705.1 hypothetical protein C2E20_7769 [Micractinium conductrix], PSC72165.1 hypothetical protein C2E20_4409 [Micractinium conductrix], PSC73416.1 hypothetical protein C2E20_3417 [Micractinium conductrix], PSC75050.1 hypothetical protein C2E20_1732 [Micractinium conductrix], PSC68081.1 hypothetical protein C2E20_8267 [Micractinium conductrix], PSC68179.1 Acyl-coenzyme A thioesterase THEM4 isoform B [Micractinium conductrix], PSC68178.1 Acyl-coenzyme A thioesterase THEM4 isoform A [Micractinium conductrix], PSC72893.1 photosystem II reaction cent isoform B [Micractinium conductrix], PSC72894.1 photosystem II reaction cent isoform A [Micractinium conductrix], PSC68096.1 hypothetical protein C2E20_8274 [Micractinium conductrix], PSC75343.1 hypothetical protein C2E20_1137 [Micractinium conductrix], PSC68724.1 hypothetical protein C2E20_7768 [Micractinium conductrix]
OG0000004	EIE27634.1 SBP-domain-containing protein [Coccomyxa subellipsoidea C-169]	PSC71250.1 squamosa promoter-binding 9 [Micractinium conductrix], PSC71709.1 squamosa promoter-binding 9 [Micractinium conductrix]
OG0000005	EIE19073.1 histone-fold-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE19114.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23631.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19130.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19099.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21864.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21867.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE20587.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]	PSC69436.1 Histone H2A [Micractinium conductrix]
OG0000006	EIE18296.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]	PSC72144.1 kinase [Micractinium conductrix]
OG0000006	EIE20275.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20985.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	PSC70863.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC74168.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC69274.1 Serine threonine-kinase CTR1 [Micractinium conductrix], PSC70242.1 Serine threonine-kinase CTR1 [Micractinium conductrix]
OG0000007	EIE19157.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19113.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE23632.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21863.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19131.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19100.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21868.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE18782.1 putative histone H2B [Coccomyxa subellipsoidea C-169]	PSC69424.1 histone H2B [Micractinium conductrix], PSC75933.1 Histone [Micractinium conductrix], PSC73921.1 Histone [Micractinium conductrix], PSC71210.1 Histone [Micractinium conductrix], PSC72154.1 Histone [Micractinium conductrix], PSC71158.1 Histone [Micractinium conductrix], PSC72107.1 Histone [Micractinium conductrix], PSC72209.1 Histone [Micractinium conductrix], PSC72316.1 Histone [Micractinium conductrix], PSC71283.1 Histone [Micractinium conductrix], PSC68365.1 Histone [Micractinium conductrix], PSC68331.1 Histone [Micractinium conductrix], PSC72134.1 Histone [Micractinium conductrix], PSC72315.1 Histone [Micractinium conductrix]
