Orthogroup	Duplications (all)	Duplications (50% support)
OG0000000	188	188
OG0000001	112	106
OG0000002	101	99
OG0000003	36	31
OG0000004	43	37
OG0000005	59	50
OG0000006	43	34
OG0000007	62	59
OG0000008	41	22
OG0000009	31	23
OG0000010	69	69
OG0000011	44	31
OG0000012	42	18
OG0000013	27	16
OG0000014	15	6
OG0000015	53	52
OG0000016	14	7
OG0000017	47	46
OG0000018	16	11
OG0000019	51	51
OG0000020	33	29
OG0000021	47	47
OG0000022	31	26
OG0000023	17	12
OG0000024	20	19
OG0000025	17	8
OG0000026	27	24
OG0000027	15	12
OG0000028	29	25
OG0000029	19	14
OG0000030	41	41
OG0000031	22	20
OG0000032	22	22
OG0000033	40	40
OG0000034	39	39
OG0000035	19	17
OG0000036	17	14
OG0000037	14	13
OG0000038	13	12
OG0000039	17	12
OG0000040	27	21
OG0000041	30	27
OG0000042	16	13
OG0000043	20	19
OG0000044	20	16
OG0000045	18	16
OG0000046	21	15
OG0000047	30	29
OG0000048	15	12
OG0000049	16	13
OG0000050	13	11
OG0000051	12	9
OG0000052	22	22
OG0000053	20	16
OG0000054	19	16
OG0000055	7	5
OG0000056	33	33
OG0000057	19	11
OG0000058	32	32
OG0000059	10	4
OG0000060	10	6
OG0000061	31	31
OG0000062	11	9
OG0000063	22	21
OG0000064	4	2
OG0000065	18	14
OG0000066	15	11
OG0000067	31	31
OG0000068	31	31
OG0000069	6	6
OG0000070	11	7
OG0000071	11	9
OG0000072	18	16
OG0000073	19	17
OG0000074	16	12
OG0000075	17	15
OG0000076	11	9
OG0000077	25	25
OG0000078	5	5
OG0000079	6	6
OG0000080	12	10
OG0000081	8	5
OG0000082	11	3
OG0000083	8	6
OG0000084	4	2
OG0000085	23	23
OG0000086	28	28
OG0000087	8	6
OG0000088	9	7
OG0000089	6	4
OG0000090	4	2
OG0000091	5	4
OG0000092	7	3
OG0000093	13	11
OG0000094	26	26
OG0000095	7	4
OG0000096	6	5
OG0000097	6	5
OG0000098	5	5
OG0000099	9	6
OG0000100	4	3
OG0000101	4	4
OG0000102	6	2
