Orthogroup	Auxenochlorella_protothecoides	Scenedesmus_NREL
OG0000001	RMZ53936.1 hypothetical protein APUTEX25_004961 [Auxenochlorella protothecoides], RMZ53941.1 hypothetical protein APUTEX25_004966 [Auxenochlorella protothecoides]	KAF6265258.1 hypothetical protein COO60DRAFT_1623924_ partial [Scenedesmus sp. NREL 46B-D3]
OG0000003	RMZ52249.1 hypothetical protein APUTEX25_001639 [Auxenochlorella protothecoides]	KAF6261474.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6265839.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0000003	RMZ56204.1 hypothetical protein APUTEX25_002394 [Auxenochlorella protothecoides]	KAF6263597.1 SGNH hydrolase-type esterase domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266240.1 hypothetical protein COO60DRAFT_1632898 [Scenedesmus sp. NREL 46B-D3], KAF6248448.1 hypothetical protein COO60DRAFT_1648906 [Scenedesmus sp. NREL 46B-D3]
OG0000004	RMZ54417.1 hypothetical protein APUTEX25_001993 [Auxenochlorella protothecoides]	KAF6260400.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000005	RMZ54523.1 hypothetical protein APUTEX25_002099 [Auxenochlorella protothecoides]	KAF6262800.1 histone-fold-containing protein_ partial [Scenedesmus sp. NREL 46B-D3]
OG0000006	RMZ56115.1 hypothetical protein APUTEX25_004539 [Auxenochlorella protothecoides]	KAF6263287.1 kinase-like domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253127.1 hypothetical protein COO60DRAFT_1463350 [Scenedesmus sp. NREL 46B-D3]
OG0000007	RMZ52176.1 hypothetical protein APUTEX25_001566 [Auxenochlorella protothecoides], RMZ53786.1 hypothetical protein APUTEX25_003925 [Auxenochlorella protothecoides], RMZ55468.1 hypothetical protein APUTEX25_000051 [Auxenochlorella protothecoides], RMZ52472.1 hypothetical protein APUTEX25_003615 [Auxenochlorella protothecoides], RMZ52594.1 hypothetical protein APUTEX25_000713 [Auxenochlorella protothecoides]	KAF6252075.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6248398.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6252085.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253507.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253137.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253540.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253534.1 histone H2B type 1-C/E/F/G/I-like protein [Scenedesmus sp. NREL 46B-D3], KAF6240836.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6266598.1 putative histone [Scenedesmus sp. NREL 46B-D3]
OG0000008	RMZ52519.1 hypothetical protein APUTEX25_003662 [Auxenochlorella protothecoides], RMZ55557.1 hypothetical protein APUTEX25_000140 [Auxenochlorella protothecoides], RMZ56756.1 hypothetical protein APUTEX25_002845 [Auxenochlorella protothecoides], RMZ54872.1 hypothetical protein APUTEX25_000389 [Auxenochlorella protothecoides], RMZ52774.1 hypothetical protein APUTEX25_000893 [Auxenochlorella protothecoides]	KAF6253689.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253539.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252081.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252086.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248397.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253533.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248395.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252074.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253506.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000009	RMZ53398.1 hypothetical protein APUTEX25_004886 [Auxenochlorella protothecoides]	KAF6242295.1 hypothetical protein COO60DRAFT_206430 [Scenedesmus sp. NREL 46B-D3]
OG0000011	RMZ56599.1 hypothetical protein APUTEX25_004763_ partial [Auxenochlorella protothecoides]	KAF6262439.1 hypothetical protein COO60DRAFT_627220 [Scenedesmus sp. NREL 46B-D3], KAF6262437.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6237056.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256414.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]
