Orthogroup	Scenedesmus_NREL	Auxenochlorella_protothecoides
OG0000001	KAF6265258.1 hypothetical protein COO60DRAFT_1623924_ partial [Scenedesmus sp. NREL 46B-D3]	RMZ53936.1 hypothetical protein APUTEX25_004961 [Auxenochlorella protothecoides], RMZ53941.1 hypothetical protein APUTEX25_004966 [Auxenochlorella protothecoides]
OG0000003	KAF6261474.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6265839.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3]	RMZ52249.1 hypothetical protein APUTEX25_001639 [Auxenochlorella protothecoides]
OG0000003	KAF6263597.1 SGNH hydrolase-type esterase domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266240.1 hypothetical protein COO60DRAFT_1632898 [Scenedesmus sp. NREL 46B-D3], KAF6248448.1 hypothetical protein COO60DRAFT_1648906 [Scenedesmus sp. NREL 46B-D3]	RMZ56204.1 hypothetical protein APUTEX25_002394 [Auxenochlorella protothecoides]
OG0000004	KAF6260400.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ54417.1 hypothetical protein APUTEX25_001993 [Auxenochlorella protothecoides]
OG0000005	KAF6262800.1 histone-fold-containing protein_ partial [Scenedesmus sp. NREL 46B-D3]	RMZ54523.1 hypothetical protein APUTEX25_002099 [Auxenochlorella protothecoides]
OG0000006	KAF6263287.1 kinase-like domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253127.1 hypothetical protein COO60DRAFT_1463350 [Scenedesmus sp. NREL 46B-D3]	RMZ56115.1 hypothetical protein APUTEX25_004539 [Auxenochlorella protothecoides]
OG0000007	KAF6252075.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6248398.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6252085.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253507.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253137.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253540.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253534.1 histone H2B type 1-C/E/F/G/I-like protein [Scenedesmus sp. NREL 46B-D3], KAF6240836.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6266598.1 putative histone [Scenedesmus sp. NREL 46B-D3]	RMZ52176.1 hypothetical protein APUTEX25_001566 [Auxenochlorella protothecoides], RMZ53786.1 hypothetical protein APUTEX25_003925 [Auxenochlorella protothecoides], RMZ55468.1 hypothetical protein APUTEX25_000051 [Auxenochlorella protothecoides], RMZ52472.1 hypothetical protein APUTEX25_003615 [Auxenochlorella protothecoides], RMZ52594.1 hypothetical protein APUTEX25_000713 [Auxenochlorella protothecoides]
OG0000008	KAF6253689.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253539.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252081.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252086.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248397.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253533.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248395.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252074.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253506.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ52519.1 hypothetical protein APUTEX25_003662 [Auxenochlorella protothecoides], RMZ55557.1 hypothetical protein APUTEX25_000140 [Auxenochlorella protothecoides], RMZ56756.1 hypothetical protein APUTEX25_002845 [Auxenochlorella protothecoides], RMZ54872.1 hypothetical protein APUTEX25_000389 [Auxenochlorella protothecoides], RMZ52774.1 hypothetical protein APUTEX25_000893 [Auxenochlorella protothecoides]
OG0000009	KAF6242295.1 hypothetical protein COO60DRAFT_206430 [Scenedesmus sp. NREL 46B-D3]	RMZ53398.1 hypothetical protein APUTEX25_004886 [Auxenochlorella protothecoides]
OG0000011	KAF6262439.1 hypothetical protein COO60DRAFT_627220 [Scenedesmus sp. NREL 46B-D3], KAF6262437.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6237056.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256414.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ56599.1 hypothetical protein APUTEX25_004763_ partial [Auxenochlorella protothecoides]
OG0000013	KAF6263511.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263514.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257324.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255583.1 Snf1-like ser/thr protein kinase [Scenedesmus sp. NREL 46B-D3]	RMZ55143.1 hypothetical protein APUTEX25_005421 [Auxenochlorella protothecoides], RMZ57357.1 hypothetical protein APUTEX25_004191 [Auxenochlorella protothecoides]
OG0000013	KAF6258910.1 Snf1-like protein kinase [Scenedesmus sp. NREL 46B-D3]	RMZ57701.1 hypothetical protein APUTEX25_001901_ partial [Auxenochlorella protothecoides]
OG0000014	KAF6256541.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ54969.1 hypothetical protein APUTEX25_000486_ partial [Auxenochlorella protothecoides]
OG0000014	KAF6259760.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ57118.1 hypothetical protein APUTEX25_002350 [Auxenochlorella protothecoides]
OG0000014	KAF6258195.1 cyclophilin-type peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. NREL 46B-D3]	RMZ52047.1 hypothetical protein APUTEX25_001241 [Auxenochlorella protothecoides]
OG0000014	KAF6252786.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6236267.1 NDH subunit PnsL5_ partial [Scenedesmus sp. NREL 46B-D3], KAF6250332.1 putative peptidyl-prolyl cis-trans isomerase chloroplast precursor [Scenedesmus sp. NREL 46B-D3], KAF6259651.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53818.1 hypothetical protein APUTEX25_003957_ partial [Auxenochlorella protothecoides]
OG0000016	KAF6257509.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ52516.1 hypothetical protein APUTEX25_003659 [Auxenochlorella protothecoides]
OG0000016	KAF6264040.1 ubiquitin-like protein 1 [Scenedesmus sp. NREL 46B-D3]	RMZ54164.1 hypothetical protein APUTEX25_005320 [Auxenochlorella protothecoides]
OG0000016	KAF6264957.1 hypothetical protein COO60DRAFT_1634011 [Scenedesmus sp. NREL 46B-D3]	RMZ57375.1 hypothetical protein APUTEX25_004209 [Auxenochlorella protothecoides]
OG0000016	KAF6256916.1 hypothetical protein COO60DRAFT_1640361 [Scenedesmus sp. NREL 46B-D3]	RMZ57690.1 hypothetical protein APUTEX25_001890 [Auxenochlorella protothecoides]
OG0000018	KAF6252740.1 hypothetical protein COO60DRAFT_502322 [Scenedesmus sp. NREL 46B-D3], KAF6253083.1 hypothetical protein COO60DRAFT_469421 [Scenedesmus sp. NREL 46B-D3]	RMZ56462.1 hypothetical protein APUTEX25_004685 [Auxenochlorella protothecoides]
OG0000018	KAF6262542.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6256388.1 hypothetical protein COO60DRAFT_115932 [Scenedesmus sp. NREL 46B-D3]	RMZ56882.1 hypothetical protein APUTEX25_002971_ partial [Auxenochlorella protothecoides]
OG0000018	KAF6253755.1 hypothetical protein COO60DRAFT_391601 [Scenedesmus sp. NREL 46B-D3]	RMZ56699.1 hypothetical protein APUTEX25_002788 [Auxenochlorella protothecoides]
OG0000018	KAF6260264.1 c-myb-like transcription factor [Scenedesmus sp. NREL 46B-D3], KAF6255543.1 hypothetical protein COO60DRAFT_204648 [Scenedesmus sp. NREL 46B-D3]	RMZ57669.1 hypothetical protein APUTEX25_001869 [Auxenochlorella protothecoides]
OG0000020	KAF6261082.1 hypothetical protein COO60DRAFT_1637118 [Scenedesmus sp. NREL 46B-D3], KAF6256201.1 hypothetical protein COO60DRAFT_1640881 [Scenedesmus sp. NREL 46B-D3], KAF6258856.1 hypothetical protein COO60DRAFT_1626293 [Scenedesmus sp. NREL 46B-D3]	RMZ57168.1 hypothetical protein APUTEX25_004002 [Auxenochlorella protothecoides], RMZ53879.1 hypothetical protein APUTEX25_005625_ partial [Auxenochlorella protothecoides], RMZ52155.1 hypothetical protein APUTEX25_001545 [Auxenochlorella protothecoides]
OG0000023	KAF6262812.1 hypothetical protein COO60DRAFT_1493981 [Scenedesmus sp. NREL 46B-D3]	RMZ56859.1 hypothetical protein APUTEX25_002948_ partial [Auxenochlorella protothecoides], RMZ54038.1 hypothetical protein APUTEX25_002615_ partial [Auxenochlorella protothecoides]
OG0000023	KAF6257256.1 hypothetical protein COO60DRAFT_25223 [Scenedesmus sp. NREL 46B-D3], KAF6253645.1 hypothetical protein COO60DRAFT_1703722 [Scenedesmus sp. NREL 46B-D3], KAF6262342.1 hypothetical protein COO60DRAFT_1268220 [Scenedesmus sp. NREL 46B-D3], KAF6263383.1 hypothetical protein COO60DRAFT_1267608 [Scenedesmus sp. NREL 46B-D3], KAF6258807.1 hypothetical protein COO60DRAFT_1083841 [Scenedesmus sp. NREL 46B-D3]	RMZ55376.1 hypothetical protein APUTEX25_004691_ partial [Auxenochlorella protothecoides]
OG0000024	KAF6250510.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252011.1 subtilase [Scenedesmus sp. NREL 46B-D3]	RMZ52930.1 hypothetical protein APUTEX25_001049_ partial [Auxenochlorella protothecoides]
OG0000025	KAF6252940.1 hypothetical protein COO60DRAFT_481024 [Scenedesmus sp. NREL 46B-D3]	RMZ52951.1 hypothetical protein APUTEX25_001070 [Auxenochlorella protothecoides]
OG0000026	KAF6252797.1 hypothetical protein COO60DRAFT_1628447 [Scenedesmus sp. NREL 46B-D3]	RMZ52180.1 hypothetical protein APUTEX25_001570 [Auxenochlorella protothecoides]
OG0000028	KAF6262142.1 hypothetical protein COO60DRAFT_675402 [Scenedesmus sp. NREL 46B-D3]	RMZ53801.1 hypothetical protein APUTEX25_003940 [Auxenochlorella protothecoides]
OG0000029	KAF6262470.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262467.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ54167.1 hypothetical protein APUTEX25_005323 [Auxenochlorella protothecoides]
OG0000031	KAF6260940.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]	RMZ52494.1 hypothetical protein APUTEX25_003637 [Auxenochlorella protothecoides]
OG0000035	KAF6253624.1 LsmAD domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ53240.1 hypothetical protein APUTEX25_005229 [Auxenochlorella protothecoides]
OG0000035	KAF6254848.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254756.1 hypothetical protein COO60DRAFT_1286152_ partial [Scenedesmus sp. NREL 46B-D3], KAF6264839.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6261610.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257671.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266311.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6251507.1 FAE1/Type III polyketide synthase-like protein-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ56375.1 hypothetical protein APUTEX25_004732_ partial [Auxenochlorella protothecoides]
OG0000036	KAF6239890.1 nuclear RNase Z [Scenedesmus sp. NREL 46B-D3]	RMZ57667.1 hypothetical protein APUTEX25_001867_ partial [Auxenochlorella protothecoides], RMZ55188.1 hypothetical protein APUTEX25_005466_ partial [Auxenochlorella protothecoides]
OG0000036	KAF6263822.1 hypothetical protein COO60DRAFT_345552 [Scenedesmus sp. NREL 46B-D3]	RMZ53707.1 hypothetical protein APUTEX25_003241 [Auxenochlorella protothecoides]
OG0000037	KAF6254837.1 light-harvesting chlorophyll a/b-binding protein LhcbM2 [Scenedesmus sp. NREL 46B-D3], KAF6254840.1 light-harvesting chlorophyll a/b-binding protein LhcbM2 [Scenedesmus sp. NREL 46B-D3], KAF6254838.1 light-harvesting chlorophyll a/b-binding protein LhcbM3 [Scenedesmus sp. NREL 46B-D3]	RMZ56229.1 hypothetical protein APUTEX25_002419 [Auxenochlorella protothecoides]
OG0000038	KAF6256320.1 core-2/I-branching enzyme-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	RMZ55544.1 hypothetical protein APUTEX25_000127_ partial [Auxenochlorella protothecoides], RMZ55519.1 hypothetical protein APUTEX25_000102 [Auxenochlorella protothecoides], RMZ57629.1 hypothetical protein APUTEX25_001829 [Auxenochlorella protothecoides]
