Orthogroup	Micractinium_SAG24180	Chlorella_KRBP
OG0000005	PSC71167.1 Histone H2A [Micractinium conductrix], PSC72168.1 Histone H2A [Micractinium conductrix], PSC72080.1 Histone H2A [Micractinium conductrix], PSC72210.1 Histone H2A [Micractinium conductrix], PSC72098.1 Histone H2A [Micractinium conductrix], PSC72071.1 Histone H2A [Micractinium conductrix], PSC68321.1 Histone H2A [Micractinium conductrix], PSC71227.1 Histone H2A [Micractinium conductrix], PSC68329.1 Histone H2A [Micractinium conductrix], PSC71104.1 Histone H2A [Micractinium conductrix], PSC71088.1 Histone H2A [Micractinium conductrix], PSC72221.1 Histone H2A [Micractinium conductrix], PSC69436.1 Histone H2A [Micractinium conductrix]	QAXK01016321.1_1655-2667
OG0000013	PSC70880.1 sulfur stress regulator [Micractinium conductrix], PSC67849.1 hypothetical protein C2E20_8527 [Micractinium conductrix], PSC74495.1 sulfur stress regulator [Micractinium conductrix], PSC74454.1 sulfur stress regulator [Micractinium conductrix]	QAXK01004822.1_8132-10307
OG0000049	PSC75423.1 ubiquitin-like-specific protease 2A [Micractinium conductrix], PSC71619.1 translation initiation factor fusion with methylthioribose kinase [Micractinium conductrix]	QAXK01004561.1_5673-2644
OG0000059	PSC71846.1 putative GTP-binding [Micractinium conductrix], PSC69152.1 cobalamin biosynthesis [Micractinium conductrix], PSC73198.1 zinc metalloprotease [Micractinium conductrix]	QAXK01009817.1_2794-231
OG0000060	PSC71834.1 LOV domain-containing isoform A [Micractinium conductrix], PSC71833.1 LOV domain-containing isoform B [Micractinium conductrix], PSC73702.1 LOV domain-containing [Micractinium conductrix], PSC71674.1 hypothetical protein C2E20_4892 [Micractinium conductrix]	QAXK01006650.1_4897-1380
OG0000095	PSC73930.1 U3 small nucleolar RNA-associated 25 [Micractinium conductrix], PSC75641.1 carotene isomerase [Micractinium conductrix], PSC69857.1 carotene isomerase [Micractinium conductrix]	QAXK01000980.1_6477-3589
OG0000100	PSC74001.1 chaperonin 60A [Micractinium conductrix], PSC70609.1 chaperonin 60B2 [Micractinium conductrix]	QAXK01004495.1_1525-5952
OG0000102	PSC70556.1 ferredoxin-dependent glutamate synthase [Micractinium conductrix], PSC68918.1 glutamate synthase 1 [NADH] chloroplastic isoform X1 [Micractinium conductrix]	QAXK01002229.1_29280-27595
OG0000106	PSC74817.1 Galactose mutarotase [Micractinium conductrix], PSC67689.1 galactose mutarotase [Micractinium conductrix], PSC75034.1 Squalene synthase [Micractinium conductrix]	QAXK01000521.1_8215-4849
OG0000116	PSC70743.1 chloroplast precursor [Micractinium conductrix], PSC70124.1 chloroplast precursor [Micractinium conductrix], PSC70240.1 ferredoxin [Micractinium conductrix]	QAXK01010643.1_4647-4102
