Orthogroup	Chlorella_VariabilisNC64A	Coccomyxa_SubellipsoideaC169
OG0000001	XP_005847914.1 hypothetical protein CHLNCDRAFT_145316 [Chlorella variabilis]	EIE26998.1 hypothetical protein COCSUDRAFT_39934 [Coccomyxa subellipsoidea C-169], EIE22175.1 hypothetical protein COCSUDRAFT_55870 [Coccomyxa subellipsoidea C-169]
OG0000002	XP_005848796.1 hypothetical protein CHLNCDRAFT_51454 [Chlorella variabilis], XP_005848587.1 hypothetical protein CHLNCDRAFT_145176 [Chlorella variabilis]	EIE18168.1 hypothetical protein COCSUDRAFT_60541 [Coccomyxa subellipsoidea C-169]
OG0000003	XP_005845559.1 hypothetical protein CHLNCDRAFT_136719 [Chlorella variabilis]	EIE23278.1 hypothetical protein COCSUDRAFT_47573 [Coccomyxa subellipsoidea C-169]
OG0000003	XP_005850750.1 hypothetical protein CHLNCDRAFT_140901 [Chlorella variabilis]	EIE24971.1 hypothetical protein COCSUDRAFT_83664 [Coccomyxa subellipsoidea C-169]
OG0000003	XP_005845697.1 expressed protein [Chlorella variabilis], XP_005848945.1 hypothetical protein CHLNCDRAFT_144427 [Chlorella variabilis]	EIE27713.1 hypothetical protein COCSUDRAFT_55699 [Coccomyxa subellipsoidea C-169], EIE19265.1 hypothetical protein COCSUDRAFT_58561 [Coccomyxa subellipsoidea C-169]
OG0000003	XP_005848871.1 hypothetical protein CHLNCDRAFT_144246 [Chlorella variabilis], XP_005847999.1 expressed protein [Chlorella variabilis], XP_005847434.1 hypothetical protein CHLNCDRAFT_134328 [Chlorella variabilis], XP_005847441.1 hypothetical protein CHLNCDRAFT_134345 [Chlorella variabilis], XP_005850412.1 hypothetical protein CHLNCDRAFT_142315 [Chlorella variabilis], XP_005852188.1 hypothetical protein CHLNCDRAFT_133395 [Chlorella variabilis], XP_005852056.1 hypothetical protein CHLNCDRAFT_133040 [Chlorella variabilis], XP_005852055.1 expressed protein [Chlorella variabilis], XP_005850707.1 hypothetical protein CHLNCDRAFT_140796 [Chlorella variabilis], XP_005850406.1 hypothetical protein CHLNCDRAFT_142302 [Chlorella variabilis], XP_005850407.1 expressed protein [Chlorella variabilis], XP_005851305.1 hypothetical protein CHLNCDRAFT_56786 [Chlorella variabilis], XP_005844659.1 hypothetical protein CHLNCDRAFT_138538 [Chlorella variabilis]	EIE27712.1 hypothetical protein COCSUDRAFT_55698 [Coccomyxa subellipsoidea C-169]
OG0000004	XP_005847991.1 hypothetical protein CHLNCDRAFT_17960_ partial [Chlorella variabilis]	EIE27634.1 SBP-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000005	XP_005851876.1 hypothetical protein CHLNCDRAFT_133450 [Chlorella variabilis]	EIE20029.1 histone 2A variant [Coccomyxa subellipsoidea C-169]
OG0000005	XP_005852170.1 hypothetical protein CHLNCDRAFT_48410 [Chlorella variabilis]	EIE19073.1 histone-fold-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE19114.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23631.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19130.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19099.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21864.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21867.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE20587.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]
OG0000006	XP_005847121.1 hypothetical protein CHLNCDRAFT_24126 [Chlorella variabilis]	EIE18296.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]
