Orthogroup	Auxenochlorella_protothecoides	Scenedesmus_PABB004
OG0000003	RMZ52249.1 hypothetical protein APUTEX25_001639 [Auxenochlorella protothecoides]	KAF8071037.1 hypothetical protein HT031_001119 [Scenedesmus sp. PABB004]
OG0000003	RMZ56204.1 hypothetical protein APUTEX25_002394 [Auxenochlorella protothecoides]	KAF8072564.1 phosphoribosyl transferase [Scenedesmus sp. PABB004], KAF8062809.1 hypothetical protein HT031_004139 [Scenedesmus sp. PABB004], KAF8057926.1 hypothetical protein HT031_005872 [Scenedesmus sp. PABB004], KAF8057889.1 hypothetical protein HT031_005835 [Scenedesmus sp. PABB004], KAF8069512.1 ASAT1 [Scenedesmus sp. PABB004]
OG0000004	RMZ54417.1 hypothetical protein APUTEX25_001993 [Auxenochlorella protothecoides]	KAF8073156.1 SPL3 [Scenedesmus sp. PABB004]
OG0000004	RMZ52284.1 hypothetical protein APUTEX25_001674 [Auxenochlorella protothecoides], RMZ52588.1 hypothetical protein APUTEX25_000707 [Auxenochlorella protothecoides], RMZ54530.1 hypothetical protein APUTEX25_001702_ partial [Auxenochlorella protothecoides], RMZ53046.1 hypothetical protein APUTEX25_001165 [Auxenochlorella protothecoides], RMZ55712.1 hypothetical protein APUTEX25_005753 [Auxenochlorella protothecoides]	KAF8057876.1 SPL3 [Scenedesmus sp. PABB004], KAF8057875.1 SPL3 [Scenedesmus sp. PABB004]
OG0000006	RMZ56115.1 hypothetical protein APUTEX25_004539 [Auxenochlorella protothecoides]	KAF8069681.1 drkC [Scenedesmus sp. PABB004]
OG0000008	RMZ52519.1 hypothetical protein APUTEX25_003662 [Auxenochlorella protothecoides], RMZ55557.1 hypothetical protein APUTEX25_000140 [Auxenochlorella protothecoides], RMZ56756.1 hypothetical protein APUTEX25_002845 [Auxenochlorella protothecoides], RMZ54872.1 hypothetical protein APUTEX25_000389 [Auxenochlorella protothecoides], RMZ52774.1 hypothetical protein APUTEX25_000893 [Auxenochlorella protothecoides]	KAF8069669.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069673.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069657.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069678.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069686.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069659.1 Histone H4 [Scenedesmus sp. PABB004]
OG0000011	RMZ56599.1 hypothetical protein APUTEX25_004763_ partial [Auxenochlorella protothecoides]	KAF8057650.1 DNA-directed RNA polymerase II subunit RPB7 [Scenedesmus sp. PABB004], KAF8057640.1 HT1 [Scenedesmus sp. PABB004], KAF8066284.1 Gucy1b1 [Scenedesmus sp. PABB004], KAF8072490.1 Map3k20 [Scenedesmus sp. PABB004]
OG0000013	RMZ55143.1 hypothetical protein APUTEX25_005421 [Auxenochlorella protothecoides], RMZ57357.1 hypothetical protein APUTEX25_004191 [Auxenochlorella protothecoides]	KAF8060557.1 SRK2G [Scenedesmus sp. PABB004]
OG0000013	RMZ57701.1 hypothetical protein APUTEX25_001901_ partial [Auxenochlorella protothecoides]	KAF8069392.1 SRK2A [Scenedesmus sp. PABB004]
OG0000014	RMZ57118.1 hypothetical protein APUTEX25_002350 [Auxenochlorella protothecoides]	KAF8061127.1 CYP20-1 [Scenedesmus sp. PABB004]
OG0000014	RMZ52047.1 hypothetical protein APUTEX25_001241 [Auxenochlorella protothecoides]	KAF8055596.1 peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. PABB004]
OG0000014	RMZ53818.1 hypothetical protein APUTEX25_003957_ partial [Auxenochlorella protothecoides]	KAF8056125.1 Ppib [Scenedesmus sp. PABB004]
OG0000016	RMZ52516.1 hypothetical protein APUTEX25_003659 [Auxenochlorella protothecoides]	KAF8073145.1 NDT1 [Scenedesmus sp. PABB004]
OG0000016	RMZ54238.1 hypothetical protein APUTEX25_000589 [Auxenochlorella protothecoides]	KAF8064496.1 SDE2 [Scenedesmus sp. PABB004]
OG0000018	RMZ56462.1 hypothetical protein APUTEX25_004685 [Auxenochlorella protothecoides]	KAF8067115.1 MYB98 [Scenedesmus sp. PABB004]
OG0000018	RMZ56699.1 hypothetical protein APUTEX25_002788 [Auxenochlorella protothecoides]	KAF8057715.1 MYB118 [Scenedesmus sp. PABB004]
OG0000018	RMZ57669.1 hypothetical protein APUTEX25_001869 [Auxenochlorella protothecoides]	KAF8065600.1 hypothetical protein HT031_003201 [Scenedesmus sp. PABB004]
OG0000023	RMZ55376.1 hypothetical protein APUTEX25_004691_ partial [Auxenochlorella protothecoides]	KAF8065783.1 zZinc finger CCCH domain-containing protein 33 [Scenedesmus sp. PABB004], KAF8073124.1 Zinc finger CCCH domain-containing protein 2 [Scenedesmus sp. PABB004], KAF8059146.1 TZF6 [Scenedesmus sp. PABB004], KAF8066358.1 zinc finger CCCH domain-containing protein 50 [Scenedesmus sp. PABB004], KAF8060494.1 zinc finger CCCH domain-containing protein 50 [Scenedesmus sp. PABB004], KAF8061961.1 zinc finger CCCH domain-containing protein 50 [Scenedesmus sp. PABB004]
OG0000024	RMZ52930.1 hypothetical protein APUTEX25_001049_ partial [Auxenochlorella protothecoides]	KAF8059396.1 subtilisin-like protein [Scenedesmus sp. PABB004], KAF8056848.1 Thermophilic serine proteinase [Scenedesmus sp. PABB004]
