Orthogroup	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169
OG0000001	KAI3423840.1 hypothetical protein D9Q98_009676 [Chlorella vulgaris]	EIE22175.1 hypothetical protein COCSUDRAFT_55870 [Coccomyxa subellipsoidea C-169]
OG0000002	KAI3438351.1 hypothetical protein D9Q98_000783 [Chlorella vulgaris]	EIE18168.1 hypothetical protein COCSUDRAFT_60541 [Coccomyxa subellipsoidea C-169]
OG0000003	KAI3424123.1 hypothetical protein D9Q98_009484 [Chlorella vulgaris]	EIE23278.1 hypothetical protein COCSUDRAFT_47573 [Coccomyxa subellipsoidea C-169]
OG0000003	KAI3436441.1 hypothetical protein D9Q98_005858 [Chlorella vulgaris]	EIE24971.1 hypothetical protein COCSUDRAFT_83664 [Coccomyxa subellipsoidea C-169]
OG0000003	KAI3432370.1 hypothetical protein D9Q98_003927 [Chlorella vulgaris], KAI3432358.1 hypothetical protein D9Q98_003915 [Chlorella vulgaris], KAI3424212.1 hypothetical protein D9Q98_009568 [Chlorella vulgaris], KAI3426970.1 hypothetical protein D9Q98_006914 [Chlorella vulgaris]	EIE27713.1 hypothetical protein COCSUDRAFT_55699 [Coccomyxa subellipsoidea C-169], EIE19265.1 hypothetical protein COCSUDRAFT_58561 [Coccomyxa subellipsoidea C-169]
OG0000003	KAI3427272.1 hypothetical protein D9Q98_007204 [Chlorella vulgaris], KAI3437643.1 hypothetical protein D9Q98_000094 [Chlorella vulgaris], KAI3430747.1 hypothetical protein D9Q98_009159 [Chlorella vulgaris], KAI3430596.1 hypothetical protein D9Q98_005189 [Chlorella vulgaris], KAI3428300.1 hypothetical protein D9Q98_006679 [Chlorella vulgaris], KAI3429368.1 hypothetical protein D9Q98_005463 [Chlorella vulgaris], KAI3429367.1 hypothetical protein D9Q98_005462 [Chlorella vulgaris], KAI3436557.1 hypothetical protein D9Q98_005973 [Chlorella vulgaris], KAI3428290.1 hypothetical protein D9Q98_006669 [Chlorella vulgaris], KAI3430755.1 hypothetical protein D9Q98_009167 [Chlorella vulgaris], KAI3428291.1 hypothetical protein D9Q98_006670 [Chlorella vulgaris], KAI3433380.1 hypothetical protein D9Q98_003196 [Chlorella vulgaris]	EIE27712.1 hypothetical protein COCSUDRAFT_55698 [Coccomyxa subellipsoidea C-169]
OG0000004	KAI3437670.1 hypothetical protein D9Q98_000120 [Chlorella vulgaris]	EIE27634.1 SBP-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000005	KAI3429680.1 hypothetical protein D9Q98_005765 [Chlorella vulgaris]	EIE20029.1 histone 2A variant [Coccomyxa subellipsoidea C-169]
OG0000005	KAI3429597.1 hypothetical protein D9Q98_005683 [Chlorella vulgaris]	EIE19073.1 histone-fold-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE19114.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23631.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19130.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19099.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21864.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21867.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE20587.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]
OG0000006	KAI3438102.1 hypothetical protein D9Q98_000544 [Chlorella vulgaris]	EIE18296.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000006	KAI3430385.1 hypothetical protein D9Q98_004980 [Chlorella vulgaris], KAI3437833.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris], KAI3437832.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris], KAI3436594.1 hypothetical protein D9Q98_006011 [Chlorella vulgaris], KAI3432561.1 hypothetical protein D9Q98_004110 [Chlorella vulgaris], KAI3436086.1 hypothetical protein D9Q98_002144 [Chlorella vulgaris], KAI3437831.1 hypothetical protein D9Q98_000278 [Chlorella vulgaris], KAI3427342.1 hypothetical protein D9Q98_010259 [Chlorella vulgaris], KAI3427397.1 hypothetical protein D9Q98_010312 [Chlorella vulgaris], KAI3432762.1 hypothetical protein D9Q98_004302 [Chlorella vulgaris], KAI3430255.1 hypothetical protein D9Q98_004851 [Chlorella vulgaris], KAI3425719.1 hypothetical protein D9Q98_007695 [Chlorella vulgaris], KAI3425723.1 hypothetical protein D9Q98_007699 [Chlorella vulgaris], KAI3425720.1 hypothetical protein D9Q98_007696 [Chlorella vulgaris], KAI3425961.1 hypothetical protein D9Q98_007931 [Chlorella vulgaris]	EIE20275.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20985.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000007	KAI3424352.1 hypothetical protein D9Q98_009905 [Chlorella vulgaris], KAI3424382.1 hypothetical protein D9Q98_009935 [Chlorella vulgaris], KAI3424433.1 hypothetical protein D9Q98_009985 [Chlorella vulgaris], KAI3424411.1 hypothetical protein D9Q98_009963 [Chlorella vulgaris], KAI3424401.1 hypothetical protein D9Q98_009954 [Chlorella vulgaris], KAI3424376.1 hypothetical protein D9Q98_009929 [Chlorella vulgaris], KAI3428572.1 hypothetical protein D9Q98_007394 [Chlorella vulgaris], KAI3428591.1 hypothetical protein D9Q98_007414 [Chlorella vulgaris], KAI3429596.1 hypothetical protein D9Q98_005682 [Chlorella vulgaris]	EIE19157.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19113.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE23632.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21863.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19131.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19100.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21868.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE18782.1 putative histone H2B [Coccomyxa subellipsoidea C-169]
OG0000008	KAI3424356.1 hypothetical protein D9Q98_009909 [Chlorella vulgaris], KAI3428573.1 hypothetical protein D9Q98_007395 [Chlorella vulgaris], KAI3424399.1 hypothetical protein D9Q98_009952 [Chlorella vulgaris], KAI3424386.1 hypothetical protein D9Q98_009939 [Chlorella vulgaris], KAI3433952.1 hypothetical protein D9Q98_003754 [Chlorella vulgaris], KAI3428590.1 hypothetical protein D9Q98_007413 [Chlorella vulgaris], KAI3433958.1 hypothetical protein D9Q98_003760 [Chlorella vulgaris], KAI3424372.1 hypothetical protein D9Q98_009925 [Chlorella vulgaris], KAI3424431.1 hypothetical protein D9Q98_009983 [Chlorella vulgaris], KAI3424396.1 hypothetical protein D9Q98_009949 [Chlorella vulgaris], KAI3427072.1 hypothetical protein D9Q98_007012 [Chlorella vulgaris], KAI3424413.1 hypothetical protein D9Q98_009965 [Chlorella vulgaris], KAI3428056.1 hypothetical protein D9Q98_006441 [Chlorella vulgaris]	EIE19112.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19132.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21862.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23633.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21869.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19101.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]
OG0000009	KAI3438951.1 hypothetical protein D9Q98_001365 [Chlorella vulgaris]	EIE27622.1 hypothetical protein COCSUDRAFT_39238 [Coccomyxa subellipsoidea C-169]
