Orthogroup	Auxenochlorella_protothecoides	Chlorella_Vulgaris2111P
OG0000001	RMZ53941.1 hypothetical protein APUTEX25_004966 [Auxenochlorella protothecoides]	KAI3423840.1 hypothetical protein D9Q98_009676 [Chlorella vulgaris]
OG0000003	RMZ52249.1 hypothetical protein APUTEX25_001639 [Auxenochlorella protothecoides]	KAI3424123.1 hypothetical protein D9Q98_009484 [Chlorella vulgaris]
OG0000003	RMZ54089.1 hypothetical protein APUTEX25_002666_ partial [Auxenochlorella protothecoides]	KAI3436441.1 hypothetical protein D9Q98_005858 [Chlorella vulgaris]
OG0000003	RMZ56204.1 hypothetical protein APUTEX25_002394 [Auxenochlorella protothecoides]	KAI3432370.1 hypothetical protein D9Q98_003927 [Chlorella vulgaris], KAI3432358.1 hypothetical protein D9Q98_003915 [Chlorella vulgaris], KAI3424212.1 hypothetical protein D9Q98_009568 [Chlorella vulgaris], KAI3426970.1 hypothetical protein D9Q98_006914 [Chlorella vulgaris]
OG0000004	RMZ54417.1 hypothetical protein APUTEX25_001993 [Auxenochlorella protothecoides]	KAI3437670.1 hypothetical protein D9Q98_000120 [Chlorella vulgaris]
OG0000004	RMZ52284.1 hypothetical protein APUTEX25_001674 [Auxenochlorella protothecoides]	KAI3424155.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris], KAI3424156.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris]
OG0000004	RMZ52588.1 hypothetical protein APUTEX25_000707 [Auxenochlorella protothecoides]	KAI3430979.1 hypothetical protein D9Q98_009383 [Chlorella vulgaris]
OG0000004	RMZ54530.1 hypothetical protein APUTEX25_001702_ partial [Auxenochlorella protothecoides], RMZ53046.1 hypothetical protein APUTEX25_001165 [Auxenochlorella protothecoides]	KAI3437765.1 hypothetical protein D9Q98_000212 [Chlorella vulgaris]
OG0000004	RMZ54640.1 hypothetical protein APUTEX25_003018 [Auxenochlorella protothecoides]	KAI3433657.1 hypothetical protein D9Q98_003466 [Chlorella vulgaris]
OG0000005	RMZ53759.1 hypothetical protein APUTEX25_003898 [Auxenochlorella protothecoides], RMZ52566.1 hypothetical protein APUTEX25_003709 [Auxenochlorella protothecoides], RMZ52574.1 hypothetical protein APUTEX25_003717_ partial [Auxenochlorella protothecoides], RMZ55637.1 hypothetical protein APUTEX25_000220_ partial [Auxenochlorella protothecoides], RMZ53009.1 hypothetical protein APUTEX25_001128_ partial [Auxenochlorella protothecoides]	KAI3424375.1 hypothetical protein D9Q98_009928 [Chlorella vulgaris], KAI3424432.1 hypothetical protein D9Q98_009984 [Chlorella vulgaris], KAI3424402.1 hypothetical protein D9Q98_009955 [Chlorella vulgaris], KAI3428571.1 hypothetical protein D9Q98_007393 [Chlorella vulgaris], KAI3424353.1 hypothetical protein D9Q98_009906 [Chlorella vulgaris], KAI3424410.1 hypothetical protein D9Q98_009962 [Chlorella vulgaris], KAI3424383.1 hypothetical protein D9Q98_009936 [Chlorella vulgaris], KAI3428592.1 hypothetical protein D9Q98_007415 [Chlorella vulgaris]
OG0000006	RMZ56115.1 hypothetical protein APUTEX25_004539 [Auxenochlorella protothecoides]	KAI3428490.1 hypothetical protein D9Q98_007315 [Chlorella vulgaris]
OG0000007	RMZ52176.1 hypothetical protein APUTEX25_001566 [Auxenochlorella protothecoides]	KAI3424460.1 hypothetical protein D9Q98_010011 [Chlorella vulgaris]
OG0000007	RMZ53786.1 hypothetical protein APUTEX25_003925 [Auxenochlorella protothecoides], RMZ55468.1 hypothetical protein APUTEX25_000051 [Auxenochlorella protothecoides], RMZ52472.1 hypothetical protein APUTEX25_003615 [Auxenochlorella protothecoides], RMZ52594.1 hypothetical protein APUTEX25_000713 [Auxenochlorella protothecoides]	KAI3424352.1 hypothetical protein D9Q98_009905 [Chlorella vulgaris], KAI3424382.1 hypothetical protein D9Q98_009935 [Chlorella vulgaris], KAI3424433.1 hypothetical protein D9Q98_009985 [Chlorella vulgaris], KAI3424411.1 hypothetical protein D9Q98_009963 [Chlorella vulgaris], KAI3424401.1 hypothetical protein D9Q98_009954 [Chlorella vulgaris], KAI3424376.1 hypothetical protein D9Q98_009929 [Chlorella vulgaris], KAI3428572.1 hypothetical protein D9Q98_007394 [Chlorella vulgaris], KAI3428591.1 hypothetical protein D9Q98_007414 [Chlorella vulgaris]
OG0000008	RMZ52519.1 hypothetical protein APUTEX25_003662 [Auxenochlorella protothecoides], RMZ55557.1 hypothetical protein APUTEX25_000140 [Auxenochlorella protothecoides]	KAI3424399.1 hypothetical protein D9Q98_009952 [Chlorella vulgaris]
OG0000008	RMZ56756.1 hypothetical protein APUTEX25_002845 [Auxenochlorella protothecoides]	KAI3424386.1 hypothetical protein D9Q98_009939 [Chlorella vulgaris]
OG0000009	RMZ53398.1 hypothetical protein APUTEX25_004886 [Auxenochlorella protothecoides]	KAI3438951.1 hypothetical protein D9Q98_001365 [Chlorella vulgaris]
OG0000011	RMZ55904.1 hypothetical protein APUTEX25_003982_ partial [Auxenochlorella protothecoides]	KAI3436406.1 hypothetical protein D9Q98_005823 [Chlorella vulgaris]
OG0000013	RMZ55143.1 hypothetical protein APUTEX25_005421 [Auxenochlorella protothecoides], RMZ57357.1 hypothetical protein APUTEX25_004191 [Auxenochlorella protothecoides]	KAI3426414.1 hypothetical protein D9Q98_008783 [Chlorella vulgaris]
OG0000013	RMZ57701.1 hypothetical protein APUTEX25_001901_ partial [Auxenochlorella protothecoides]	KAI3438615.1 hypothetical protein D9Q98_001038 [Chlorella vulgaris]
OG0000013	RMZ52931.1 hypothetical protein APUTEX25_001050 [Auxenochlorella protothecoides]	KAI3438890.1 hypothetical protein D9Q98_001305 [Chlorella vulgaris]
OG0000014	RMZ54969.1 hypothetical protein APUTEX25_000486_ partial [Auxenochlorella protothecoides]	KAI3436474.1 hypothetical protein D9Q98_005891 [Chlorella vulgaris]
OG0000014	RMZ57118.1 hypothetical protein APUTEX25_002350 [Auxenochlorella protothecoides]	KAI3424803.1 hypothetical protein D9Q98_008189 [Chlorella vulgaris]
OG0000014	RMZ52047.1 hypothetical protein APUTEX25_001241 [Auxenochlorella protothecoides]	KAI3438190.1 hypothetical protein D9Q98_000627 [Chlorella vulgaris]
OG0000014	RMZ53818.1 hypothetical protein APUTEX25_003957_ partial [Auxenochlorella protothecoides]	KAI3438732.1 hypothetical protein D9Q98_001152 [Chlorella vulgaris], KAI3438240.1 hypothetical protein D9Q98_000677 [Chlorella vulgaris]
OG0000016	RMZ52516.1 hypothetical protein APUTEX25_003659 [Auxenochlorella protothecoides]	KAI3427078.1 hypothetical protein D9Q98_007017 [Chlorella vulgaris], KAI3427077.1 hypothetical protein D9Q98_007017 [Chlorella vulgaris]
OG0000016	RMZ57375.1 hypothetical protein APUTEX25_004209 [Auxenochlorella protothecoides]	KAI3425284.1 hypothetical protein D9Q98_009051 [Chlorella vulgaris]
OG0000016	RMZ54238.1 hypothetical protein APUTEX25_000589 [Auxenochlorella protothecoides]	KAI3425029.1 hypothetical protein D9Q98_008407 [Chlorella vulgaris]
OG0000018	RMZ56462.1 hypothetical protein APUTEX25_004685 [Auxenochlorella protothecoides]	KAI3428238.1 hypothetical protein D9Q98_006618 [Chlorella vulgaris]
OG0000018	RMZ56882.1 hypothetical protein APUTEX25_002971_ partial [Auxenochlorella protothecoides]	KAI3424394.1 hypothetical protein D9Q98_009947 [Chlorella vulgaris]
OG0000018	RMZ56699.1 hypothetical protein APUTEX25_002788 [Auxenochlorella protothecoides]	KAI3424403.1 hypothetical protein D9Q98_009956 [Chlorella vulgaris], KAI3424404.1 hypothetical protein D9Q98_009956 [Chlorella vulgaris]
