Orthogroup	Auxenochlorella_protothecoides	Chlorella_A99	Chlorella_KRBP	Chlorella_Sorokiniana1602	Chlorella_VariabilisNC64A	Chlorella_Vulgaris2111P	Coccomyxa_SubellipsoideaC169	Micractinium_SAG24180	Scenedesmus_NREL	Scenedesmus_PABB004
OG0010657	RMZ52007.1 hypothetical protein APUTEX25_002700_ partial [Auxenochlorella protothecoides]									
OG0010658	RMZ52012.1 hypothetical protein APUTEX25_001206 [Auxenochlorella protothecoides]									
OG0010659	RMZ52059.1 hypothetical protein APUTEX25_001253 [Auxenochlorella protothecoides]									
OG0010660	RMZ52087.1 hypothetical protein APUTEX25_001281 [Auxenochlorella protothecoides]									
OG0010661	RMZ52098.1 hypothetical protein APUTEX25_001292_ partial [Auxenochlorella protothecoides]									
OG0010662	RMZ52118.1 hypothetical protein APUTEX25_001312 [Auxenochlorella protothecoides]									
OG0010663	RMZ52122.1 hypothetical protein APUTEX25_003609 [Auxenochlorella protothecoides]									
OG0010664	RMZ52131.1 hypothetical protein APUTEX25_001521 [Auxenochlorella protothecoides]									
OG0010665	RMZ52152.1 hypothetical protein APUTEX25_001542 [Auxenochlorella protothecoides]									
OG0010666	RMZ52167.1 hypothetical protein APUTEX25_001557_ partial [Auxenochlorella protothecoides]									
OG0010667	RMZ52196.1 hypothetical protein APUTEX25_001586_ partial [Auxenochlorella protothecoides]									
OG0010668	RMZ52197.1 hypothetical protein APUTEX25_001587_ partial [Auxenochlorella protothecoides]									
OG0010669	RMZ52205.1 hypothetical protein APUTEX25_001595_ partial [Auxenochlorella protothecoides]									
OG0010670	RMZ52206.1 hypothetical protein APUTEX25_001596 [Auxenochlorella protothecoides]									
OG0010671	RMZ52211.1 hypothetical protein APUTEX25_001601 [Auxenochlorella protothecoides]									
OG0010672	RMZ52217.1 hypothetical protein APUTEX25_001607 [Auxenochlorella protothecoides]									
OG0010673	RMZ52286.1 hypothetical protein APUTEX25_001676 [Auxenochlorella protothecoides]									
OG0010674	RMZ52294.1 hypothetical protein APUTEX25_001684 [Auxenochlorella protothecoides]									
OG0010675	RMZ52297.1 hypothetical protein APUTEX25_001687 [Auxenochlorella protothecoides]									
OG0010676	RMZ52299.1 hypothetical protein APUTEX25_001689 [Auxenochlorella protothecoides]									
OG0010677	RMZ52300.1 hypothetical protein APUTEX25_001690 [Auxenochlorella protothecoides]									
OG0010678	RMZ52302.1 hypothetical protein APUTEX25_000570 [Auxenochlorella protothecoides]									
OG0010679	RMZ52305.1 hypothetical protein APUTEX25_001921_ partial [Auxenochlorella protothecoides]									
OG0010680	RMZ52325.1 hypothetical protein APUTEX25_005078 [Auxenochlorella protothecoides]									
OG0010681	RMZ52326.1 hypothetical protein APUTEX25_005079 [Auxenochlorella protothecoides]									
OG0010682	RMZ52334.1 hypothetical protein APUTEX25_005087 [Auxenochlorella protothecoides]									
OG0010683	RMZ52341.1 hypothetical protein APUTEX25_005094 [Auxenochlorella protothecoides]									
OG0010684	RMZ52344.1 hypothetical protein APUTEX25_005097 [Auxenochlorella protothecoides]									
