Orthogroup	Chlorella_A99	Chlorella_Vulgaris2111P
OG0000001	PCFQ01000058.1 g261 [Chlorella sp. A99], PCFQ01000006.1 g3245 [Chlorella sp. A99]	KAI3423840.1 hypothetical protein D9Q98_009676 [Chlorella vulgaris]
OG0000002	PCFQ01000029.1 g2733 [Chlorella sp. A99]	KAI3438351.1 hypothetical protein D9Q98_000783 [Chlorella vulgaris]
OG0000002	PCFQ01000005.1 g859 [Chlorella sp. A99]	KAI3438361.1 hypothetical protein D9Q98_000793 [Chlorella vulgaris], KAI3430872.1 hypothetical protein D9Q98_009281 [Chlorella vulgaris], KAI3438364.1 hypothetical protein D9Q98_000796 [Chlorella vulgaris], KAI3438358.1 hypothetical protein D9Q98_000790 [Chlorella vulgaris], KAI3434581.1 hypothetical protein D9Q98_002651 [Chlorella vulgaris], KAI3434582.1 hypothetical protein D9Q98_002651 [Chlorella vulgaris], KAI3434580.1 hypothetical protein D9Q98_002650 [Chlorella vulgaris], KAI3430928.1 hypothetical protein D9Q98_009337 [Chlorella vulgaris], KAI3435605.1 hypothetical protein D9Q98_001668 [Chlorella vulgaris], KAI3435603.1 hypothetical protein D9Q98_001666 [Chlorella vulgaris], KAI3435599.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3435602.1 hypothetical protein D9Q98_001665 [Chlorella vulgaris], KAI3438367.1 hypothetical protein D9Q98_000799 [Chlorella vulgaris], KAI3427445.1 hypothetical protein D9Q98_010359 [Chlorella vulgaris], KAI3427446.1 hypothetical protein D9Q98_010360 [Chlorella vulgaris], KAI3430959.1 hypothetical protein D9Q98_009366 [Chlorella vulgaris], KAI3430960.1 hypothetical protein D9Q98_009366 [Chlorella vulgaris], KAI3430967.1 hypothetical protein D9Q98_009372 [Chlorella vulgaris], KAI3435601.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3438357.1 hypothetical protein D9Q98_000789 [Chlorella vulgaris], KAI3427280.1 hypothetical protein D9Q98_007212 [Chlorella vulgaris], KAI3435600.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3438349.1 hypothetical protein D9Q98_000781 [Chlorella vulgaris], KAI3438362.1 hypothetical protein D9Q98_000794 [Chlorella vulgaris], KAI3430966.1 hypothetical protein D9Q98_009371 [Chlorella vulgaris]
OG0000003	PCFQ01000002.1 g685 [Chlorella sp. A99]	KAI3437643.1 hypothetical protein D9Q98_000094 [Chlorella vulgaris], KAI3430747.1 hypothetical protein D9Q98_009159 [Chlorella vulgaris], KAI3430596.1 hypothetical protein D9Q98_005189 [Chlorella vulgaris], KAI3428300.1 hypothetical protein D9Q98_006679 [Chlorella vulgaris], KAI3429368.1 hypothetical protein D9Q98_005463 [Chlorella vulgaris], KAI3429367.1 hypothetical protein D9Q98_005462 [Chlorella vulgaris], KAI3436557.1 hypothetical protein D9Q98_005973 [Chlorella vulgaris], KAI3428290.1 hypothetical protein D9Q98_006669 [Chlorella vulgaris], KAI3430755.1 hypothetical protein D9Q98_009167 [Chlorella vulgaris], KAI3428291.1 hypothetical protein D9Q98_006670 [Chlorella vulgaris], KAI3433380.1 hypothetical protein D9Q98_003196 [Chlorella vulgaris]
OG0000004	PCFQ01000079.1 g1475 [Chlorella sp. A99]	KAI3437670.1 hypothetical protein D9Q98_000120 [Chlorella vulgaris], KAI3424143.1 hypothetical protein D9Q98_009503 [Chlorella vulgaris], KAI3424061.1 hypothetical protein D9Q98_009424 [Chlorella vulgaris], KAI3425342.1 hypothetical protein D9Q98_009106 [Chlorella vulgaris], KAI3424328.1 hypothetical protein D9Q98_009881 [Chlorella vulgaris], KAI3426124.1 hypothetical protein D9Q98_008503 [Chlorella vulgaris], KAI3424155.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris], KAI3424156.1 hypothetical protein D9Q98_009515 [Chlorella vulgaris], KAI3430979.1 hypothetical protein D9Q98_009383 [Chlorella vulgaris], KAI3437765.1 hypothetical protein D9Q98_000212 [Chlorella vulgaris], KAI3433657.1 hypothetical protein D9Q98_003466 [Chlorella vulgaris], KAI3437552.1 hypothetical protein D9Q98_000005 [Chlorella vulgaris], KAI3437553.1 hypothetical protein D9Q98_000006 [Chlorella vulgaris], KAI3427434.1 hypothetical protein D9Q98_010349 [Chlorella vulgaris]
OG0000005	PCFQ01000079.1 g1243 [Chlorella sp. A99]	KAI3429680.1 hypothetical protein D9Q98_005765 [Chlorella vulgaris]
OG0000005	PCFQ01000015.1 g2977 [Chlorella sp. A99]	KAI3424375.1 hypothetical protein D9Q98_009928 [Chlorella vulgaris], KAI3424432.1 hypothetical protein D9Q98_009984 [Chlorella vulgaris], KAI3424402.1 hypothetical protein D9Q98_009955 [Chlorella vulgaris], KAI3428571.1 hypothetical protein D9Q98_007393 [Chlorella vulgaris], KAI3424353.1 hypothetical protein D9Q98_009906 [Chlorella vulgaris], KAI3424410.1 hypothetical protein D9Q98_009962 [Chlorella vulgaris], KAI3424383.1 hypothetical protein D9Q98_009936 [Chlorella vulgaris], KAI3428592.1 hypothetical protein D9Q98_007415 [Chlorella vulgaris]
OG0000005	PCFQ01000015.1 g2985 [Chlorella sp. A99], PCFQ01000015.1 g3006 [Chlorella sp. A99], PCFQ01000015.1 g2995 [Chlorella sp. A99], PCFQ01000015.1 g3024 [Chlorella sp. A99], PCFQ01000015.1 g3044 [Chlorella sp. A99], PCFQ01000005.1 g820 [Chlorella sp. A99], PCFQ01000005.1 g826 [Chlorella sp. A99]	KAI3427071.1 hypothetical protein D9Q98_007011 [Chlorella vulgaris]
OG0000005	PCFQ01000001.1 g977 [Chlorella sp. A99]	KAI3429597.1 hypothetical protein D9Q98_005683 [Chlorella vulgaris]
OG0000006	PCFQ01000079.1 g1425 [Chlorella sp. A99]	KAI3428490.1 hypothetical protein D9Q98_007315 [Chlorella vulgaris]
OG0000006	PCFQ01000009.1 g1704 [Chlorella sp. A99]	KAI3438102.1 hypothetical protein D9Q98_000544 [Chlorella vulgaris]
OG0000006	PCFQ01000002.1 g693 [Chlorella sp. A99]	KAI3437831.1 hypothetical protein D9Q98_000278 [Chlorella vulgaris]
OG0000006	PCFQ01000020.1 g891 [Chlorella sp. A99], PCFQ01000008.1 g1169 [Chlorella sp. A99]	KAI3432762.1 hypothetical protein D9Q98_004302 [Chlorella vulgaris]
OG0000006	PCFQ01000082.1 g563 [Chlorella sp. A99]	KAI3430255.1 hypothetical protein D9Q98_004851 [Chlorella vulgaris], KAI3425719.1 hypothetical protein D9Q98_007695 [Chlorella vulgaris], KAI3425723.1 hypothetical protein D9Q98_007699 [Chlorella vulgaris], KAI3425720.1 hypothetical protein D9Q98_007696 [Chlorella vulgaris], KAI3425961.1 hypothetical protein D9Q98_007931 [Chlorella vulgaris]
OG0000007	PCFQ01000082.1 g581 [Chlorella sp. A99]	KAI3424460.1 hypothetical protein D9Q98_010011 [Chlorella vulgaris]
