Orthogroup	Chlorella_Vulgaris2111P	Chlorella_Sorokiniana1602
OG0000001	KAI3423840.1 hypothetical protein D9Q98_009676 [Chlorella vulgaris]	PRW32527.1 Acetylornithine chloroplastic mitochondrial [Chlorella sorokiniana]
OG0000002	KAI3438351.1 hypothetical protein D9Q98_000783 [Chlorella vulgaris]	PRW05741.1 reverse transcriptase_R [Chlorella sorokiniana]
OG0000002	KAI3438361.1 hypothetical protein D9Q98_000793 [Chlorella vulgaris], KAI3430872.1 hypothetical protein D9Q98_009281 [Chlorella vulgaris], KAI3438364.1 hypothetical protein D9Q98_000796 [Chlorella vulgaris], KAI3438358.1 hypothetical protein D9Q98_000790 [Chlorella vulgaris], KAI3434581.1 hypothetical protein D9Q98_002651 [Chlorella vulgaris], KAI3434582.1 hypothetical protein D9Q98_002651 [Chlorella vulgaris], KAI3434580.1 hypothetical protein D9Q98_002650 [Chlorella vulgaris], KAI3430928.1 hypothetical protein D9Q98_009337 [Chlorella vulgaris], KAI3435605.1 hypothetical protein D9Q98_001668 [Chlorella vulgaris], KAI3435603.1 hypothetical protein D9Q98_001666 [Chlorella vulgaris], KAI3435599.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3435602.1 hypothetical protein D9Q98_001665 [Chlorella vulgaris], KAI3438367.1 hypothetical protein D9Q98_000799 [Chlorella vulgaris], KAI3427445.1 hypothetical protein D9Q98_010359 [Chlorella vulgaris], KAI3427446.1 hypothetical protein D9Q98_010360 [Chlorella vulgaris], KAI3430959.1 hypothetical protein D9Q98_009366 [Chlorella vulgaris], KAI3430960.1 hypothetical protein D9Q98_009366 [Chlorella vulgaris], KAI3430967.1 hypothetical protein D9Q98_009372 [Chlorella vulgaris], KAI3435601.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3438357.1 hypothetical protein D9Q98_000789 [Chlorella vulgaris], KAI3427280.1 hypothetical protein D9Q98_007212 [Chlorella vulgaris], KAI3435600.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3438349.1 hypothetical protein D9Q98_000781 [Chlorella vulgaris], KAI3438362.1 hypothetical protein D9Q98_000794 [Chlorella vulgaris], KAI3430966.1 hypothetical protein D9Q98_009371 [Chlorella vulgaris]	PRW61566.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform A [Chlorella sorokiniana], PRW61567.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform B [Chlorella sorokiniana]
OG0000002	KAI3438354.1 hypothetical protein D9Q98_000786 [Chlorella vulgaris], KAI3427281.1 hypothetical protein D9Q98_007213 [Chlorella vulgaris]	PRW05739.1 Gag-Pol poly [Chlorella sorokiniana], PRW61569.1 Gag-Pol poly [Chlorella sorokiniana]
OG0000003	KAI3424123.1 hypothetical protein D9Q98_009484 [Chlorella vulgaris]	PRW60465.1 expressed protein isoform B [Chlorella sorokiniana], PRW60464.1 expressed protein isoform A [Chlorella sorokiniana]
OG0000003	KAI3436441.1 hypothetical protein D9Q98_005858 [Chlorella vulgaris]	PRW56332.1 S-acyltransferase 24 [Chlorella sorokiniana]
OG0000003	KAI3432370.1 hypothetical protein D9Q98_003927 [Chlorella vulgaris], KAI3432358.1 hypothetical protein D9Q98_003915 [Chlorella vulgaris]	PRW61115.1 hypothetical protein C2E21_0584 [Chlorella sorokiniana]
OG0000003	KAI3424212.1 hypothetical protein D9Q98_009568 [Chlorella vulgaris]	PRW59533.1 hypothetical protein C2E21_1609 [Chlorella sorokiniana]
OG0000003	KAI3427272.1 hypothetical protein D9Q98_007204 [Chlorella vulgaris]	PRW39142.1 hypothetical protein C2E21_7125 [Chlorella sorokiniana]
OG0000003	KAI3437643.1 hypothetical protein D9Q98_000094 [Chlorella vulgaris]	PRW59695.1 hypothetical protein C2E21_1633 [Chlorella sorokiniana], PRW60753.1 Zn2+-binding dehydrogenase [Chlorella sorokiniana]
