Orthogroup	Scenedesmus_NREL	Chlorella_A99
OG0000001	KAF6265258.1 hypothetical protein COO60DRAFT_1623924_ partial [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g261 [Chlorella sp. A99], PCFQ01000006.1 g3245 [Chlorella sp. A99]
OG0000002	KAF6258605.1 hypothetical protein COO60DRAFT_1639043 [Scenedesmus sp. NREL 46B-D3], KAF6257144.1 flagellar associated protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000029.1 g2733 [Chlorella sp. A99]
OG0000003	KAF6263598.1 phosphoribosyltransferase-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000003.1 g1036 [Chlorella sp. A99], PCFQ01000002.1 g685 [Chlorella sp. A99], PCFQ01000013.1 g3270 [Chlorella sp. A99]
OG0000004	KAF6260400.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264844.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6261352.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250912.1 SBP domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6251709.1 hypothetical protein COO60DRAFT_1644723 [Scenedesmus sp. NREL 46B-D3], KAF6262143.1 hypothetical protein COO60DRAFT_675428 [Scenedesmus sp. NREL 46B-D3], KAF6263211.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6259815.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250952.1 hypothetical protein COO60DRAFT_706206 [Scenedesmus sp. NREL 46B-D3], KAF6261110.1 hypothetical protein COO60DRAFT_1637014 [Scenedesmus sp. NREL 46B-D3], KAF6258175.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1475 [Chlorella sp. A99]
OG0000005	KAF6252076.1 hypothetical protein COO60DRAFT_1251114_ partial [Scenedesmus sp. NREL 46B-D3], KAF6252084.1 hypothetical protein COO60DRAFT_1257178_ partial [Scenedesmus sp. NREL 46B-D3], KAF6263025.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254739.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6240835.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000001.1 g977 [Chlorella sp. A99]
OG0000005	KAF6262800.1 histone-fold-containing protein_ partial [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g3014 [Chlorella sp. A99]
OG0000006	KAF6263287.1 kinase-like domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253127.1 hypothetical protein COO60DRAFT_1463350 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1425 [Chlorella sp. A99], PCFQ01000009.1 g1704 [Chlorella sp. A99], PCFQ01000002.1 g693 [Chlorella sp. A99], PCFQ01000015.1 g3051 [Chlorella sp. A99], PCFQ01000020.1 g891 [Chlorella sp. A99], PCFQ01000008.1 g1169 [Chlorella sp. A99], PCFQ01000082.1 g563 [Chlorella sp. A99]
OG0000007	KAF6252075.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6248398.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6252085.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253507.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253137.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253540.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253534.1 histone H2B type 1-C/E/F/G/I-like protein [Scenedesmus sp. NREL 46B-D3], KAF6240836.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6266598.1 putative histone [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g581 [Chlorella sp. A99], PCFQ01000018.1 g423 [Chlorella sp. A99], PCFQ01000015.1 g3043 [Chlorella sp. A99], PCFQ01000015.1 g3021 [Chlorella sp. A99], PCFQ01000015.1 g3000 [Chlorella sp. A99], PCFQ01000015.1 g3005 [Chlorella sp. A99], PCFQ01000015.1 g3025 [Chlorella sp. A99]
OG0000008	KAF6253689.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253539.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252081.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252086.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248397.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253533.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248395.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252074.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253506.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000015.1 g2986 [Chlorella sp. A99], PCFQ01000082.1 g615 [Chlorella sp. A99], PCFQ01000015.1 g3004 [Chlorella sp. A99], PCFQ01000082.1 g610 [Chlorella sp. A99], PCFQ01000015.1 g3013 [Chlorella sp. A99], PCFQ01000015.1 g3026 [Chlorella sp. A99], PCFQ01000015.1 g2978 [Chlorella sp. A99], PCFQ01000015.1 g3019 [Chlorella sp. A99], PCFQ01000015.1 g3022 [Chlorella sp. A99], PCFQ01000015.1 g3016 [Chlorella sp. A99]
OG0000011	KAF6265892.1 hypothetical protein COO60DRAFT_768059 [Scenedesmus sp. NREL 46B-D3], KAF6265889.1 hypothetical protein COO60DRAFT_1697568 [Scenedesmus sp. NREL 46B-D3], KAF6258193.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263888.1 hypothetical protein COO60DRAFT_308005 [Scenedesmus sp. NREL 46B-D3], KAF6255294.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255835.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266356.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265430.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1466 [Chlorella sp. A99]
OG0000013	KAF6258910.1 Snf1-like protein kinase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2688 [Chlorella sp. A99]
OG0000014	KAF6264995.1 hypothetical protein COO60DRAFT_1698077 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2026 [Chlorella sp. A99]
OG0000014	KAF6259760.1 cyclophilin-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g245 [Chlorella sp. A99]
OG0000014	KAF6258195.1 cyclophilin-type peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000046.1 g1865 [Chlorella sp. A99]
OG0000016	KAF6257509.1 mitochondrial carrier domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000005.1 g825 [Chlorella sp. A99]
OG0000016	KAF6255339.1 bi-ubiquitin [Scenedesmus sp. NREL 46B-D3]	PCFQ01000006.1 g3104 [Chlorella sp. A99]
OG0000016	KAF6264957.1 hypothetical protein COO60DRAFT_1634011 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000001.1 g1003 [Chlorella sp. A99]
OG0000016	KAF6256916.1 hypothetical protein COO60DRAFT_1640361 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2689 [Chlorella sp. A99]
OG0000016	KAF6262261.1 ubiquitin extension protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2796 [Chlorella sp. A99]
OG0000018	KAF6252740.1 hypothetical protein COO60DRAFT_502322 [Scenedesmus sp. NREL 46B-D3], KAF6253083.1 hypothetical protein COO60DRAFT_469421 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000008.1 g1163 [Chlorella sp. A99]
OG0000018	KAF6259699.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000020.1 g921 [Chlorella sp. A99]
OG0000018	KAF6257155.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6263245.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3], KAF6251055.1 Homeodomain-like protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000077.1 g1778 [Chlorella sp. A99]
OG0000020	KAF6261082.1 hypothetical protein COO60DRAFT_1637118 [Scenedesmus sp. NREL 46B-D3], KAF6256201.1 hypothetical protein COO60DRAFT_1640881 [Scenedesmus sp. NREL 46B-D3], KAF6258856.1 hypothetical protein COO60DRAFT_1626293 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000079.1 g1504 [Chlorella sp. A99]
OG0000023	KAF6249474.1 hypothetical protein COO60DRAFT_968441 [Scenedesmus sp. NREL 46B-D3], KAF6261206.1 hypothetical protein COO60DRAFT_801690 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000037.1 g2484 [Chlorella sp. A99]
OG0000024	KAF6250510.1 peptidase S8/S53 domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252011.1 subtilase [Scenedesmus sp. NREL 46B-D3]	PCFQ01000082.1 g566 [Chlorella sp. A99], PCFQ01000058.1 g150 [Chlorella sp. A99], PCFQ01000010.1 g357 [Chlorella sp. A99], PCFQ01000010.1 g359 [Chlorella sp. A99], PCFQ01000007.1 g1217 [Chlorella sp. A99]
OG0000025	KAF6261295.1 CheY-like superfamily [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2838 [Chlorella sp. A99]
OG0000026	KAF6258814.1 pyridoxal phosphate-dependent transferase [Scenedesmus sp. NREL 46B-D3], KAF6252797.1 hypothetical protein COO60DRAFT_1628447 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g54 [Chlorella sp. A99]
OG0000029	KAF6259608.1 hypothetical protein COO60DRAFT_1460106 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000020.1 g911 [Chlorella sp. A99]
OG0000029	KAF6262470.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262467.1 RlpA-like double-psi beta-barrel-protein domain-containing protein-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000010.1 g362 [Chlorella sp. A99]
OG0000031	KAF6260940.1 cytochrome P450 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000058.1 g100 [Chlorella sp. A99]
OG0000032	KAF6252709.1 Gametolysin peptidase M11-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265132.1 Gametolysin peptidase M11-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000001.1 g991 [Chlorella sp. A99]
OG0000035	KAF6253624.1 LsmAD domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2024 [Chlorella sp. A99]
OG0000036	KAF6263822.1 hypothetical protein COO60DRAFT_345552 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2010 [Chlorella sp. A99], PCFQ01000010.1 g311 [Chlorella sp. A99], PCFQ01000082.1 g538 [Chlorella sp. A99]
OG0000037	KAF6262818.1 light harvesting complex II protein precursor [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2858 [Chlorella sp. A99]
OG0000038	KAF6256320.1 core-2/I-branching enzyme-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2699 [Chlorella sp. A99], PCFQ01000009.1 g1721 [Chlorella sp. A99]
OG0000039	KAF6263368.1 hypothetical protein COO60DRAFT_1698811 [Scenedesmus sp. NREL 46B-D3], KAF6254769.1 pectin lyase fold/virulence factor_ partial [Scenedesmus sp. NREL 46B-D3]	PCFQ01000078.1 g2164 [Chlorella sp. A99], PCFQ01000002.1 g694 [Chlorella sp. A99]
OG0000042	KAF6263080.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3], KAF6256603.1 sodium/phosphate symporter [Scenedesmus sp. NREL 46B-D3], KAF6259740.1 sodium/phosphate symporter [Scenedesmus sp. NREL 46B-D3], KAF6251745.1 phosphate transporter family-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262371.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3], KAF6250657.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3], KAF6252255.1 phosphate transporter [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2664 [Chlorella sp. A99]
OG0000043	KAF6262255.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6264757.1 glycosyl hydrolases family 31-domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253912.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262828.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254921.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6258268.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256155.1 glycosyl hydrolases family 31-domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PCFQ01000020.1 g910 [Chlorella sp. A99]
OG0000044	KAF6258012.1 hypothetical protein COO60DRAFT_1164663 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000011.1 g2748 [Chlorella sp. A99], PCFQ01000023.1 g2223 [Chlorella sp. A99], PCFQ01000015.1 g2988 [Chlorella sp. A99], PCFQ01000008.1 g1142 [Chlorella sp. A99]
OG0000045	KAF6262509.1 ATP-binding cassette transporter [Scenedesmus sp. NREL 46B-D3], KAF6262511.1 ATP-binding cassette transporter [Scenedesmus sp. NREL 46B-D3], KAF6261001.1 ATP-binding cassette transporter [Scenedesmus sp. NREL 46B-D3], KAF6250524.1 ATP-binding cassette transporter [Scenedesmus sp. NREL 46B-D3]	PCFQ01000003.1 g1074 [Chlorella sp. A99]
OG0000049	KAF6254669.1 hypothetical protein COO60DRAFT_296766 [Scenedesmus sp. NREL 46B-D3]	PCFQ01000004.1 g2665 [Chlorella sp. A99]
