Orthogroup	Chlorella_VariabilisNC64A	Chlorella_A99
OG0000001	XP_005847914.1 hypothetical protein CHLNCDRAFT_145316 [Chlorella variabilis]	PCFQ01000058.1 g261 [Chlorella sp. A99], PCFQ01000006.1 g3245 [Chlorella sp. A99]
OG0000002	XP_005848796.1 hypothetical protein CHLNCDRAFT_51454 [Chlorella variabilis], XP_005848587.1 hypothetical protein CHLNCDRAFT_145176 [Chlorella variabilis]	PCFQ01000029.1 g2733 [Chlorella sp. A99]
OG0000003	XP_005848871.1 hypothetical protein CHLNCDRAFT_144246 [Chlorella variabilis]	PCFQ01000003.1 g1036 [Chlorella sp. A99]
OG0000003	XP_005847999.1 expressed protein [Chlorella variabilis], XP_005847434.1 hypothetical protein CHLNCDRAFT_134328 [Chlorella variabilis], XP_005847441.1 hypothetical protein CHLNCDRAFT_134345 [Chlorella variabilis], XP_005850412.1 hypothetical protein CHLNCDRAFT_142315 [Chlorella variabilis], XP_005852188.1 hypothetical protein CHLNCDRAFT_133395 [Chlorella variabilis], XP_005852056.1 hypothetical protein CHLNCDRAFT_133040 [Chlorella variabilis], XP_005852055.1 expressed protein [Chlorella variabilis], XP_005850707.1 hypothetical protein CHLNCDRAFT_140796 [Chlorella variabilis], XP_005850406.1 hypothetical protein CHLNCDRAFT_142302 [Chlorella variabilis], XP_005850407.1 expressed protein [Chlorella variabilis], XP_005851305.1 hypothetical protein CHLNCDRAFT_56786 [Chlorella variabilis]	PCFQ01000002.1 g685 [Chlorella sp. A99]
OG0000003	XP_005844659.1 hypothetical protein CHLNCDRAFT_138538 [Chlorella variabilis]	PCFQ01000013.1 g3270 [Chlorella sp. A99]
OG0000004	XP_005844033.1 hypothetical protein CHLNCDRAFT_54787 [Chlorella variabilis], XP_005847991.1 hypothetical protein CHLNCDRAFT_17960_ partial [Chlorella variabilis], XP_005845592.1 hypothetical protein CHLNCDRAFT_53768 [Chlorella variabilis], XP_005845837.1 hypothetical protein CHLNCDRAFT_136317 [Chlorella variabilis], XP_005844034.1 hypothetical protein CHLNCDRAFT_27387_ partial [Chlorella variabilis], XP_005843727.1 hypothetical protein CHLNCDRAFT_140043 [Chlorella variabilis], XP_005848208.1 expressed protein [Chlorella variabilis], XP_005845539.1 hypothetical protein CHLNCDRAFT_136680 [Chlorella variabilis], XP_005842938.1 hypothetical protein CHLNCDRAFT_37677 [Chlorella variabilis], XP_005847945.1 hypothetical protein CHLNCDRAFT_17840_ partial [Chlorella variabilis], XP_005851959.1 hypothetical protein CHLNCDRAFT_133640 [Chlorella variabilis], XP_005845547.1 hypothetical protein CHLNCDRAFT_136695 [Chlorella variabilis], XP_005852265.1 hypothetical protein CHLNCDRAFT_133643 [Chlorella variabilis], XP_005843521.1 hypothetical protein CHLNCDRAFT_59250 [Chlorella variabilis], XP_005851469.1 hypothetical protein CHLNCDRAFT_19177_ partial [Chlorella variabilis], XP_005849248.1 hypothetical protein CHLNCDRAFT_143491 [Chlorella variabilis], XP_005844521.1 hypothetical protein CHLNCDRAFT_138913 [Chlorella variabilis], XP_005848195.1 hypothetical protein CHLNCDRAFT_145623 [Chlorella variabilis], XP_005843197.1 hypothetical protein CHLNCDRAFT_28394 [Chlorella variabilis]	PCFQ01000079.1 g1475 [Chlorella sp. A99]
OG0000005	XP_005851876.1 hypothetical protein CHLNCDRAFT_133450 [Chlorella variabilis]	PCFQ01000079.1 g1243 [Chlorella sp. A99]
OG0000005	XP_005843647.1 hypothetical protein CHLNCDRAFT_54989 [Chlorella variabilis], XP_005843638.1 hypothetical protein CHLNCDRAFT_54972 [Chlorella variabilis], XP_005847129.1 hypothetical protein CHLNCDRAFT_52799 [Chlorella variabilis], XP_005843094.1 hypothetical protein CHLNCDRAFT_28450 [Chlorella variabilis], XP_005843702.1 hypothetical protein CHLNCDRAFT_27894 [Chlorella variabilis]	PCFQ01000015.1 g2977 [Chlorella sp. A99]
OG0000005	XP_005848689.1 hypothetical protein CHLNCDRAFT_21904 [Chlorella variabilis]	PCFQ01000015.1 g2985 [Chlorella sp. A99], PCFQ01000015.1 g3006 [Chlorella sp. A99], PCFQ01000015.1 g2995 [Chlorella sp. A99], PCFQ01000015.1 g3024 [Chlorella sp. A99], PCFQ01000015.1 g3044 [Chlorella sp. A99], PCFQ01000005.1 g820 [Chlorella sp. A99], PCFQ01000005.1 g826 [Chlorella sp. A99]
OG0000005	XP_005852170.1 hypothetical protein CHLNCDRAFT_48410 [Chlorella variabilis]	PCFQ01000001.1 g977 [Chlorella sp. A99]
