Orthogroup	Scenedesmus_PABB004	Chlorella_VariabilisNC64A
OG0000002	KAF8059971.1 RE1 [Scenedesmus sp. PABB004]	XP_005848796.1 hypothetical protein CHLNCDRAFT_51454 [Chlorella variabilis], XP_005848587.1 hypothetical protein CHLNCDRAFT_145176 [Chlorella variabilis]
OG0000003	KAF8071037.1 hypothetical protein HT031_001119 [Scenedesmus sp. PABB004]	XP_005845559.1 hypothetical protein CHLNCDRAFT_136719 [Chlorella variabilis]
OG0000003	KAF8072564.1 phosphoribosyl transferase [Scenedesmus sp. PABB004], KAF8062809.1 hypothetical protein HT031_004139 [Scenedesmus sp. PABB004], KAF8057926.1 hypothetical protein HT031_005872 [Scenedesmus sp. PABB004], KAF8057889.1 hypothetical protein HT031_005835 [Scenedesmus sp. PABB004], KAF8069512.1 ASAT1 [Scenedesmus sp. PABB004]	XP_005845697.1 expressed protein [Chlorella variabilis], XP_005848945.1 hypothetical protein CHLNCDRAFT_144427 [Chlorella variabilis]
OG0000004	KAF8073156.1 SPL3 [Scenedesmus sp. PABB004]	XP_005847991.1 hypothetical protein CHLNCDRAFT_17960_ partial [Chlorella variabilis]
OG0000004	KAF8071295.1 SPL5 [Scenedesmus sp. PABB004]	XP_005843727.1 hypothetical protein CHLNCDRAFT_140043 [Chlorella variabilis]
OG0000004	KAF8071247.1 SPL14 [Scenedesmus sp. PABB004], KAF8059132.1 SPL1 [Scenedesmus sp. PABB004], KAF8073215.1 SPL8 [Scenedesmus sp. PABB004], KAF8073175.1 LG1 [Scenedesmus sp. PABB004], KAF8061149.1 SPL2 [Scenedesmus sp. PABB004], KAF8061148.1 SPL1 [Scenedesmus sp. PABB004], KAF8067136.1 hypothetical protein HT031_002183 [Scenedesmus sp. PABB004]	XP_005848208.1 expressed protein [Chlorella variabilis]
OG0000004	KAF8057876.1 SPL3 [Scenedesmus sp. PABB004], KAF8057875.1 SPL3 [Scenedesmus sp. PABB004]	XP_005845539.1 hypothetical protein CHLNCDRAFT_136680 [Chlorella variabilis], XP_005842938.1 hypothetical protein CHLNCDRAFT_37677 [Chlorella variabilis], XP_005847945.1 hypothetical protein CHLNCDRAFT_17840_ partial [Chlorella variabilis], XP_005851959.1 hypothetical protein CHLNCDRAFT_133640 [Chlorella variabilis], XP_005845547.1 hypothetical protein CHLNCDRAFT_136695 [Chlorella variabilis], XP_005852265.1 hypothetical protein CHLNCDRAFT_133643 [Chlorella variabilis]
OG0000005	KAF8069675.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069689.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069662.1 Histone H2A-IV [Scenedesmus sp. PABB004]	XP_005852170.1 hypothetical protein CHLNCDRAFT_48410 [Chlorella variabilis]
OG0000006	KAF8069681.1 drkC [Scenedesmus sp. PABB004]	XP_005845485.1 hypothetical protein CHLNCDRAFT_25821 [Chlorella variabilis], XP_005844803.1 hypothetical protein CHLNCDRAFT_13714_ partial [Chlorella variabilis], XP_005847493.1 hypothetical protein CHLNCDRAFT_12761_ partial [Chlorella variabilis], XP_005846952.1 hypothetical protein CHLNCDRAFT_23857 [Chlorella variabilis], XP_005843500.1 hypothetical protein CHLNCDRAFT_141030 [Chlorella variabilis], XP_005847121.1 hypothetical protein CHLNCDRAFT_24126 [Chlorella variabilis], XP_005843205.1 hypothetical protein CHLNCDRAFT_14990_ partial [Chlorella variabilis], XP_005851910.1 hypothetical protein CHLNCDRAFT_17554_ partial [Chlorella variabilis], XP_005848072.1 hypothetical protein CHLNCDRAFT_145300 [Chlorella variabilis], XP_005845995.1 hypothetical protein CHLNCDRAFT_13716_ partial [Chlorella variabilis], XP_005845997.1 hypothetical protein CHLNCDRAFT_136055 [Chlorella variabilis], XP_005848395.1 hypothetical protein CHLNCDRAFT_144680 [Chlorella variabilis], XP_005848611.1 hypothetical protein CHLNCDRAFT_30642 [Chlorella variabilis], XP_005845704.1 hypothetical protein CHLNCDRAFT_136834 [Chlorella variabilis], XP_005845996.1 expressed protein [Chlorella variabilis], XP_005848610.1 hypothetical protein CHLNCDRAFT_57467 [Chlorella variabilis], XP_005844574.1 hypothetical protein CHLNCDRAFT_26742 [Chlorella variabilis], XP_005843211.1 hypothetical protein CHLNCDRAFT_13183_ partial [Chlorella variabilis], XP_005844632.1 hypothetical protein CHLNCDRAFT_13628_ partial [Chlorella variabilis], XP_005844631.1 hypothetical protein CHLNCDRAFT_36848 [Chlorella variabilis], XP_005847536.1 hypothetical protein CHLNCDRAFT_133720 [Chlorella variabilis], XP_005847535.1 hypothetical protein CHLNCDRAFT_31062 [Chlorella variabilis], XP_005847828.1 hypothetical protein CHLNCDRAFT_134046 [Chlorella variabilis]
OG0000008	KAF8069669.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069673.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069657.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069678.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069686.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069659.1 Histone H4 [Scenedesmus sp. PABB004]	XP_005843696.1 hypothetical protein CHLNCDRAFT_139973 [Chlorella variabilis], XP_005847450.1 hypothetical protein CHLNCDRAFT_134363 [Chlorella variabilis], XP_005846938.1 hypothetical protein CHLNCDRAFT_48891 [Chlorella variabilis], XP_005843707.1 hypothetical protein CHLNCDRAFT_27849 [Chlorella variabilis]
OG0000011	KAF8066337.1 Map3k12 [Scenedesmus sp. PABB004]	XP_005849952.1 hypothetical protein CHLNCDRAFT_143307 [Chlorella variabilis], XP_005849701.1 hypothetical protein CHLNCDRAFT_51171 [Chlorella variabilis], XP_005850592.1 hypothetical protein CHLNCDRAFT_29775 [Chlorella variabilis], XP_005850969.1 hypothetical protein CHLNCDRAFT_140750 [Chlorella variabilis], XP_005847290.1 hypothetical protein CHLNCDRAFT_134359 [Chlorella variabilis], XP_005850996.1 hypothetical protein CHLNCDRAFT_19742_ partial [Chlorella variabilis], XP_005842654.1 hypothetical protein CHLNCDRAFT_29026_ partial [Chlorella variabilis], XP_005850995.1 hypothetical protein CHLNCDRAFT_29915_ partial [Chlorella variabilis], XP_005842566.1 hypothetical protein CHLNCDRAFT_59518_ partial [Chlorella variabilis]
OG0000012	KAF8069656.1 histone H3 [Scenedesmus sp. PABB004], KAF8069687.1 histone H3 [Scenedesmus sp. PABB004]	XP_005847128.1 hypothetical protein CHLNCDRAFT_24354 [Chlorella variabilis]
OG0000012	KAF8069660.1 histone H3 [Scenedesmus sp. PABB004]	XP_005847291.1 hypothetical protein CHLNCDRAFT_48847 [Chlorella variabilis]
OG0000012	KAF8069674.1 histone H3 [Scenedesmus sp. PABB004]	XP_005843639.1 hypothetical protein CHLNCDRAFT_27828 [Chlorella variabilis], XP_005843648.1 histone H3.2 precursor [Chlorella variabilis], XP_005852293.1 hypothetical protein CHLNCDRAFT_28967 [Chlorella variabilis], XP_005843095.1 histone H3 [Chlorella variabilis], XP_005843780.1 hypothetical protein CHLNCDRAFT_59160 [Chlorella variabilis]
OG0000013	KAF8060557.1 SRK2G [Scenedesmus sp. PABB004]	XP_005842607.1 hypothetical protein CHLNCDRAFT_59511_ partial [Chlorella variabilis], XP_005848350.1 hypothetical protein CHLNCDRAFT_145069 [Chlorella variabilis]
OG0000013	KAF8069392.1 SRK2A [Scenedesmus sp. PABB004]	XP_005849558.1 hypothetical protein CHLNCDRAFT_34706 [Chlorella variabilis]
OG0000014	KAF8070918.1 PCKR1 [Scenedesmus sp. PABB004]	XP_005846492.1 hypothetical protein CHLNCDRAFT_24996 [Chlorella variabilis], XP_005846491.1 hypothetical protein CHLNCDRAFT_31767 [Chlorella variabilis]
OG0000014	KAF8061127.1 CYP20-1 [Scenedesmus sp. PABB004]	XP_005845180.1 hypothetical protein CHLNCDRAFT_26227_ partial [Chlorella variabilis]
OG0000014	KAF8055596.1 peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. PABB004]	XP_005846899.1 hypothetical protein CHLNCDRAFT_13673_ partial [Chlorella variabilis]
OG0000014	KAF8066173.1 hypothetical protein HT031_002495 [Scenedesmus sp. PABB004]	XP_005851644.1 hypothetical protein CHLNCDRAFT_12885_ partial [Chlorella variabilis]
OG0000014	KAF8056125.1 Ppib [Scenedesmus sp. PABB004]	XP_005849876.1 hypothetical protein CHLNCDRAFT_143107 [Chlorella variabilis]
OG0000015	KAF8064658.1 LINE-1 retrotransposable element ORF2 protein [Scenedesmus sp. PABB004]	XP_005843522.1 hypothetical protein CHLNCDRAFT_17890_ partial [Chlorella variabilis], XP_005845058.1 hypothetical protein CHLNCDRAFT_26263_ partial [Chlorella variabilis], XP_005844706.1 hypothetical protein CHLNCDRAFT_26569_ partial [Chlorella variabilis], XP_005849118.1 hypothetical protein CHLNCDRAFT_17888_ partial [Chlorella variabilis]
OG0000016	KAF8073145.1 NDT1 [Scenedesmus sp. PABB004]	XP_005848904.1 hypothetical protein CHLNCDRAFT_51574 [Chlorella variabilis]
OG0000016	KAF8056382.1 UBI3 [Scenedesmus sp. PABB004]	XP_005845753.1 ubiquitin_ partial [Chlorella variabilis], XP_005846791.1 hypothetical protein CHLNCDRAFT_24467_ partial [Chlorella variabilis]
OG0000016	KAF8064496.1 SDE2 [Scenedesmus sp. PABB004]	XP_005850414.1 hypothetical protein CHLNCDRAFT_15978_ partial [Chlorella variabilis]
OG0000018	KAF8067115.1 MYB98 [Scenedesmus sp. PABB004]	XP_005850135.1 hypothetical protein CHLNCDRAFT_15266_ partial [Chlorella variabilis]
OG0000018	KAF8057715.1 MYB118 [Scenedesmus sp. PABB004]	XP_005843092.1 hypothetical protein CHLNCDRAFT_13490_ partial [Chlorella variabilis]
OG0000018	KAF8065600.1 hypothetical protein HT031_003201 [Scenedesmus sp. PABB004]	XP_005848340.1 hypothetical protein CHLNCDRAFT_13979_ partial [Chlorella variabilis]
OG0000018	KAF8056861.1 MYB44 [Scenedesmus sp. PABB004], KAF8058933.1 MYB73 [Scenedesmus sp. PABB004]	XP_005850232.1 hypothetical protein CHLNCDRAFT_20303_ partial [Chlorella variabilis]
OG0000023	KAF8058078.1 zinc finger CCCH domain-containing protein 2 [Scenedesmus sp. PABB004]	XP_005844503.1 hypothetical protein CHLNCDRAFT_138869 [Chlorella variabilis], XP_005847308.1 hypothetical protein CHLNCDRAFT_134430 [Chlorella variabilis], XP_005847520.1 hypothetical protein CHLNCDRAFT_134556 [Chlorella variabilis]
OG0000024	KAF8058934.1 hypothetical protein HT031_005502 [Scenedesmus sp. PABB004]	XP_005848138.1 hypothetical protein CHLNCDRAFT_145475 [Chlorella variabilis]
OG0000024	KAF8059396.1 subtilisin-like protein [Scenedesmus sp. PABB004], KAF8056848.1 Thermophilic serine proteinase [Scenedesmus sp. PABB004]	XP_005847855.1 hypothetical protein CHLNCDRAFT_134105 [Chlorella variabilis], XP_005847859.1 hypothetical protein CHLNCDRAFT_17670_ partial [Chlorella variabilis], XP_005843167.1 hypothetical protein CHLNCDRAFT_59329 [Chlorella variabilis], XP_005846181.1 hypothetical protein CHLNCDRAFT_136197 [Chlorella variabilis], XP_005849234.1 hypothetical protein CHLNCDRAFT_51199 [Chlorella variabilis], XP_005851812.1 hypothetical protein CHLNCDRAFT_49515 [Chlorella variabilis], XP_005849223.1 hypothetical protein CHLNCDRAFT_51447 [Chlorella variabilis], XP_005846619.1 hypothetical protein CHLNCDRAFT_135242 [Chlorella variabilis], XP_005843052.1 hypothetical protein CHLNCDRAFT_55438 [Chlorella variabilis], XP_005850926.1 hypothetical protein CHLNCDRAFT_140655 [Chlorella variabilis], XP_005848139.1 hypothetical protein CHLNCDRAFT_22903_ partial [Chlorella variabilis]
OG0000025	KAF8069372.1 PHR1 [Scenedesmus sp. PABB004]	XP_005846121.1 hypothetical protein CHLNCDRAFT_136057 [Chlorella variabilis]
OG0000025	KAF8058903.1 hypothetical protein HT031_005471 [Scenedesmus sp. PABB004]	XP_005845848.1 hypothetical protein CHLNCDRAFT_136336 [Chlorella variabilis]
OG0000025	KAF8063097.1 hypothetical protein HT031_003936 [Scenedesmus sp. PABB004]	XP_005849749.1 hypothetical protein CHLNCDRAFT_142770 [Chlorella variabilis], XP_005848101.1 hypothetical protein CHLNCDRAFT_30989_ partial [Chlorella variabilis]
