Orthogroup	Auxenochlorella_protothecoides	Chlorella_KRBP
OG0000005	RMZ53759.1 hypothetical protein APUTEX25_003898 [Auxenochlorella protothecoides], RMZ52566.1 hypothetical protein APUTEX25_003709 [Auxenochlorella protothecoides], RMZ52574.1 hypothetical protein APUTEX25_003717_ partial [Auxenochlorella protothecoides], RMZ55637.1 hypothetical protein APUTEX25_000220_ partial [Auxenochlorella protothecoides], RMZ53009.1 hypothetical protein APUTEX25_001128_ partial [Auxenochlorella protothecoides], RMZ54523.1 hypothetical protein APUTEX25_002099 [Auxenochlorella protothecoides]	QAXK01016321.1_1655-2667
OG0000013	RMZ55143.1 hypothetical protein APUTEX25_005421 [Auxenochlorella protothecoides], RMZ57357.1 hypothetical protein APUTEX25_004191 [Auxenochlorella protothecoides], RMZ57701.1 hypothetical protein APUTEX25_001901_ partial [Auxenochlorella protothecoides], RMZ52931.1 hypothetical protein APUTEX25_001050 [Auxenochlorella protothecoides]	QAXK01004822.1_8132-10307
OG0000049	RMZ56843.1 hypothetical protein APUTEX25_002932 [Auxenochlorella protothecoides], RMZ55633.1 hypothetical protein APUTEX25_000216_ partial [Auxenochlorella protothecoides]	QAXK01004561.1_5673-2644
OG0000059	RMZ55038.1 hypothetical protein APUTEX25_005664 [Auxenochlorella protothecoides], RMZ53302.1 hypothetical protein APUTEX25_004790 [Auxenochlorella protothecoides], RMZ52433.1 hypothetical protein APUTEX25_000012_ partial [Auxenochlorella protothecoides]	QAXK01009817.1_2794-231
OG0000060	RMZ52705.1 hypothetical protein APUTEX25_000824_ partial [Auxenochlorella protothecoides], RMZ57784.1 hypothetical protein APUTEX25_003489_ partial [Auxenochlorella protothecoides], RMZ53684.1 hypothetical protein APUTEX25_003218 [Auxenochlorella protothecoides], RMZ55289.1 hypothetical protein APUTEX25_003772_ partial [Auxenochlorella protothecoides], RMZ57737.1 hypothetical protein APUTEX25_005101_ partial [Auxenochlorella protothecoides], RMZ55290.1 hypothetical protein APUTEX25_003773_ partial [Auxenochlorella protothecoides]	QAXK01006650.1_4897-1380
OG0000095	RMZ52360.1 hypothetical protein APUTEX25_000635_ partial [Auxenochlorella protothecoides]	QAXK01000980.1_6477-3589
OG0000100	RMZ53823.1 hypothetical protein APUTEX25_003962_ partial [Auxenochlorella protothecoides], RMZ53226.1 hypothetical protein APUTEX25_005215 [Auxenochlorella protothecoides]	QAXK01004495.1_1525-5952
OG0000102	RMZ53552.1 hypothetical protein APUTEX25_003374_ partial [Auxenochlorella protothecoides], RMZ54043.1 hypothetical protein APUTEX25_002620_ partial [Auxenochlorella protothecoides], RMZ53532.1 hypothetical protein APUTEX25_003354_ partial [Auxenochlorella protothecoides]	QAXK01002229.1_29280-27595
OG0000106	RMZ57268.1 hypothetical protein APUTEX25_004102_ partial [Auxenochlorella protothecoides], RMZ57423.1 hypothetical protein APUTEX25_004257 [Auxenochlorella protothecoides]	QAXK01000521.1_8215-4849
OG0000116	RMZ52439.1 hypothetical protein APUTEX25_000018_ partial [Auxenochlorella protothecoides], RMZ56203.1 hypothetical protein APUTEX25_002393_ partial [Auxenochlorella protothecoides], RMZ55643.1 hypothetical protein APUTEX25_000226 [Auxenochlorella protothecoides], RMZ56509.1 hypothetical protein APUTEX25_001356_ partial [Auxenochlorella protothecoides]	QAXK01010643.1_4647-4102
OG0000126	RMZ54964.1 hypothetical protein APUTEX25_000481_ partial [Auxenochlorella protothecoides], RMZ54909.1 hypothetical protein APUTEX25_000426 [Auxenochlorella protothecoides], RMZ53251.1 hypothetical protein APUTEX25_005240 [Auxenochlorella protothecoides]	QAXK01000372.1_2577-4525
OG0000128	RMZ53355.1 hypothetical protein APUTEX25_004843_ partial [Auxenochlorella protothecoides], RMZ53549.1 hypothetical protein APUTEX25_003371 [Auxenochlorella protothecoides]	QAXK01009125.1_10140-8059
OG0000152	RMZ55975.1 hypothetical protein APUTEX25_004399 [Auxenochlorella protothecoides]	QAXK01008299.1_4185-5535
OG0000163	RMZ54968.1 hypothetical protein APUTEX25_000485_ partial [Auxenochlorella protothecoides], RMZ56933.1 hypothetical protein APUTEX25_004995 [Auxenochlorella protothecoides], RMZ52287.1 hypothetical protein APUTEX25_001677 [Auxenochlorella protothecoides]	QAXK01013733.1_9353-8061
OG0000165	RMZ54827.1 hypothetical protein APUTEX25_000344 [Auxenochlorella protothecoides], RMZ52546.1 hypothetical protein APUTEX25_003689 [Auxenochlorella protothecoides]	QAXK01004609.1_12369-13533
OG0000175	RMZ56765.1 hypothetical protein APUTEX25_002854 [Auxenochlorella protothecoides], RMZ56829.1 hypothetical protein APUTEX25_002918 [Auxenochlorella protothecoides]	QAXK01006319.1_3560-2355
