Orthogroup	Chlorella_A99	Chlorella_Sorokiniana1602
OG0000001	PCFQ01000058.1 g261 [Chlorella sp. A99], PCFQ01000006.1 g3245 [Chlorella sp. A99]	PRW32527.1 Acetylornithine chloroplastic mitochondrial [Chlorella sorokiniana]
OG0000002	PCFQ01000029.1 g2733 [Chlorella sp. A99]	PRW05741.1 reverse transcriptase_R [Chlorella sorokiniana]
OG0000002	PCFQ01000005.1 g859 [Chlorella sp. A99]	PRW61566.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform A [Chlorella sorokiniana], PRW61567.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform B [Chlorella sorokiniana]
OG0000003	PCFQ01000003.1 g1036 [Chlorella sp. A99]	PRW51158.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana], PRW51157.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana]
OG0000003	PCFQ01000002.1 g685 [Chlorella sp. A99]	PRW59695.1 hypothetical protein C2E21_1633 [Chlorella sorokiniana], PRW60753.1 Zn2+-binding dehydrogenase [Chlorella sorokiniana], PRW50906.1 hypothetical protein C2E21_5437 [Chlorella sorokiniana], PRW45267.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW45268.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW60261.1 Acyl-coenzyme A thioesterase THEM4 [Chlorella sorokiniana], PRW56718.1 hypothetical protein C2E21_4783 [Chlorella sorokiniana], PRW56397.1 hypothetical protein C2E21_4782 [Chlorella sorokiniana], PRW58582.1 hypothetical protein C2E21_3184 [Chlorella sorokiniana]
OG0000003	PCFQ01000013.1 g3270 [Chlorella sp. A99]	PRW60976.1 hypothetical protein C2E21_0414 [Chlorella sorokiniana]
OG0000004	PCFQ01000079.1 g1475 [Chlorella sp. A99]	PRW50811.1 squamosa promoter binding [Chlorella sorokiniana], PRW45379.1 squamosa promoter-binding 7 isoform X2 [Chlorella sorokiniana], PRW45644.1 squamosa promoter-binding 12 [Chlorella sorokiniana], PRW55998.1 squamosa promoter-binding 9 [Chlorella sorokiniana], PRW20956.1 squamosa promoter-binding 8 [Chlorella sorokiniana], PRW60887.1 Squamosa promoter-binding 1 [Chlorella sorokiniana], PRW60923.1 squamosa promoter binding [Chlorella sorokiniana], PRW21082.1 Squamosa promoter-binding 16 [Chlorella sorokiniana], PRW20503.1 squamosa promoter-binding 16 [Chlorella sorokiniana], PRW56499.1 squamosa promoter-binding -like _SBP domain_ transcription factor family [Chlorella sorokiniana], PRW20468.1 squamosa promoter-binding 6 [Chlorella sorokiniana]
OG0000005	PCFQ01000079.1 g1243 [Chlorella sp. A99]	PRW60758.1 putative histone H2A variant 3 [Chlorella sorokiniana]
OG0000005	PCFQ01000015.1 g2977 [Chlorella sp. A99]	PRW32926.1 Histone H2A [Chlorella sorokiniana], PRW56969.1 Histone H2A [Chlorella sorokiniana], PRW57065.1 Histone H2A [Chlorella sorokiniana], PRW57122.1 Histone H2A [Chlorella sorokiniana], PRW32953.1 Histone H2A [Chlorella sorokiniana], PRW20373.1 Histone H2A [Chlorella sorokiniana], PRW33066.1 Histone H2A [Chlorella sorokiniana], PRW57339.1 Histone H2A [Chlorella sorokiniana], PRW57021.1 Histone H2A [Chlorella sorokiniana], PRW56948.1 Histone H2A [Chlorella sorokiniana], PRW20423.1 Histone H2A [Chlorella sorokiniana], PRW32875.1 Histone H2A [Chlorella sorokiniana]
OG0000005	PCFQ01000015.1 g2985 [Chlorella sp. A99], PCFQ01000015.1 g3006 [Chlorella sp. A99], PCFQ01000015.1 g2995 [Chlorella sp. A99], PCFQ01000015.1 g3024 [Chlorella sp. A99], PCFQ01000015.1 g3044 [Chlorella sp. A99], PCFQ01000005.1 g820 [Chlorella sp. A99], PCFQ01000005.1 g826 [Chlorella sp. A99]	PRW50900.1 Histone H2A [Chlorella sorokiniana]
