Orthogroup	Coccomyxa_SubellipsoideaC169	Chlorella_Vulgaris2111P
OG0000001	EIE22175.1 hypothetical protein COCSUDRAFT_55870 [Coccomyxa subellipsoidea C-169]	KAI3423840.1 hypothetical protein D9Q98_009676 [Chlorella vulgaris]
OG0000002	EIE18168.1 hypothetical protein COCSUDRAFT_60541 [Coccomyxa subellipsoidea C-169]	KAI3438351.1 hypothetical protein D9Q98_000783 [Chlorella vulgaris]
OG0000003	EIE23278.1 hypothetical protein COCSUDRAFT_47573 [Coccomyxa subellipsoidea C-169]	KAI3424123.1 hypothetical protein D9Q98_009484 [Chlorella vulgaris]
OG0000003	EIE24971.1 hypothetical protein COCSUDRAFT_83664 [Coccomyxa subellipsoidea C-169]	KAI3436441.1 hypothetical protein D9Q98_005858 [Chlorella vulgaris]
OG0000003	EIE27713.1 hypothetical protein COCSUDRAFT_55699 [Coccomyxa subellipsoidea C-169], EIE19265.1 hypothetical protein COCSUDRAFT_58561 [Coccomyxa subellipsoidea C-169]	KAI3432370.1 hypothetical protein D9Q98_003927 [Chlorella vulgaris], KAI3432358.1 hypothetical protein D9Q98_003915 [Chlorella vulgaris], KAI3424212.1 hypothetical protein D9Q98_009568 [Chlorella vulgaris], KAI3426970.1 hypothetical protein D9Q98_006914 [Chlorella vulgaris]
OG0000003	EIE27712.1 hypothetical protein COCSUDRAFT_55698 [Coccomyxa subellipsoidea C-169]	KAI3427272.1 hypothetical protein D9Q98_007204 [Chlorella vulgaris], KAI3437643.1 hypothetical protein D9Q98_000094 [Chlorella vulgaris], KAI3430747.1 hypothetical protein D9Q98_009159 [Chlorella vulgaris], KAI3430596.1 hypothetical protein D9Q98_005189 [Chlorella vulgaris], KAI3428300.1 hypothetical protein D9Q98_006679 [Chlorella vulgaris], KAI3429368.1 hypothetical protein D9Q98_005463 [Chlorella vulgaris], KAI3429367.1 hypothetical protein D9Q98_005462 [Chlorella vulgaris], KAI3436557.1 hypothetical protein D9Q98_005973 [Chlorella vulgaris], KAI3428290.1 hypothetical protein D9Q98_006669 [Chlorella vulgaris], KAI3430755.1 hypothetical protein D9Q98_009167 [Chlorella vulgaris], KAI3428291.1 hypothetical protein D9Q98_006670 [Chlorella vulgaris], KAI3433380.1 hypothetical protein D9Q98_003196 [Chlorella vulgaris]
OG0000004	EIE27634.1 SBP-domain-containing protein [Coccomyxa subellipsoidea C-169]	KAI3437670.1 hypothetical protein D9Q98_000120 [Chlorella vulgaris]
OG0000005	EIE20029.1 histone 2A variant [Coccomyxa subellipsoidea C-169]	KAI3429680.1 hypothetical protein D9Q98_005765 [Chlorella vulgaris]
OG0000005	EIE19073.1 histone-fold-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE19114.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23631.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19130.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19099.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21864.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21867.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE20587.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]	KAI3429597.1 hypothetical protein D9Q98_005683 [Chlorella vulgaris]
OG0000006	EIE18296.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]	KAI3438102.1 hypothetical protein D9Q98_000544 [Chlorella vulgaris]
OG0000006	EIE20275.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20985.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	KAI3430385.1 hypothetical protein D9Q98_004980 [Chlorella vulgaris], KAI3437833.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris], KAI3437832.1 hypothetical protein D9Q98_000279 [Chlorella vulgaris], KAI3436594.1 hypothetical protein D9Q98_006011 [Chlorella vulgaris], KAI3432561.1 hypothetical protein D9Q98_004110 [Chlorella vulgaris], KAI3436086.1 hypothetical protein D9Q98_002144 [Chlorella vulgaris], KAI3437831.1 hypothetical protein D9Q98_000278 [Chlorella vulgaris], KAI3427342.1 hypothetical protein D9Q98_010259 [Chlorella vulgaris], KAI3427397.1 hypothetical protein D9Q98_010312 [Chlorella vulgaris], KAI3432762.1 hypothetical protein D9Q98_004302 [Chlorella vulgaris], KAI3430255.1 hypothetical protein D9Q98_004851 [Chlorella vulgaris], KAI3425719.1 hypothetical protein D9Q98_007695 [Chlorella vulgaris], KAI3425723.1 hypothetical protein D9Q98_007699 [Chlorella vulgaris], KAI3425720.1 hypothetical protein D9Q98_007696 [Chlorella vulgaris], KAI3425961.1 hypothetical protein D9Q98_007931 [Chlorella vulgaris]
