Orthogroup	Chlorella_Sorokiniana1602	Auxenochlorella_protothecoides
OG0000001	PRW33016.1 CSE family protein [Chlorella sorokiniana]	RMZ53936.1 hypothetical protein APUTEX25_004961 [Auxenochlorella protothecoides]
OG0000001	PRW32527.1 Acetylornithine chloroplastic mitochondrial [Chlorella sorokiniana]	RMZ53941.1 hypothetical protein APUTEX25_004966 [Auxenochlorella protothecoides]
OG0000003	PRW60465.1 expressed protein isoform B [Chlorella sorokiniana], PRW60464.1 expressed protein isoform A [Chlorella sorokiniana]	RMZ52249.1 hypothetical protein APUTEX25_001639 [Auxenochlorella protothecoides]
OG0000003	PRW56332.1 S-acyltransferase 24 [Chlorella sorokiniana]	RMZ54089.1 hypothetical protein APUTEX25_002666_ partial [Auxenochlorella protothecoides]
OG0000003	PRW61115.1 hypothetical protein C2E21_0584 [Chlorella sorokiniana], PRW59533.1 hypothetical protein C2E21_1609 [Chlorella sorokiniana]	RMZ56204.1 hypothetical protein APUTEX25_002394 [Auxenochlorella protothecoides]
OG0000004	PRW50811.1 squamosa promoter binding [Chlorella sorokiniana]	RMZ54417.1 hypothetical protein APUTEX25_001993 [Auxenochlorella protothecoides]
OG0000004	PRW60923.1 squamosa promoter binding [Chlorella sorokiniana]	RMZ52284.1 hypothetical protein APUTEX25_001674 [Auxenochlorella protothecoides]
OG0000004	PRW21082.1 Squamosa promoter-binding 16 [Chlorella sorokiniana]	RMZ52588.1 hypothetical protein APUTEX25_000707 [Auxenochlorella protothecoides]
OG0000005	PRW32926.1 Histone H2A [Chlorella sorokiniana], PRW56969.1 Histone H2A [Chlorella sorokiniana], PRW57065.1 Histone H2A [Chlorella sorokiniana], PRW57122.1 Histone H2A [Chlorella sorokiniana], PRW32953.1 Histone H2A [Chlorella sorokiniana], PRW20373.1 Histone H2A [Chlorella sorokiniana], PRW33066.1 Histone H2A [Chlorella sorokiniana], PRW57339.1 Histone H2A [Chlorella sorokiniana], PRW57021.1 Histone H2A [Chlorella sorokiniana], PRW56948.1 Histone H2A [Chlorella sorokiniana], PRW20423.1 Histone H2A [Chlorella sorokiniana], PRW32875.1 Histone H2A [Chlorella sorokiniana]	RMZ53759.1 hypothetical protein APUTEX25_003898 [Auxenochlorella protothecoides], RMZ52566.1 hypothetical protein APUTEX25_003709 [Auxenochlorella protothecoides], RMZ52574.1 hypothetical protein APUTEX25_003717_ partial [Auxenochlorella protothecoides], RMZ55637.1 hypothetical protein APUTEX25_000220_ partial [Auxenochlorella protothecoides], RMZ53009.1 hypothetical protein APUTEX25_001128_ partial [Auxenochlorella protothecoides]
OG0000006	PRW57849.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	RMZ56115.1 hypothetical protein APUTEX25_004539 [Auxenochlorella protothecoides]
OG0000007	PRW60378.1 histone H2B [Chlorella sorokiniana], PRW32979.1 Histone [Chlorella sorokiniana], PRW56968.1 Histone [Chlorella sorokiniana], PRW33072.1 Histone [Chlorella sorokiniana], PRW57308.1 Histone [Chlorella sorokiniana], PRW20324.1 Histone [Chlorella sorokiniana], PRW56937.1 Histone isoform A [Chlorella sorokiniana], PRW57408.1 Histone [Chlorella sorokiniana], PRW56936.1 Histone isoform B [Chlorella sorokiniana], PRW32997.1 Histone [Chlorella sorokiniana], PRW33046.1 Histone [Chlorella sorokiniana], PRW33081.1 Histone [Chlorella sorokiniana], PRW57429.1 Histone [Chlorella sorokiniana], PRW57107.1 Histone [Chlorella sorokiniana]	RMZ53786.1 hypothetical protein APUTEX25_003925 [Auxenochlorella protothecoides], RMZ55468.1 hypothetical protein APUTEX25_000051 [Auxenochlorella protothecoides], RMZ52472.1 hypothetical protein APUTEX25_003615 [Auxenochlorella protothecoides], RMZ52594.1 hypothetical protein APUTEX25_000713 [Auxenochlorella protothecoides]
OG0000008	PRW20318.1 Histone H4 [Chlorella sorokiniana]	RMZ52519.1 hypothetical protein APUTEX25_003662 [Auxenochlorella protothecoides], RMZ55557.1 hypothetical protein APUTEX25_000140 [Auxenochlorella protothecoides]
OG0000009	PRW32927.1 peritrophic membrane chitin binding [Chlorella sorokiniana]	RMZ53398.1 hypothetical protein APUTEX25_004886 [Auxenochlorella protothecoides]
OG0000011	PRW61362.1 laminin subunit alpha-2 isoform E [Chlorella sorokiniana]	RMZ55904.1 hypothetical protein APUTEX25_003982_ partial [Auxenochlorella protothecoides], RMZ56599.1 hypothetical protein APUTEX25_004763_ partial [Auxenochlorella protothecoides]
OG0000013	PRW33203.1 Serine threonine- kinase SAPK1 [Chlorella sorokiniana]	RMZ55143.1 hypothetical protein APUTEX25_005421 [Auxenochlorella protothecoides]
OG0000013	PRW44937.1 sulfur stress regulator [Chlorella sorokiniana]	RMZ57357.1 hypothetical protein APUTEX25_004191 [Auxenochlorella protothecoides]
OG0000013	PRW58909.1 sulfur stress regulator [Chlorella sorokiniana]	RMZ57701.1 hypothetical protein APUTEX25_001901_ partial [Auxenochlorella protothecoides]
OG0000013	PRW59234.1 sulfur stress regulator [Chlorella sorokiniana]	RMZ52931.1 hypothetical protein APUTEX25_001050 [Auxenochlorella protothecoides]
OG0000014	PRW56328.1 cyclophilin [Chlorella sorokiniana]	RMZ54969.1 hypothetical protein APUTEX25_000486_ partial [Auxenochlorella protothecoides]
OG0000014	PRW45741.1 peptidyl-prolyl cis-trans isomerase CYP19-4 [Chlorella sorokiniana]	RMZ57118.1 hypothetical protein APUTEX25_002350 [Auxenochlorella protothecoides]
OG0000014	PRW57312.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Chlorella sorokiniana]	RMZ52047.1 hypothetical protein APUTEX25_001241 [Auxenochlorella protothecoides]
OG0000014	PRW57025.1 peptidyl-prolyl cis-trans isomerase B [Chlorella sorokiniana]	RMZ53818.1 hypothetical protein APUTEX25_003957_ partial [Auxenochlorella protothecoides]
OG0000016	PRW50795.1 polyubiquitin 3 isoform B [Chlorella sorokiniana], PRW50796.1 polyubiquitin 3 isoform A [Chlorella sorokiniana]	RMZ52516.1 hypothetical protein APUTEX25_003659 [Auxenochlorella protothecoides]
OG0000016	PRW33690.1 ubiquitin-NEDD8 RUB2 [Chlorella sorokiniana]	RMZ57375.1 hypothetical protein APUTEX25_004209 [Auxenochlorella protothecoides]
OG0000016	PRW45491.1 40S ribosomal S27 [Chlorella sorokiniana]	RMZ54238.1 hypothetical protein APUTEX25_000589 [Auxenochlorella protothecoides]
OG0000018	PRW56613.1 transcription factor MYB98-like [Chlorella sorokiniana]	RMZ56462.1 hypothetical protein APUTEX25_004685 [Auxenochlorella protothecoides]
OG0000018	PRW20403.1 Myb-related B isoform B [Chlorella sorokiniana], PRW20404.1 Myb-related B isoform A [Chlorella sorokiniana]	RMZ56699.1 hypothetical protein APUTEX25_002788 [Auxenochlorella protothecoides]
OG0000018	PRW44975.1 transcription factor MYB44-like [Chlorella sorokiniana]	RMZ57669.1 hypothetical protein APUTEX25_001869 [Auxenochlorella protothecoides]
OG0000020	PRW58220.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana], PRW60271.1 sugar porter _SP_ family MFS transporter [Chlorella sorokiniana], PRW20825.1 sugar transport 9 [Chlorella sorokiniana], PRW33669.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana], PRW33672.1 H_+_ hexose cotransporter 2 [Chlorella sorokiniana]	RMZ57168.1 hypothetical protein APUTEX25_004002 [Auxenochlorella protothecoides], RMZ53879.1 hypothetical protein APUTEX25_005625_ partial [Auxenochlorella protothecoides], RMZ52155.1 hypothetical protein APUTEX25_001545 [Auxenochlorella protothecoides]
OG0000023	PRW59139.1 zinc finger CCCH domain-containing 66-like [Chlorella sorokiniana]	RMZ56859.1 hypothetical protein APUTEX25_002948_ partial [Auxenochlorella protothecoides]
OG0000023	PRW32871.1 zinc finger family isoform B [Chlorella sorokiniana], PRW32872.1 zinc finger family isoform A [Chlorella sorokiniana]	RMZ54038.1 hypothetical protein APUTEX25_002615_ partial [Auxenochlorella protothecoides]
OG0000024	PRW55960.1 peptidase S8 [Chlorella sorokiniana], PRW20948.1 peptidase S8 isoform A [Chlorella sorokiniana], PRW20949.1 peptidase S8 isoform B [Chlorella sorokiniana]	RMZ52930.1 hypothetical protein APUTEX25_001049_ partial [Auxenochlorella protothecoides]
OG0000025	PRW56722.1 PHR1-LIKE 1-like [Chlorella sorokiniana]	RMZ54574.1 hypothetical protein APUTEX25_002149_ partial [Auxenochlorella protothecoides]
OG0000026	PRW60635.1 alpha beta-hydrolase [Chlorella sorokiniana]	RMZ57625.1 hypothetical protein APUTEX25_001825 [Auxenochlorella protothecoides]
OG0000027	PRW50927.1 serine threonine- kinase [Chlorella sorokiniana]	RMZ54217.1 hypothetical protein APUTEX25_005373 [Auxenochlorella protothecoides], RMZ54669.1 hypothetical protein APUTEX25_003047_ partial [Auxenochlorella protothecoides], RMZ57276.1 hypothetical protein APUTEX25_004110_ partial [Auxenochlorella protothecoides]
OG0000027	PRW58424.1 serine threonine- kinase isoform B [Chlorella sorokiniana], PRW58423.1 serine threonine- kinase isoform A [Chlorella sorokiniana]	RMZ52838.1 hypothetical protein APUTEX25_000957 [Auxenochlorella protothecoides]
OG0000027	PRW60292.1 serine threonine- kinase [Chlorella sorokiniana]	RMZ56507.1 hypothetical protein APUTEX25_001354_ partial [Auxenochlorella protothecoides]
OG0000028	PRW21073.1 G patch domain and ankyrin repeat-containing 1-like protein [Chlorella sorokiniana], PRW33315.1 serine threonine- phosphatase 6 regulatory ankyrin repeat subunit B-like [Chlorella sorokiniana], PRW58720.1 ankyrin repeat-containing protein [Chlorella sorokiniana], PRW20255.1 hypothetical protein C2E21_9214 [Chlorella sorokiniana], PRW57216.1 ankyrin repeat-containing protein [Chlorella sorokiniana]	RMZ53801.1 hypothetical protein APUTEX25_003940 [Auxenochlorella protothecoides]
OG0000029	PRW39270.1 U6 snRNA phosphodiesterase [Chlorella sorokiniana], PRW39389.1 formate nitrite transporter [Chlorella sorokiniana]	RMZ54167.1 hypothetical protein APUTEX25_005323 [Auxenochlorella protothecoides]
OG0000031	PRW50749.1 cytochrome P450 [Chlorella sorokiniana]	RMZ52494.1 hypothetical protein APUTEX25_003637 [Auxenochlorella protothecoides]
OG0000035	PRW59728.1 3-ketoacyl- synthase 11 isoform A [Chlorella sorokiniana]	RMZ53240.1 hypothetical protein APUTEX25_005229 [Auxenochlorella protothecoides]
OG0000035	PRW61324.1 3-ketoacyl- synthase 4-like [Chlorella sorokiniana]	RMZ56375.1 hypothetical protein APUTEX25_004732_ partial [Auxenochlorella protothecoides]
OG0000036	PRW61026.1 kinase [Chlorella sorokiniana]	RMZ53707.1 hypothetical protein APUTEX25_003241 [Auxenochlorella protothecoides]
OG0000037	PRW50945.1 chlorophyll a b-binding [Chlorella sorokiniana], PRW20612.1 chlorophyll a b-binding [Chlorella sorokiniana]	RMZ53830.1 hypothetical protein APUTEX25_003969_ partial [Auxenochlorella protothecoides]
OG0000038	PRW50834.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana], PRW33249.1 Transcription initiation factor TFIID subunit 13 isoform A [Chlorella sorokiniana], PRW33248.1 Transcription initiation factor TFIID subunit 13 isoform B [Chlorella sorokiniana], PRW05940.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Chlorella sorokiniana], PRW05935.1 beta-1_6-N-acetylglucosaminyltransferase enzyme [Chlorella sorokiniana]	RMZ55544.1 hypothetical protein APUTEX25_000127_ partial [Auxenochlorella protothecoides]
OG0000038	PRW32548.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana]	RMZ55519.1 hypothetical protein APUTEX25_000102 [Auxenochlorella protothecoides]
OG0000038	PRW45079.1 Transcription initiation factor TFIID subunit 13 [Chlorella sorokiniana]	RMZ57629.1 hypothetical protein APUTEX25_001829 [Auxenochlorella protothecoides]
OG0000042	PRW39173.1 sodium phosphate symporter [Chlorella sorokiniana]	RMZ53607.1 hypothetical protein APUTEX25_003141 [Auxenochlorella protothecoides]
OG0000043	PRW45699.1 alpha-glucosidase isoform B [Chlorella sorokiniana], PRW45700.1 alpha-glucosidase isoform A [Chlorella sorokiniana], PRW44983.1 Glycosyl hydrolases family 31 isoform 1 [Chlorella sorokiniana]	RMZ57650.1 hypothetical protein APUTEX25_001850_ partial [Auxenochlorella protothecoides]
OG0000045	PRW60778.1 ATP-binding cassette transporter [Chlorella sorokiniana]	RMZ52023.1 hypothetical protein APUTEX25_001217_ partial [Auxenochlorella protothecoides]
OG0000045	PRW58352.1 ATP-binding cassette transporter [Chlorella sorokiniana]	RMZ55942.1 hypothetical protein APUTEX25_004366 [Auxenochlorella protothecoides]
OG0000046	PRW45736.1 serine threonine- kinase receptor R831 [Chlorella sorokiniana], PRW58688.1 Amino acid permease 2 [Chlorella sorokiniana], PRW58712.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58414.1 serine threonine- kinase [Chlorella sorokiniana]	RMZ53206.1 hypothetical protein APUTEX25_005195_ partial [Auxenochlorella protothecoides]
OG0000048	PRW33180.1 oxygen evolving enhancer 3 isoform B [Chlorella sorokiniana], PRW33181.1 oxygen evolving enhancer 3 isoform C [Chlorella sorokiniana], PRW33182.1 oxygen evolving enhancer 3 isoform A [Chlorella sorokiniana]	RMZ57813.1 hypothetical protein APUTEX25_003429_ partial [Auxenochlorella protothecoides]
OG0000049	PRW58828.1 putative ubiquitin-like-specific protease 2B isoform X1 [Chlorella sorokiniana]	RMZ56843.1 hypothetical protein APUTEX25_002932 [Auxenochlorella protothecoides]
OG0000049	PRW55925.1 translation initiation factor fusion with methylthioribose kinase [Chlorella sorokiniana]	RMZ55633.1 hypothetical protein APUTEX25_000216_ partial [Auxenochlorella protothecoides]
OG0000050	PRW33726.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW32665.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW33245.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW20392.1 UPF0187 chloroplastic [Chlorella sorokiniana], PRW51063.1 UPF0187 chloroplastic [Chlorella sorokiniana]	RMZ55912.1 hypothetical protein APUTEX25_004336 [Auxenochlorella protothecoides]
OG0000051	PRW58610.1 DETOXIFICATION 16-like [Chlorella sorokiniana]	RMZ54646.1 hypothetical protein APUTEX25_003024 [Auxenochlorella protothecoides]
OG0000051	PRW56350.1 MATE efflux family [Chlorella sorokiniana], PRW56780.1 DETOXIFICATION 16-like [Chlorella sorokiniana]	RMZ53475.1 hypothetical protein APUTEX25_003297_ partial [Auxenochlorella protothecoides]
OG0000052	PRW45252.1 zinc finger protein [Chlorella sorokiniana]	RMZ53869.1 hypothetical protein APUTEX25_005615 [Auxenochlorella protothecoides]
OG0000055	PRW59967.1 Pentatricopeptide repeat-containing [Chlorella sorokiniana]	RMZ54002.1 hypothetical protein APUTEX25_002579_ partial [Auxenochlorella protothecoides]
OG0000059	PRW21133.1 putative GTP-binding -like isoform B [Chlorella sorokiniana], PRW21134.1 putative GTP-binding -like isoform A [Chlorella sorokiniana]	RMZ55038.1 hypothetical protein APUTEX25_005664 [Auxenochlorella protothecoides]
OG0000059	PRW59349.1 cobalamin biosynthesis [Chlorella sorokiniana], PRW58648.1 cobalamin biosynthesis [Chlorella sorokiniana]	RMZ53302.1 hypothetical protein APUTEX25_004790 [Auxenochlorella protothecoides]
OG0000059	PRW32945.1 zinc metalloprotease [Chlorella sorokiniana]	RMZ52433.1 hypothetical protein APUTEX25_000012_ partial [Auxenochlorella protothecoides]
OG0000060	PRW58431.1 LOV domain-containing [Chlorella sorokiniana]	RMZ52705.1 hypothetical protein APUTEX25_000824_ partial [Auxenochlorella protothecoides]
OG0000060	PRW20982.1 LOV domain-containing isoform B [Chlorella sorokiniana], PRW20983.1 LOV domain-containing isoform A [Chlorella sorokiniana]	RMZ57737.1 hypothetical protein APUTEX25_005101_ partial [Auxenochlorella protothecoides]
OG0000062	PRW57843.1 sorcin-like [Chlorella sorokiniana]	RMZ54088.1 hypothetical protein APUTEX25_002665 [Auxenochlorella protothecoides]
OG0000062	PRW45037.1 hypothetical protein C2E21_6480 [Chlorella sorokiniana], PRW44943.1 Coiled-coil domain-containing 40 isoform B [Chlorella sorokiniana], PRW44942.1 Coiled-coil domain-containing 40 isoform A [Chlorella sorokiniana], PRW44941.1 Coiled-coil domain-containing 40 isoform C [Chlorella sorokiniana]	RMZ54008.1 hypothetical protein APUTEX25_002585_ partial [Auxenochlorella protothecoides]
OG0000063	PRW50752.1 peroxisomal membrane PEX14-like isoform X1 [Chlorella sorokiniana]	RMZ54150.1 hypothetical protein APUTEX25_005306 [Auxenochlorella protothecoides]
OG0000064	PRW44490.1 translation initiation factor [Chlorella sorokiniana]	RMZ54709.1 hypothetical protein APUTEX25_003087 [Auxenochlorella protothecoides]
OG0000064	PRW20747.1 Cullin-4 [Chlorella sorokiniana]	RMZ57318.1 hypothetical protein APUTEX25_004152 [Auxenochlorella protothecoides]
OG0000064	PRW20452.1 cullin family [Chlorella sorokiniana]	RMZ54652.1 hypothetical protein APUTEX25_003030 [Auxenochlorella protothecoides]
OG0000065	PRW20917.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW50851.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW50880.1 GPR1 FUN34 family [Chlorella sorokiniana], PRW33699.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana], PRW33593.1 GPR1 FUN34 yaaH family [Chlorella sorokiniana]	RMZ55168.1 hypothetical protein APUTEX25_005446 [Auxenochlorella protothecoides]
OG0000066	PRW57472.1 major facilitator family [Chlorella sorokiniana]	RMZ56540.1 hypothetical protein APUTEX25_001387 [Auxenochlorella protothecoides]
OG0000069	PRW51017.1 heat shock 83 isoform A [Chlorella sorokiniana], PRW51016.1 heat shock 83 isoform B [Chlorella sorokiniana], PRW51015.1 heat shock 83 isoform C [Chlorella sorokiniana]	RMZ52481.1 hypothetical protein APUTEX25_003624 [Auxenochlorella protothecoides]
OG0000069	PRW20326.1 heat shock 90C isoform B [Chlorella sorokiniana], PRW20328.1 heat shock 90C isoform C [Chlorella sorokiniana], PRW20327.1 heat shock 90C isoform A [Chlorella sorokiniana]	RMZ52692.1 hypothetical protein APUTEX25_000811_ partial [Auxenochlorella protothecoides]
OG0000069	PRW58127.1 endoplasmin-like protein [Chlorella sorokiniana]	RMZ53095.1 hypothetical protein APUTEX25_002504 [Auxenochlorella protothecoides]
OG0000070	PRW51012.1 12-oxophytodienoate reductase 11 isoform B [Chlorella sorokiniana]	RMZ52856.1 hypothetical protein APUTEX25_000975 [Auxenochlorella protothecoides]
