Orthogroup	Chlorella_KRBP	Chlorella_VariabilisNC64A
OG0000005	QAXK01016321.1_1655-2667	XP_005851876.1 hypothetical protein CHLNCDRAFT_133450 [Chlorella variabilis], XP_005843647.1 hypothetical protein CHLNCDRAFT_54989 [Chlorella variabilis], XP_005843638.1 hypothetical protein CHLNCDRAFT_54972 [Chlorella variabilis], XP_005847129.1 hypothetical protein CHLNCDRAFT_52799 [Chlorella variabilis], XP_005843094.1 hypothetical protein CHLNCDRAFT_28450 [Chlorella variabilis], XP_005843702.1 hypothetical protein CHLNCDRAFT_27894 [Chlorella variabilis], XP_005848689.1 hypothetical protein CHLNCDRAFT_21904 [Chlorella variabilis], XP_005852170.1 hypothetical protein CHLNCDRAFT_48410 [Chlorella variabilis]
OG0000013	QAXK01004822.1_8132-10307	XP_005849557.1 hypothetical protein CHLNCDRAFT_30391 [Chlorella variabilis], XP_005842607.1 hypothetical protein CHLNCDRAFT_59511_ partial [Chlorella variabilis], XP_005848350.1 hypothetical protein CHLNCDRAFT_145069 [Chlorella variabilis], XP_005849558.1 hypothetical protein CHLNCDRAFT_34706 [Chlorella variabilis], XP_005849560.1 hypothetical protein CHLNCDRAFT_57249 [Chlorella variabilis], XP_005849559.1 hypothetical protein CHLNCDRAFT_142950 [Chlorella variabilis], XP_005851920.1 hypothetical protein CHLNCDRAFT_33664 [Chlorella variabilis], XP_005849819.1 expressed protein [Chlorella variabilis]
OG0000049	QAXK01004561.1_5673-2644	XP_005849919.1 hypothetical protein CHLNCDRAFT_143222 [Chlorella variabilis], XP_005850664.1 hypothetical protein CHLNCDRAFT_140697 [Chlorella variabilis]
OG0000059	QAXK01009817.1_2794-231	XP_005842610.1 hypothetical protein CHLNCDRAFT_55845_ partial [Chlorella variabilis], XP_005846099.1 hypothetical protein CHLNCDRAFT_135999 [Chlorella variabilis], XP_005842738.1 hypothetical protein CHLNCDRAFT_28926_ partial [Chlorella variabilis], XP_005844783.1 hypothetical protein CHLNCDRAFT_138656 [Chlorella variabilis], XP_005843771.1 hypothetical protein CHLNCDRAFT_49195 [Chlorella variabilis], XP_005850074.1 hypothetical protein CHLNCDRAFT_142112 [Chlorella variabilis], XP_005843349.1 hypothetical protein CHLNCDRAFT_141273 [Chlorella variabilis]
OG0000060	QAXK01006650.1_4897-1380	XP_005844701.1 hypothetical protein CHLNCDRAFT_14999_ partial [Chlorella variabilis], XP_005844700.1 hypothetical protein CHLNCDRAFT_138629 [Chlorella variabilis], XP_005844698.1 hypothetical protein CHLNCDRAFT_138627 [Chlorella variabilis]
OG0000095	QAXK01000980.1_6477-3589	XP_005849513.1 hypothetical protein CHLNCDRAFT_142850 [Chlorella variabilis], XP_005847243.1 hypothetical protein CHLNCDRAFT_35537 [Chlorella variabilis], XP_005847333.1 hypothetical protein CHLNCDRAFT_134505 [Chlorella variabilis]
OG0000100	QAXK01004495.1_1525-5952	XP_005843553.1 hypothetical protein CHLNCDRAFT_140184 [Chlorella variabilis], XP_005843628.1 hypothetical protein CHLNCDRAFT_59237 [Chlorella variabilis], XP_005843554.1 hypothetical protein CHLNCDRAFT_59809 [Chlorella variabilis]
OG0000102	QAXK01002229.1_29280-27595	XP_005850093.1 hypothetical protein CHLNCDRAFT_142154 [Chlorella variabilis], XP_005842556.1 hypothetical protein CHLNCDRAFT_144615 [Chlorella variabilis], XP_005851884.1 hypothetical protein CHLNCDRAFT_33619 [Chlorella variabilis], XP_005850092.1 hypothetical protein CHLNCDRAFT_142153 [Chlorella variabilis]
OG0000106	QAXK01000521.1_8215-4849	XP_005852306.1 hypothetical protein CHLNCDRAFT_55668 [Chlorella variabilis], XP_005846592.1 hypothetical protein CHLNCDRAFT_9386_ partial [Chlorella variabilis], XP_005845071.1 hypothetical protein CHLNCDRAFT_58686 [Chlorella variabilis], XP_005851990.1 hypothetical protein CHLNCDRAFT_18492 [Chlorella variabilis]
OG0000116	QAXK01010643.1_4647-4102	XP_005847886.1 hypothetical protein CHLNCDRAFT_145238 [Chlorella variabilis], XP_005844499.1 hypothetical protein CHLNCDRAFT_138861 [Chlorella variabilis], XP_005849021.1 hypothetical protein CHLNCDRAFT_21597_ partial [Chlorella variabilis]
OG0000126	QAXK01000372.1_2577-4525	XP_005850870.1 hypothetical protein CHLNCDRAFT_140512 [Chlorella variabilis], XP_005850873.1 hypothetical protein CHLNCDRAFT_140516 [Chlorella variabilis], XP_005843576.1 hypothetical protein CHLNCDRAFT_33086 [Chlorella variabilis]
OG0000128	QAXK01009125.1_10140-8059	XP_005847323.1 hypothetical protein CHLNCDRAFT_56178 [Chlorella variabilis], XP_005849098.1 hypothetical protein CHLNCDRAFT_143632 [Chlorella variabilis], XP_005849097.1 hypothetical protein CHLNCDRAFT_143631 [Chlorella variabilis], XP_005849583.1 hypothetical protein CHLNCDRAFT_143004 [Chlorella variabilis]
OG0000137	QAXK01002137.1_9267-10854	XP_005852253.1 hypothetical protein CHLNCDRAFT_33679 [Chlorella variabilis], XP_005844633.1 hypothetical protein CHLNCDRAFT_138947 [Chlorella variabilis], XP_005844638.1 hypothetical protein CHLNCDRAFT_138957 [Chlorella variabilis], XP_005851936.1 hypothetical protein CHLNCDRAFT_12919_ partial [Chlorella variabilis], XP_005851937.1 hypothetical protein CHLNCDRAFT_133596 [Chlorella variabilis]
