Orthogroup	Auxenochlorella_protothecoides	Coccomyxa_SubellipsoideaC169
OG0000001	RMZ53941.1 hypothetical protein APUTEX25_004966 [Auxenochlorella protothecoides]	EIE22175.1 hypothetical protein COCSUDRAFT_55870 [Coccomyxa subellipsoidea C-169]
OG0000003	RMZ52249.1 hypothetical protein APUTEX25_001639 [Auxenochlorella protothecoides]	EIE23278.1 hypothetical protein COCSUDRAFT_47573 [Coccomyxa subellipsoidea C-169]
OG0000003	RMZ54089.1 hypothetical protein APUTEX25_002666_ partial [Auxenochlorella protothecoides]	EIE24971.1 hypothetical protein COCSUDRAFT_83664 [Coccomyxa subellipsoidea C-169]
OG0000003	RMZ56204.1 hypothetical protein APUTEX25_002394 [Auxenochlorella protothecoides]	EIE27713.1 hypothetical protein COCSUDRAFT_55699 [Coccomyxa subellipsoidea C-169], EIE19265.1 hypothetical protein COCSUDRAFT_58561 [Coccomyxa subellipsoidea C-169]
OG0000004	RMZ54417.1 hypothetical protein APUTEX25_001993 [Auxenochlorella protothecoides]	EIE27634.1 SBP-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000007	RMZ53786.1 hypothetical protein APUTEX25_003925 [Auxenochlorella protothecoides], RMZ55468.1 hypothetical protein APUTEX25_000051 [Auxenochlorella protothecoides], RMZ52472.1 hypothetical protein APUTEX25_003615 [Auxenochlorella protothecoides], RMZ52594.1 hypothetical protein APUTEX25_000713 [Auxenochlorella protothecoides]	EIE19157.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19113.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE23632.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21863.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19131.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19100.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21868.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE18782.1 putative histone H2B [Coccomyxa subellipsoidea C-169]
OG0000008	RMZ52519.1 hypothetical protein APUTEX25_003662 [Auxenochlorella protothecoides], RMZ55557.1 hypothetical protein APUTEX25_000140 [Auxenochlorella protothecoides], RMZ56756.1 hypothetical protein APUTEX25_002845 [Auxenochlorella protothecoides], RMZ54872.1 hypothetical protein APUTEX25_000389 [Auxenochlorella protothecoides], RMZ52774.1 hypothetical protein APUTEX25_000893 [Auxenochlorella protothecoides]	EIE19112.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19132.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21862.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23633.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21869.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19101.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]
OG0000009	RMZ53398.1 hypothetical protein APUTEX25_004886 [Auxenochlorella protothecoides]	EIE27622.1 hypothetical protein COCSUDRAFT_39238 [Coccomyxa subellipsoidea C-169]
OG0000011	RMZ56599.1 hypothetical protein APUTEX25_004763_ partial [Auxenochlorella protothecoides]	EIE23923.1 hypothetical protein COCSUDRAFT_62452 [Coccomyxa subellipsoidea C-169]
OG0000013	RMZ57357.1 hypothetical protein APUTEX25_004191 [Auxenochlorella protothecoides]	EIE18318.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000013	RMZ57701.1 hypothetical protein APUTEX25_001901_ partial [Auxenochlorella protothecoides]	EIE22391.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169]
OG0000013	RMZ52931.1 hypothetical protein APUTEX25_001050 [Auxenochlorella protothecoides]	EIE20575.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE22449.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE19481.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE22450.1 Serine/threonine-protein kinase SRK2J [Coccomyxa subellipsoidea C-169]
OG0000014	RMZ54969.1 hypothetical protein APUTEX25_000486_ partial [Auxenochlorella protothecoides]	EIE18936.1 cyclophilin-like protein [Coccomyxa subellipsoidea C-169]
OG0000014	RMZ57118.1 hypothetical protein APUTEX25_002350 [Auxenochlorella protothecoides]	EIE22797.1 cyclophilin_ partial [Coccomyxa subellipsoidea C-169]
OG0000014	RMZ52047.1 hypothetical protein APUTEX25_001241 [Auxenochlorella protothecoides]	EIE27323.1 hypothetical protein COCSUDRAFT_11218_ partial [Coccomyxa subellipsoidea C-169]
OG0000014	RMZ53818.1 hypothetical protein APUTEX25_003957_ partial [Auxenochlorella protothecoides]	EIE23164.1 hypothetical protein COCSUDRAFT_47524 [Coccomyxa subellipsoidea C-169]
OG0000016	RMZ52516.1 hypothetical protein APUTEX25_003659 [Auxenochlorella protothecoides]	EIE19689.1 mitochondrial carrier_ partial [Coccomyxa subellipsoidea C-169]
OG0000016	RMZ54164.1 hypothetical protein APUTEX25_005320 [Auxenochlorella protothecoides], RMZ57375.1 hypothetical protein APUTEX25_004209 [Auxenochlorella protothecoides]	EIE20101.1 hypothetical protein COCSUDRAFT_44063 [Coccomyxa subellipsoidea C-169]
OG0000016	RMZ57690.1 hypothetical protein APUTEX25_001890 [Auxenochlorella protothecoides]	EIE20343.1 polyubiquitin precursor_ partial [Coccomyxa subellipsoidea C-169]
OG0000018	RMZ56462.1 hypothetical protein APUTEX25_004685 [Auxenochlorella protothecoides]	EIE25106.1 Homeodomain-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE24716.1 hypothetical protein COCSUDRAFT_46919 [Coccomyxa subellipsoidea C-169]
OG0000018	RMZ56882.1 hypothetical protein APUTEX25_002971_ partial [Auxenochlorella protothecoides]	EIE25222.1 hypothetical protein COCSUDRAFT_35694 [Coccomyxa subellipsoidea C-169]
