Orthogroup	Chlorella_Vulgaris2111P	Micractinium_SAG24180
OG0000001	KAI3426450.1 hypothetical protein D9Q98_008817 [Chlorella vulgaris]	PSC70961.1 SCAN domain-containing 3-like isoform A [Micractinium conductrix], PSC70962.1 SCAN domain-containing 3-like isoform B [Micractinium conductrix]
OG0000001	KAI3423840.1 hypothetical protein D9Q98_009676 [Chlorella vulgaris]	PSC74425.1 hypothetical protein C2E20_2449 [Micractinium conductrix], PSC70099.1 methylcytosine dioxygenase TET3 [Micractinium conductrix], PSC67107.1 hypothetical protein C2E20_9209_ partial [Micractinium conductrix], PSC67850.1 serine hydrolase [Micractinium conductrix], PSC70757.1 serine hydrolase [Micractinium conductrix], PSC75652.1 rve-domain-containing [Micractinium conductrix], PSC71093.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76202.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC70182.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67416.1 KRAB-A domain-containing 2-like isoform B [Micractinium conductrix], PSC67417.1 KRAB-A domain-containing 2-like isoform A [Micractinium conductrix], PSC70012.1 leucine-rich repeat family [Micractinium conductrix], PSC74552.1 UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase 2 [Micractinium conductrix], PSC71764.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67960.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC70550.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74596.1 reticuline oxidase [Micractinium conductrix], PSC75027.1 formin-binding 4-like isoform X2 [Micractinium conductrix], PSC74472.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74199.1 KRAB-A domain-containing 2-like isoform B [Micractinium conductrix], PSC74200.1 KRAB-A domain-containing 2-like isoform A [Micractinium conductrix], PSC68101.1 ATP-dependent DNA helicase 2 subunit KU80 [Micractinium conductrix], PSC68043.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76691.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC71940.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC72491.1 DNA topoisomerase 2-like [Micractinium conductrix], PSC75634.1 hypothetical protein C2E20_1435 [Micractinium conductrix], PSC76111.1 DNA topoisomerase 2-like [Micractinium conductrix], PSC67075.1 Amino-acid acetyltransferase_ partial [Micractinium conductrix], PSC75228.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC69931.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74026.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67976.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC75858.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67146.1 testis-expressed sequence 2 -like [Micractinium conductrix], PSC71968.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC70408.1 flagellar associated [Micractinium conductrix], PSC68084.1 Thioredoxin-dependent peroxide reductase [Micractinium conductrix], PSC72944.1 Tyrosine-kinase TXK [Micractinium conductrix], PSC67170.1 hypothetical protein C2E20_9140 [Micractinium conductrix], PSC68457.1 gamma-glutamyl hydrolase [Micractinium conductrix], PSC70902.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74450.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76489.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC73472.1 short-chain dehydrogenase [Micractinium conductrix], PSC67793.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC68622.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74507.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC68649.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74826.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC71289.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC68983.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67498.1 Gag-Pol poly [Micractinium conductrix], PSC73629.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC72915.1 DEAD-box ATP-dependent RNA helicase 24 [Micractinium conductrix], PSC67142.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC68719.1 CTR type copper ion transporter isoform B [Micractinium conductrix], PSC68720.1 CTR type copper ion transporter isoform A [Micractinium conductrix], PSC69411.1 CMGC CK2 kinase Cka1 [Micractinium conductrix], PSC76013.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC73286.1 peptidyl-tRNA hydrolase PTRHD1 [Micractinium conductrix], PSC70172.1 Protease [Micractinium conductrix], PSC67602.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC70867.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC71196.1 PITH domain-containing 1 [Micractinium conductrix], PSC71686.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67492.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC68194.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC71370.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76069.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC75698.1 KRAB-A domain-containing 2-like isoform A [Micractinium conductrix], PSC75697.1 KRAB-A domain-containing 2-like isoform B [Micractinium conductrix], PSC68129.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC75173.1 squamosa promoter binding isoform B [Micractinium conductrix], PSC75172.1 squamosa promoter binding isoform A [Micractinium conductrix], PSC72032.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC75540.1 kinesin K39 [Micractinium conductrix], PSC72436.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67727.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC68576.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC75113.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC73701.1 NAD-dependent aldehyde dehydrogenase [Micractinium conductrix], PSC69859.1 acid phosphatase [Micractinium conductrix], PSC69351.1 zinc finger domain containing [Micractinium conductrix], PSC70610.1 NADPH_quinone reductase [Micractinium conductrix], PSC74890.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC73791.1 nicotinamidase [Micractinium conductrix], PSC73086.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC73817.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC73039.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76601.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC68013.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76472.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC70085.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC76136.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC67910.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC67890.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC75022.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC71372.1 H_+_ hexose cotransporter 2 [Micractinium conductrix], PSC74394.1 Transposon Ty3-I Gag-Pol poly [Micractinium conductrix], PSC74508.1 hypothetical protein C2E20_2159 [Micractinium conductrix], PSC68796.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC74298.1 hypothetical protein C2E20_2529 [Micractinium conductrix], PSC70238.1 KRAB-A domain-containing 2-like [Micractinium conductrix], PSC67614.1 KDEL-tailed cysteine endopeptidase CEP1 [Micractinium conductrix], PSC67025.1 Kinesin KIF3A_ partial [Micractinium conductrix], PSC73278.1 SCAN domain-containing 3-like [Micractinium conductrix], PSC75439.1 hypothetical protein C2E20_1423 [Micractinium conductrix], PSC68078.1 hypothetical protein C2E20_8332 [Micractinium conductrix]
OG0000002	KAI3438351.1 hypothetical protein D9Q98_000783 [Chlorella vulgaris]	PSC69335.1 reverse transcriptase_R [Micractinium conductrix], PSC67096.1 reverse transcriptase_R [Micractinium conductrix]
OG0000002	KAI3435604.1 hypothetical protein D9Q98_001667 [Chlorella vulgaris]	PSC68225.1 Gag-Pol poly_ partial [Micractinium conductrix], PSC67710.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC69623.1 Gag-Pol poly_ partial [Micractinium conductrix], PSC76734.1 Gag-Pol poly [Micractinium conductrix], PSC73936.1 Gag-Pol poly [Micractinium conductrix], PSC67030.1 Gag-Pol poly [Micractinium conductrix], PSC67709.1 Gag-Pol poly [Micractinium conductrix], PSC67010.1 Gag-Pol poly [Micractinium conductrix], PSC67032.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC67003.1 Gag-Pol poly [Micractinium conductrix], PSC67599.1 Gag-Pol poly [Micractinium conductrix], PSC67725.1 Gag-Pol poly [Micractinium conductrix], PSC74416.1 Gag-Pol poly [Micractinium conductrix], PSC67044.1 Retrovirus-related Pol poly from transposon TNT 1-94_ partial [Micractinium conductrix], PSC74555.1 Gag-Pol poly [Micractinium conductrix], PSC67759.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC67744.1 Gag-Pol poly [Micractinium conductrix], PSC67207.1 hypothetical protein C2E20_9092 [Micractinium conductrix], PSC68713.1 hypothetical protein C2E20_7772_ partial [Micractinium conductrix], PSC76226.1 with ribonuclease H-like and integrase domains isoform A [Micractinium conductrix], PSC76225.1 with ribonuclease H-like and integrase domains isoform B [Micractinium conductrix], PSC75096.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC67713.1 hypothetical protein C2E20_8660 [Micractinium conductrix], PSC68653.1 retrotransposon Ty1-copia subclass [Micractinium conductrix], PSC67600.1 F-box protein [Micractinium conductrix], PSC69326.1 hypothetical protein C2E20_7064 [Micractinium conductrix], PSC67021.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC67073.1 Gag-Pol poly_ partial [Micractinium conductrix], PSC67019.1 Retrovirus-related Pol poly from transposon TNT 1-94_ partial [Micractinium conductrix], PSC69379.1 Gag-Pol poly [Micractinium conductrix], PSC74768.1 Gag-Pol poly [Micractinium conductrix], PSC67580.1 Gag-Pol poly [Micractinium conductrix], PSC68659.1 Gag-Pol poly [Micractinium conductrix], PSC67063.1 Gag-Pol poly [Micractinium conductrix], PSC67111.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC67031.1 retrotransposon with Ribonuclease H-like superfamily and integrase domain [Micractinium conductrix], PSC67043.1 retrotransposon Ty1-copia subclass [Micractinium conductrix], PSC67053.1 Retrovirus-related Pol poly from transposon TNT 1-94_ partial [Micractinium conductrix], PSC67594.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC67067.1 Retrovirus-related Pol poly from transposon TNT 1-94_ partial [Micractinium conductrix], PSC67027.1 Gag-Pol poly_ partial [Micractinium conductrix], PSC67037.1 reverse transcriptase_R_ partial [Micractinium conductrix], PSC76941.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix]
OG0000002	KAI3438361.1 hypothetical protein D9Q98_000793 [Chlorella vulgaris], KAI3430872.1 hypothetical protein D9Q98_009281 [Chlorella vulgaris], KAI3438364.1 hypothetical protein D9Q98_000796 [Chlorella vulgaris], KAI3438358.1 hypothetical protein D9Q98_000790 [Chlorella vulgaris], KAI3434581.1 hypothetical protein D9Q98_002651 [Chlorella vulgaris], KAI3434582.1 hypothetical protein D9Q98_002651 [Chlorella vulgaris], KAI3434580.1 hypothetical protein D9Q98_002650 [Chlorella vulgaris], KAI3430928.1 hypothetical protein D9Q98_009337 [Chlorella vulgaris], KAI3435605.1 hypothetical protein D9Q98_001668 [Chlorella vulgaris], KAI3435603.1 hypothetical protein D9Q98_001666 [Chlorella vulgaris], KAI3435599.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3435602.1 hypothetical protein D9Q98_001665 [Chlorella vulgaris], KAI3438367.1 hypothetical protein D9Q98_000799 [Chlorella vulgaris], KAI3427445.1 hypothetical protein D9Q98_010359 [Chlorella vulgaris], KAI3427446.1 hypothetical protein D9Q98_010360 [Chlorella vulgaris], KAI3430959.1 hypothetical protein D9Q98_009366 [Chlorella vulgaris], KAI3430960.1 hypothetical protein D9Q98_009366 [Chlorella vulgaris], KAI3430967.1 hypothetical protein D9Q98_009372 [Chlorella vulgaris], KAI3435601.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3438357.1 hypothetical protein D9Q98_000789 [Chlorella vulgaris], KAI3427280.1 hypothetical protein D9Q98_007212 [Chlorella vulgaris], KAI3435600.1 hypothetical protein D9Q98_001664 [Chlorella vulgaris], KAI3438349.1 hypothetical protein D9Q98_000781 [Chlorella vulgaris], KAI3438362.1 hypothetical protein D9Q98_000794 [Chlorella vulgaris], KAI3430966.1 hypothetical protein D9Q98_009371 [Chlorella vulgaris]	PSC68535.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC75692.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform A [Micractinium conductrix], PSC67636.1 Retrovirus-related Pol poly from transposon TNT 1-94 [Micractinium conductrix], PSC75691.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform B [Micractinium conductrix]
OG0000002	KAI3438354.1 hypothetical protein D9Q98_000786 [Chlorella vulgaris], KAI3427281.1 hypothetical protein D9Q98_007213 [Chlorella vulgaris]	PSC67038.1 retrotransposon Ty1-copia subclass [Micractinium conductrix], PSC67022.1 reverse gag-pol poly_ partial [Micractinium conductrix]
OG0000003	KAI3424123.1 hypothetical protein D9Q98_009484 [Chlorella vulgaris]	PSC74069.1 hypothetical protein C2E20_2567 [Micractinium conductrix]
OG0000003	KAI3436441.1 hypothetical protein D9Q98_005858 [Chlorella vulgaris]	PSC69063.1 S-acyltransferase 23 [Micractinium conductrix]
OG0000003	KAI3437643.1 hypothetical protein D9Q98_000094 [Chlorella vulgaris]	PSC71318.1 hypothetical protein C2E20_5316 [Micractinium conductrix], PSC76891.1 hypothetical protein C2E20_0797 [Micractinium conductrix]
OG0000003	KAI3430747.1 hypothetical protein D9Q98_009159 [Chlorella vulgaris]	PSC72165.1 hypothetical protein C2E20_4409 [Micractinium conductrix]
