Orthogroup	Chlorella_VariabilisNC64A	Auxenochlorella_protothecoides
OG0000001	XP_005847914.1 hypothetical protein CHLNCDRAFT_145316 [Chlorella variabilis]	RMZ53936.1 hypothetical protein APUTEX25_004961 [Auxenochlorella protothecoides], RMZ53941.1 hypothetical protein APUTEX25_004966 [Auxenochlorella protothecoides]
OG0000003	XP_005845559.1 hypothetical protein CHLNCDRAFT_136719 [Chlorella variabilis]	RMZ52249.1 hypothetical protein APUTEX25_001639 [Auxenochlorella protothecoides]
OG0000003	XP_005850750.1 hypothetical protein CHLNCDRAFT_140901 [Chlorella variabilis]	RMZ54089.1 hypothetical protein APUTEX25_002666_ partial [Auxenochlorella protothecoides]
OG0000003	XP_005845697.1 expressed protein [Chlorella variabilis], XP_005848945.1 hypothetical protein CHLNCDRAFT_144427 [Chlorella variabilis]	RMZ56204.1 hypothetical protein APUTEX25_002394 [Auxenochlorella protothecoides]
OG0000004	XP_005847991.1 hypothetical protein CHLNCDRAFT_17960_ partial [Chlorella variabilis]	RMZ54417.1 hypothetical protein APUTEX25_001993 [Auxenochlorella protothecoides]
OG0000004	XP_005845539.1 hypothetical protein CHLNCDRAFT_136680 [Chlorella variabilis]	RMZ52284.1 hypothetical protein APUTEX25_001674 [Auxenochlorella protothecoides]
OG0000004	XP_005842938.1 hypothetical protein CHLNCDRAFT_37677 [Chlorella variabilis]	RMZ52588.1 hypothetical protein APUTEX25_000707 [Auxenochlorella protothecoides]
OG0000004	XP_005847945.1 hypothetical protein CHLNCDRAFT_17840_ partial [Chlorella variabilis]	RMZ54530.1 hypothetical protein APUTEX25_001702_ partial [Auxenochlorella protothecoides], RMZ53046.1 hypothetical protein APUTEX25_001165 [Auxenochlorella protothecoides]
OG0000004	XP_005851959.1 hypothetical protein CHLNCDRAFT_133640 [Chlorella variabilis], XP_005845547.1 hypothetical protein CHLNCDRAFT_136695 [Chlorella variabilis], XP_005852265.1 hypothetical protein CHLNCDRAFT_133643 [Chlorella variabilis]	RMZ55712.1 hypothetical protein APUTEX25_005753 [Auxenochlorella protothecoides]
OG0000004	XP_005843521.1 hypothetical protein CHLNCDRAFT_59250 [Chlorella variabilis], XP_005851469.1 hypothetical protein CHLNCDRAFT_19177_ partial [Chlorella variabilis]	RMZ54640.1 hypothetical protein APUTEX25_003018 [Auxenochlorella protothecoides]
