Orthogroup	Auxenochlorella_protothecoides	Chlorella_Sorokiniana1602
OG0000001	RMZ53936.1 hypothetical protein APUTEX25_004961 [Auxenochlorella protothecoides]	PRW33016.1 CSE family protein [Chlorella sorokiniana]
OG0000001	RMZ53941.1 hypothetical protein APUTEX25_004966 [Auxenochlorella protothecoides]	PRW32527.1 Acetylornithine chloroplastic mitochondrial [Chlorella sorokiniana]
OG0000003	RMZ52249.1 hypothetical protein APUTEX25_001639 [Auxenochlorella protothecoides]	PRW60465.1 expressed protein isoform B [Chlorella sorokiniana], PRW60464.1 expressed protein isoform A [Chlorella sorokiniana]
OG0000003	RMZ54089.1 hypothetical protein APUTEX25_002666_ partial [Auxenochlorella protothecoides]	PRW56332.1 S-acyltransferase 24 [Chlorella sorokiniana]
OG0000003	RMZ56204.1 hypothetical protein APUTEX25_002394 [Auxenochlorella protothecoides]	PRW61115.1 hypothetical protein C2E21_0584 [Chlorella sorokiniana], PRW59533.1 hypothetical protein C2E21_1609 [Chlorella sorokiniana]
OG0000004	RMZ54417.1 hypothetical protein APUTEX25_001993 [Auxenochlorella protothecoides]	PRW50811.1 squamosa promoter binding [Chlorella sorokiniana]
OG0000004	RMZ52284.1 hypothetical protein APUTEX25_001674 [Auxenochlorella protothecoides]	PRW60923.1 squamosa promoter binding [Chlorella sorokiniana]
OG0000004	RMZ52588.1 hypothetical protein APUTEX25_000707 [Auxenochlorella protothecoides]	PRW21082.1 Squamosa promoter-binding 16 [Chlorella sorokiniana]
OG0000005	RMZ53759.1 hypothetical protein APUTEX25_003898 [Auxenochlorella protothecoides], RMZ52566.1 hypothetical protein APUTEX25_003709 [Auxenochlorella protothecoides], RMZ52574.1 hypothetical protein APUTEX25_003717_ partial [Auxenochlorella protothecoides], RMZ55637.1 hypothetical protein APUTEX25_000220_ partial [Auxenochlorella protothecoides], RMZ53009.1 hypothetical protein APUTEX25_001128_ partial [Auxenochlorella protothecoides]	PRW32926.1 Histone H2A [Chlorella sorokiniana], PRW56969.1 Histone H2A [Chlorella sorokiniana], PRW57065.1 Histone H2A [Chlorella sorokiniana], PRW57122.1 Histone H2A [Chlorella sorokiniana], PRW32953.1 Histone H2A [Chlorella sorokiniana], PRW20373.1 Histone H2A [Chlorella sorokiniana], PRW33066.1 Histone H2A [Chlorella sorokiniana], PRW57339.1 Histone H2A [Chlorella sorokiniana], PRW57021.1 Histone H2A [Chlorella sorokiniana], PRW56948.1 Histone H2A [Chlorella sorokiniana], PRW20423.1 Histone H2A [Chlorella sorokiniana], PRW32875.1 Histone H2A [Chlorella sorokiniana]
OG0000006	RMZ56115.1 hypothetical protein APUTEX25_004539 [Auxenochlorella protothecoides]	PRW57849.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000007	RMZ53786.1 hypothetical protein APUTEX25_003925 [Auxenochlorella protothecoides], RMZ55468.1 hypothetical protein APUTEX25_000051 [Auxenochlorella protothecoides], RMZ52472.1 hypothetical protein APUTEX25_003615 [Auxenochlorella protothecoides], RMZ52594.1 hypothetical protein APUTEX25_000713 [Auxenochlorella protothecoides]	PRW60378.1 histone H2B [Chlorella sorokiniana], PRW32979.1 Histone [Chlorella sorokiniana], PRW56968.1 Histone [Chlorella sorokiniana], PRW33072.1 Histone [Chlorella sorokiniana], PRW57308.1 Histone [Chlorella sorokiniana], PRW20324.1 Histone [Chlorella sorokiniana], PRW56937.1 Histone isoform A [Chlorella sorokiniana], PRW57408.1 Histone [Chlorella sorokiniana], PRW56936.1 Histone isoform B [Chlorella sorokiniana], PRW32997.1 Histone [Chlorella sorokiniana], PRW33046.1 Histone [Chlorella sorokiniana], PRW33081.1 Histone [Chlorella sorokiniana], PRW57429.1 Histone [Chlorella sorokiniana], PRW57107.1 Histone [Chlorella sorokiniana]
OG0000008	RMZ52519.1 hypothetical protein APUTEX25_003662 [Auxenochlorella protothecoides], RMZ55557.1 hypothetical protein APUTEX25_000140 [Auxenochlorella protothecoides]	PRW20318.1 Histone H4 [Chlorella sorokiniana]
OG0000009	RMZ53398.1 hypothetical protein APUTEX25_004886 [Auxenochlorella protothecoides]	PRW32927.1 peritrophic membrane chitin binding [Chlorella sorokiniana]
OG0000011	RMZ55904.1 hypothetical protein APUTEX25_003982_ partial [Auxenochlorella protothecoides], RMZ56599.1 hypothetical protein APUTEX25_004763_ partial [Auxenochlorella protothecoides]	PRW61362.1 laminin subunit alpha-2 isoform E [Chlorella sorokiniana]
OG0000013	RMZ55143.1 hypothetical protein APUTEX25_005421 [Auxenochlorella protothecoides]	PRW33203.1 Serine threonine- kinase SAPK1 [Chlorella sorokiniana]
OG0000013	RMZ57357.1 hypothetical protein APUTEX25_004191 [Auxenochlorella protothecoides]	PRW44937.1 sulfur stress regulator [Chlorella sorokiniana]
OG0000013	RMZ57701.1 hypothetical protein APUTEX25_001901_ partial [Auxenochlorella protothecoides]	PRW58909.1 sulfur stress regulator [Chlorella sorokiniana]
OG0000013	RMZ52931.1 hypothetical protein APUTEX25_001050 [Auxenochlorella protothecoides]	PRW59234.1 sulfur stress regulator [Chlorella sorokiniana]
OG0000014	RMZ54969.1 hypothetical protein APUTEX25_000486_ partial [Auxenochlorella protothecoides]	PRW56328.1 cyclophilin [Chlorella sorokiniana]
OG0000014	RMZ57118.1 hypothetical protein APUTEX25_002350 [Auxenochlorella protothecoides]	PRW45741.1 peptidyl-prolyl cis-trans isomerase CYP19-4 [Chlorella sorokiniana]
OG0000014	RMZ52047.1 hypothetical protein APUTEX25_001241 [Auxenochlorella protothecoides]	PRW57312.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Chlorella sorokiniana]
OG0000014	RMZ53818.1 hypothetical protein APUTEX25_003957_ partial [Auxenochlorella protothecoides]	PRW57025.1 peptidyl-prolyl cis-trans isomerase B [Chlorella sorokiniana]
