Orthogroup	Coccomyxa_SubellipsoideaC169	Chlorella_VariabilisNC64A
OG0000001	EIE26998.1 hypothetical protein COCSUDRAFT_39934 [Coccomyxa subellipsoidea C-169], EIE22175.1 hypothetical protein COCSUDRAFT_55870 [Coccomyxa subellipsoidea C-169]	XP_005847914.1 hypothetical protein CHLNCDRAFT_145316 [Chlorella variabilis]
OG0000002	EIE18168.1 hypothetical protein COCSUDRAFT_60541 [Coccomyxa subellipsoidea C-169]	XP_005848796.1 hypothetical protein CHLNCDRAFT_51454 [Chlorella variabilis], XP_005848587.1 hypothetical protein CHLNCDRAFT_145176 [Chlorella variabilis]
OG0000003	EIE23278.1 hypothetical protein COCSUDRAFT_47573 [Coccomyxa subellipsoidea C-169]	XP_005845559.1 hypothetical protein CHLNCDRAFT_136719 [Chlorella variabilis]
OG0000003	EIE24971.1 hypothetical protein COCSUDRAFT_83664 [Coccomyxa subellipsoidea C-169]	XP_005850750.1 hypothetical protein CHLNCDRAFT_140901 [Chlorella variabilis]
OG0000003	EIE27713.1 hypothetical protein COCSUDRAFT_55699 [Coccomyxa subellipsoidea C-169], EIE19265.1 hypothetical protein COCSUDRAFT_58561 [Coccomyxa subellipsoidea C-169]	XP_005845697.1 expressed protein [Chlorella variabilis], XP_005848945.1 hypothetical protein CHLNCDRAFT_144427 [Chlorella variabilis]
OG0000003	EIE27712.1 hypothetical protein COCSUDRAFT_55698 [Coccomyxa subellipsoidea C-169]	XP_005848871.1 hypothetical protein CHLNCDRAFT_144246 [Chlorella variabilis], XP_005847999.1 expressed protein [Chlorella variabilis], XP_005847434.1 hypothetical protein CHLNCDRAFT_134328 [Chlorella variabilis], XP_005847441.1 hypothetical protein CHLNCDRAFT_134345 [Chlorella variabilis], XP_005850412.1 hypothetical protein CHLNCDRAFT_142315 [Chlorella variabilis], XP_005852188.1 hypothetical protein CHLNCDRAFT_133395 [Chlorella variabilis], XP_005852056.1 hypothetical protein CHLNCDRAFT_133040 [Chlorella variabilis], XP_005852055.1 expressed protein [Chlorella variabilis], XP_005850707.1 hypothetical protein CHLNCDRAFT_140796 [Chlorella variabilis], XP_005850406.1 hypothetical protein CHLNCDRAFT_142302 [Chlorella variabilis], XP_005850407.1 expressed protein [Chlorella variabilis], XP_005851305.1 hypothetical protein CHLNCDRAFT_56786 [Chlorella variabilis], XP_005844659.1 hypothetical protein CHLNCDRAFT_138538 [Chlorella variabilis]
OG0000004	EIE27634.1 SBP-domain-containing protein [Coccomyxa subellipsoidea C-169]	XP_005847991.1 hypothetical protein CHLNCDRAFT_17960_ partial [Chlorella variabilis]
OG0000005	EIE20029.1 histone 2A variant [Coccomyxa subellipsoidea C-169]	XP_005851876.1 hypothetical protein CHLNCDRAFT_133450 [Chlorella variabilis]
OG0000005	EIE19073.1 histone-fold-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE19114.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23631.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19130.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19099.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21864.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21867.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE20587.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]	XP_005852170.1 hypothetical protein CHLNCDRAFT_48410 [Chlorella variabilis]
OG0000006	EIE18296.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]	XP_005847121.1 hypothetical protein CHLNCDRAFT_24126 [Chlorella variabilis]
OG0000006	EIE20275.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20985.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	XP_005843205.1 hypothetical protein CHLNCDRAFT_14990_ partial [Chlorella variabilis], XP_005851910.1 hypothetical protein CHLNCDRAFT_17554_ partial [Chlorella variabilis], XP_005848072.1 hypothetical protein CHLNCDRAFT_145300 [Chlorella variabilis], XP_005845995.1 hypothetical protein CHLNCDRAFT_13716_ partial [Chlorella variabilis], XP_005845997.1 hypothetical protein CHLNCDRAFT_136055 [Chlorella variabilis], XP_005848395.1 hypothetical protein CHLNCDRAFT_144680 [Chlorella variabilis], XP_005848611.1 hypothetical protein CHLNCDRAFT_30642 [Chlorella variabilis], XP_005845704.1 hypothetical protein CHLNCDRAFT_136834 [Chlorella variabilis], XP_005845996.1 expressed protein [Chlorella variabilis], XP_005848610.1 hypothetical protein CHLNCDRAFT_57467 [Chlorella variabilis], XP_005844574.1 hypothetical protein CHLNCDRAFT_26742 [Chlorella variabilis], XP_005843211.1 hypothetical protein CHLNCDRAFT_13183_ partial [Chlorella variabilis], XP_005844632.1 hypothetical protein CHLNCDRAFT_13628_ partial [Chlorella variabilis], XP_005844631.1 hypothetical protein CHLNCDRAFT_36848 [Chlorella variabilis], XP_005847536.1 hypothetical protein CHLNCDRAFT_133720 [Chlorella variabilis], XP_005847535.1 hypothetical protein CHLNCDRAFT_31062 [Chlorella variabilis], XP_005847828.1 hypothetical protein CHLNCDRAFT_134046 [Chlorella variabilis]
OG0000007	EIE21546.1 hypothetical protein COCSUDRAFT_17575 [Coccomyxa subellipsoidea C-169]	XP_005845509.1 hypothetical protein CHLNCDRAFT_25860_ partial [Chlorella variabilis]
OG0000007	EIE19157.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19113.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE23632.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21863.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19131.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19100.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21868.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE18782.1 putative histone H2B [Coccomyxa subellipsoidea C-169]	XP_005843694.1 hypothetical protein CHLNCDRAFT_27806 [Chlorella variabilis], XP_005843134.1 hypothetical protein CHLNCDRAFT_28493 [Chlorella variabilis], XP_005843124.1 hypothetical protein CHLNCDRAFT_55388 [Chlorella variabilis], XP_005846939.1 hypothetical protein CHLNCDRAFT_23970 [Chlorella variabilis], XP_005843643.1 hypothetical protein CHLNCDRAFT_27834 [Chlorella variabilis], XP_005843706.1 hypothetical protein CHLNCDRAFT_27882 [Chlorella variabilis], XP_005851845.1 hypothetical protein CHLNCDRAFT_48411 [Chlorella variabilis]
OG0000008	EIE19112.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19132.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21862.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23633.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21869.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19101.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]	XP_005843696.1 hypothetical protein CHLNCDRAFT_139973 [Chlorella variabilis], XP_005847450.1 hypothetical protein CHLNCDRAFT_134363 [Chlorella variabilis], XP_005846938.1 hypothetical protein CHLNCDRAFT_48891 [Chlorella variabilis], XP_005843707.1 hypothetical protein CHLNCDRAFT_27849 [Chlorella variabilis]
OG0000009	EIE27622.1 hypothetical protein COCSUDRAFT_39238 [Coccomyxa subellipsoidea C-169]	XP_005843753.1 hypothetical protein CHLNCDRAFT_139841 [Chlorella variabilis]
OG0000011	EIE23922.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE23924.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE19365.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26735.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18365.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE26174.1 hypothetical protein COCSUDRAFT_46522 [Coccomyxa subellipsoidea C-169], EIE18397.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20425.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE20426.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE20544.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22674.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE27156.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	XP_005849952.1 hypothetical protein CHLNCDRAFT_143307 [Chlorella variabilis], XP_005849701.1 hypothetical protein CHLNCDRAFT_51171 [Chlorella variabilis], XP_005850592.1 hypothetical protein CHLNCDRAFT_29775 [Chlorella variabilis], XP_005850969.1 hypothetical protein CHLNCDRAFT_140750 [Chlorella variabilis], XP_005847290.1 hypothetical protein CHLNCDRAFT_134359 [Chlorella variabilis], XP_005850996.1 hypothetical protein CHLNCDRAFT_19742_ partial [Chlorella variabilis], XP_005842654.1 hypothetical protein CHLNCDRAFT_29026_ partial [Chlorella variabilis], XP_005850995.1 hypothetical protein CHLNCDRAFT_29915_ partial [Chlorella variabilis], XP_005842566.1 hypothetical protein CHLNCDRAFT_59518_ partial [Chlorella variabilis]
