Orthogroup	Chlorella_VariabilisNC64A	Chlorella_KRBP
OG0000005	XP_005851876.1 hypothetical protein CHLNCDRAFT_133450 [Chlorella variabilis], XP_005843647.1 hypothetical protein CHLNCDRAFT_54989 [Chlorella variabilis], XP_005843638.1 hypothetical protein CHLNCDRAFT_54972 [Chlorella variabilis], XP_005847129.1 hypothetical protein CHLNCDRAFT_52799 [Chlorella variabilis], XP_005843094.1 hypothetical protein CHLNCDRAFT_28450 [Chlorella variabilis], XP_005843702.1 hypothetical protein CHLNCDRAFT_27894 [Chlorella variabilis], XP_005848689.1 hypothetical protein CHLNCDRAFT_21904 [Chlorella variabilis], XP_005852170.1 hypothetical protein CHLNCDRAFT_48410 [Chlorella variabilis]	QAXK01016321.1_1655-2667
OG0000013	XP_005849557.1 hypothetical protein CHLNCDRAFT_30391 [Chlorella variabilis], XP_005842607.1 hypothetical protein CHLNCDRAFT_59511_ partial [Chlorella variabilis], XP_005848350.1 hypothetical protein CHLNCDRAFT_145069 [Chlorella variabilis], XP_005849558.1 hypothetical protein CHLNCDRAFT_34706 [Chlorella variabilis], XP_005849560.1 hypothetical protein CHLNCDRAFT_57249 [Chlorella variabilis], XP_005849559.1 hypothetical protein CHLNCDRAFT_142950 [Chlorella variabilis], XP_005851920.1 hypothetical protein CHLNCDRAFT_33664 [Chlorella variabilis], XP_005849819.1 expressed protein [Chlorella variabilis]	QAXK01004822.1_8132-10307
OG0000049	XP_005849919.1 hypothetical protein CHLNCDRAFT_143222 [Chlorella variabilis], XP_005850664.1 hypothetical protein CHLNCDRAFT_140697 [Chlorella variabilis]	QAXK01004561.1_5673-2644
OG0000059	XP_005842610.1 hypothetical protein CHLNCDRAFT_55845_ partial [Chlorella variabilis], XP_005846099.1 hypothetical protein CHLNCDRAFT_135999 [Chlorella variabilis], XP_005842738.1 hypothetical protein CHLNCDRAFT_28926_ partial [Chlorella variabilis], XP_005844783.1 hypothetical protein CHLNCDRAFT_138656 [Chlorella variabilis], XP_005843771.1 hypothetical protein CHLNCDRAFT_49195 [Chlorella variabilis], XP_005850074.1 hypothetical protein CHLNCDRAFT_142112 [Chlorella variabilis], XP_005843349.1 hypothetical protein CHLNCDRAFT_141273 [Chlorella variabilis]	QAXK01009817.1_2794-231
OG0000060	XP_005844701.1 hypothetical protein CHLNCDRAFT_14999_ partial [Chlorella variabilis], XP_005844700.1 hypothetical protein CHLNCDRAFT_138629 [Chlorella variabilis], XP_005844698.1 hypothetical protein CHLNCDRAFT_138627 [Chlorella variabilis]	QAXK01006650.1_4897-1380
OG0000095	XP_005849513.1 hypothetical protein CHLNCDRAFT_142850 [Chlorella variabilis], XP_005847243.1 hypothetical protein CHLNCDRAFT_35537 [Chlorella variabilis], XP_005847333.1 hypothetical protein CHLNCDRAFT_134505 [Chlorella variabilis]	QAXK01000980.1_6477-3589
OG0000100	XP_005843553.1 hypothetical protein CHLNCDRAFT_140184 [Chlorella variabilis], XP_005843628.1 hypothetical protein CHLNCDRAFT_59237 [Chlorella variabilis], XP_005843554.1 hypothetical protein CHLNCDRAFT_59809 [Chlorella variabilis]	QAXK01004495.1_1525-5952
OG0000102	XP_005850093.1 hypothetical protein CHLNCDRAFT_142154 [Chlorella variabilis], XP_005842556.1 hypothetical protein CHLNCDRAFT_144615 [Chlorella variabilis], XP_005851884.1 hypothetical protein CHLNCDRAFT_33619 [Chlorella variabilis], XP_005850092.1 hypothetical protein CHLNCDRAFT_142153 [Chlorella variabilis]	QAXK01002229.1_29280-27595
OG0000106	XP_005852306.1 hypothetical protein CHLNCDRAFT_55668 [Chlorella variabilis], XP_005846592.1 hypothetical protein CHLNCDRAFT_9386_ partial [Chlorella variabilis], XP_005845071.1 hypothetical protein CHLNCDRAFT_58686 [Chlorella variabilis], XP_005851990.1 hypothetical protein CHLNCDRAFT_18492 [Chlorella variabilis]	QAXK01000521.1_8215-4849
OG0000116	XP_005847886.1 hypothetical protein CHLNCDRAFT_145238 [Chlorella variabilis], XP_005844499.1 hypothetical protein CHLNCDRAFT_138861 [Chlorella variabilis], XP_005849021.1 hypothetical protein CHLNCDRAFT_21597_ partial [Chlorella variabilis]	QAXK01010643.1_4647-4102
OG0000126	XP_005850870.1 hypothetical protein CHLNCDRAFT_140512 [Chlorella variabilis], XP_005850873.1 hypothetical protein CHLNCDRAFT_140516 [Chlorella variabilis], XP_005843576.1 hypothetical protein CHLNCDRAFT_33086 [Chlorella variabilis]	QAXK01000372.1_2577-4525
OG0000128	XP_005847323.1 hypothetical protein CHLNCDRAFT_56178 [Chlorella variabilis], XP_005849098.1 hypothetical protein CHLNCDRAFT_143632 [Chlorella variabilis], XP_005849097.1 hypothetical protein CHLNCDRAFT_143631 [Chlorella variabilis], XP_005849583.1 hypothetical protein CHLNCDRAFT_143004 [Chlorella variabilis]	QAXK01009125.1_10140-8059
OG0000137	XP_005852253.1 hypothetical protein CHLNCDRAFT_33679 [Chlorella variabilis], XP_005844633.1 hypothetical protein CHLNCDRAFT_138947 [Chlorella variabilis], XP_005844638.1 hypothetical protein CHLNCDRAFT_138957 [Chlorella variabilis], XP_005851936.1 hypothetical protein CHLNCDRAFT_12919_ partial [Chlorella variabilis], XP_005851937.1 hypothetical protein CHLNCDRAFT_133596 [Chlorella variabilis]	QAXK01002137.1_9267-10854
OG0000152	XP_005843332.1 hypothetical protein CHLNCDRAFT_10735_ partial [Chlorella variabilis], XP_005844457.1 hypothetical protein CHLNCDRAFT_36812 [Chlorella variabilis], XP_005850318.1 hypothetical protein CHLNCDRAFT_50622 [Chlorella variabilis]	QAXK01008299.1_4185-5535
OG0000163	XP_005850241.1 hypothetical protein CHLNCDRAFT_20429 [Chlorella variabilis], XP_005847412.1 hypothetical protein CHLNCDRAFT_35570 [Chlorella variabilis], XP_005845590.1 hypothetical protein CHLNCDRAFT_49011 [Chlorella variabilis]	QAXK01013733.1_9353-8061
OG0000165	XP_005851011.1 hypothetical protein CHLNCDRAFT_140853 [Chlorella variabilis], XP_005847971.1 hypothetical protein CHLNCDRAFT_52121 [Chlorella variabilis], XP_005851012.1 hypothetical protein CHLNCDRAFT_140854 [Chlorella variabilis]	QAXK01004609.1_12369-13533
OG0000175	XP_005849740.1 hypothetical protein CHLNCDRAFT_59621 [Chlorella variabilis], XP_005849739.1 hypothetical protein CHLNCDRAFT_57189 [Chlorella variabilis], XP_005847511.1 hypothetical protein CHLNCDRAFT_134529 [Chlorella variabilis]	QAXK01006319.1_3560-2355
OG0000177	XP_005846177.1 hypothetical protein CHLNCDRAFT_53457 [Chlorella variabilis], XP_005850133.1 hypothetical protein CHLNCDRAFT_57100 [Chlorella variabilis], XP_005843259.1 hypothetical protein CHLNCDRAFT_141382 [Chlorella variabilis]	QAXK01000575.1_15675-16655
OG0000187	XP_005845908.1 hypothetical protein CHLNCDRAFT_136511 [Chlorella variabilis], XP_005843412.1 hypothetical protein CHLNCDRAFT_28217_ partial [Chlorella variabilis]	QAXK01014854.1_51-3845
OG0000189	XP_005848107.1 hypothetical protein CHLNCDRAFT_30996 [Chlorella variabilis], XP_005848105.1 hypothetical protein CHLNCDRAFT_145396 [Chlorella variabilis], XP_005848106.1 hypothetical protein CHLNCDRAFT_17179_ partial [Chlorella variabilis]	QAXK01000217.1_14674-15859
OG0000192	XP_005843959.1 hypothetical protein CHLNCDRAFT_32928 [Chlorella variabilis], XP_005843577.1 hypothetical protein CHLNCDRAFT_33088 [Chlorella variabilis], XP_005842646.1 hypothetical protein CHLNCDRAFT_29032_ partial [Chlorella variabilis]	QAXK01001504.1_2221-4972
OG0000199	XP_005843386.1 hypothetical protein CHLNCDRAFT_141221 [Chlorella variabilis]	QAXK01013035.1_1945-4404
OG0000199	XP_005851124.1 hypothetical protein CHLNCDRAFT_137703 [Chlorella variabilis]	QAXK01010173.1_3319-5256
OG0000201	XP_005850772.1 hypothetical protein CHLNCDRAFT_140958 [Chlorella variabilis], XP_005844567.1 hypothetical protein CHLNCDRAFT_138793 [Chlorella variabilis]	QAXK01000736.1_9467-8726
OG0000207	XP_005850435.1 hypothetical protein CHLNCDRAFT_30168 [Chlorella variabilis]	QAXK01004998.1_5108-4093
OG0000207	XP_005850434.1 hypothetical protein CHLNCDRAFT_34478 [Chlorella variabilis]	QAXK01001786.1_12609-11430
OG0000215	XP_005844078.1 hypothetical protein CHLNCDRAFT_37079_ partial [Chlorella variabilis], XP_005845727.1 hypothetical protein CHLNCDRAFT_58424 [Chlorella variabilis], XP_005849801.1 hypothetical protein CHLNCDRAFT_50966 [Chlorella variabilis], XP_005844077.1 hypothetical protein CHLNCDRAFT_139472 [Chlorella variabilis]	QAXK01013809.1_3869-6090
OG0000217	XP_005851986.1 hypothetical protein CHLNCDRAFT_59525 [Chlorella variabilis], XP_005849954.1 hypothetical protein CHLNCDRAFT_21192_ partial [Chlorella variabilis]	QAXK01003927.1_26651-24094
OG0000222	XP_005844141.1 hypothetical protein CHLNCDRAFT_139232 [Chlorella variabilis], XP_005844140.1 hypothetical protein CHLNCDRAFT_139231 [Chlorella variabilis]	QAXK01005046.1_1470-3041
OG0000225	XP_005845654.1 hypothetical protein CHLNCDRAFT_136690 [Chlorella variabilis], XP_005849588.1 hypothetical protein CHLNCDRAFT_143015 [Chlorella variabilis]	QAXK01000132.1_14211-8944
OG0000226	XP_005846881.1 hypothetical protein CHLNCDRAFT_134722 [Chlorella variabilis], XP_005851633.1 hypothetical protein CHLNCDRAFT_138195 [Chlorella variabilis], XP_005851632.1 hypothetical protein CHLNCDRAFT_138191 [Chlorella variabilis]	QAXK01001147.1_264-2985
OG0000234	XP_005845171.1 eukaryotic initiation factor 4A _ATP-dependent RNA helicase eIF4A_ [Chlorella variabilis]	QAXK01001703.1_3693-800
OG0000234	XP_005851716.1 hypothetical protein CHLNCDRAFT_29172 [Chlorella variabilis]	QAXK01001715.1_46567-44103
OG0000243	XP_005842720.1 hypothetical protein CHLNCDRAFT_55718_ partial [Chlorella variabilis], XP_005842665.1 hypothetical protein CHLNCDRAFT_37749 [Chlorella variabilis], XP_005844355.1 hypothetical protein CHLNCDRAFT_36916 [Chlorella variabilis], XP_005847379.1 hypothetical protein CHLNCDRAFT_134199 [Chlorella variabilis]	QAXK01017572.1_4284-1659
OG0000255	XP_005850447.1 hypothetical protein CHLNCDRAFT_50794 [Chlorella variabilis], XP_005850195.1 hypothetical protein CHLNCDRAFT_50798 [Chlorella variabilis]	QAXK01003493.1_20875-19869
OG0000256	XP_005850527.1 hypothetical protein CHLNCDRAFT_11200_ partial [Chlorella variabilis], XP_005850529.1 hypothetical protein CHLNCDRAFT_140385 [Chlorella variabilis], XP_005852164.1 hypothetical protein CHLNCDRAFT_133330 [Chlorella variabilis]	QAXK01000928.1_4721-1230
OG0000260	XP_005847825.1 hypothetical protein CHLNCDRAFT_52381 [Chlorella variabilis], XP_005848085.1 hypothetical protein CHLNCDRAFT_22974 [Chlorella variabilis]	QAXK01007811.1_6343-7669
OG0000262	XP_005847132.1 hypothetical protein CHLNCDRAFT_24350_ partial [Chlorella variabilis]	QAXK01001305.1_3092-9737
OG0000268	XP_005847540.1 hypothetical protein CHLNCDRAFT_133732 [Chlorella variabilis], XP_005846000.1 hypothetical protein CHLNCDRAFT_31922 [Chlorella variabilis], XP_005843444.1 hypothetical protein CHLNCDRAFT_141147 [Chlorella variabilis]	QAXK01007959.1_4344-7510
OG0000269	XP_005850324.1 hypothetical protein CHLNCDRAFT_142100 [Chlorella variabilis], XP_005850323.1 hypothetical protein CHLNCDRAFT_142099 [Chlorella variabilis]	QAXK01000159.1_2526-4128
OG0000276	XP_005843894.1 expressed protein [Chlorella variabilis], XP_005843916.1 hypothetical protein CHLNCDRAFT_139804 [Chlorella variabilis]	QAXK01013106.1_2869-3857
OG0000290	XP_005851745.1 hypothetical protein CHLNCDRAFT_56489 [Chlorella variabilis], XP_005847707.1 hypothetical protein CHLNCDRAFT_52224 [Chlorella variabilis]	QAXK01007708.1_8045-6769
OG0000293	XP_005847963.1 hypothetical protein CHLNCDRAFT_35323 [Chlorella variabilis], XP_005849129.1 hypothetical protein CHLNCDRAFT_143714 [Chlorella variabilis]	QAXK01000427.1_18710-23853
OG0000297	XP_005849963.1 hypothetical protein CHLNCDRAFT_143323 [Chlorella variabilis], XP_005849602.1 hypothetical protein CHLNCDRAFT_143059 [Chlorella variabilis]	QAXK01003382.1_7730-10683
OG0000298	XP_005843810.1 hypothetical protein CHLNCDRAFT_139858 [Chlorella variabilis], XP_005843812.1 hypothetical protein CHLNCDRAFT_54915 [Chlorella variabilis], XP_005843811.1 hypothetical protein CHLNCDRAFT_139859 [Chlorella variabilis]	QAXK01006215.1_8306-11634
OG0000299	XP_005851620.1 hypothetical protein CHLNCDRAFT_19207 [Chlorella variabilis], XP_005851619.1 hypothetical protein CHLNCDRAFT_18854_ partial [Chlorella variabilis]	QAXK01000488.1_8485-5165
OG0000300	XP_005849278.1 hypothetical protein CHLNCDRAFT_56094 [Chlorella variabilis], XP_005844637.1 hypothetical protein CHLNCDRAFT_58882 [Chlorella variabilis]	QAXK01000495.1_4618-6885
OG0000301	XP_005850633.1 hypothetical protein CHLNCDRAFT_34137 [Chlorella variabilis], XP_005846374.1 hypothetical protein CHLNCDRAFT_135840 [Chlorella variabilis]	QAXK01005324.1_4296-8149
OG0000302	XP_005842935.1 hypothetical protein CHLNCDRAFT_6977_ partial [Chlorella variabilis], XP_005850901.1 hypothetical protein CHLNCDRAFT_140589 [Chlorella variabilis]	QAXK01009146.1_0-3841
OG0000304	XP_005845253.1 hypothetical protein CHLNCDRAFT_136923 [Chlorella variabilis], XP_005849062.1 hypothetical protein CHLNCDRAFT_21811_ partial [Chlorella variabilis], XP_005845252.1 hypothetical protein CHLNCDRAFT_136922 [Chlorella variabilis]	QAXK01014492.1_877-182
OG0000315	XP_005852304.1 hypothetical protein CHLNCDRAFT_59481 [Chlorella variabilis], XP_005846168.1 hypothetical protein CHLNCDRAFT_136163 [Chlorella variabilis], XP_005843373.1 hypothetical protein CHLNCDRAFT_37464 [Chlorella variabilis]	QAXK01002353.1_19232-23410
OG0000316	XP_005849873.1 hypothetical protein CHLNCDRAFT_21181_ partial [Chlorella variabilis], XP_005842593.1 hypothetical protein CHLNCDRAFT_55867_ partial [Chlorella variabilis], XP_005849872.1 hypothetical protein CHLNCDRAFT_143098_ partial [Chlorella variabilis]	QAXK01003905.1_19782-15375
OG0000317	XP_005848629.1 hypothetical protein CHLNCDRAFT_30648 [Chlorella variabilis], XP_005847625.1 26S proteasome AAA-ATPase subunit RPT2a [Chlorella variabilis]	QAXK01008437.1_3645-238
OG0000320	XP_005846023.1 hypothetical protein CHLNCDRAFT_136135 [Chlorella variabilis], XP_005852051.1 hypothetical protein CHLNCDRAFT_14012_ partial [Chlorella variabilis]	QAXK01008510.1_15994-20405
OG0000321	XP_005848515.1 hypothetical protein CHLNCDRAFT_145001 [Chlorella variabilis], XP_005848518.1 hypothetical protein CHLNCDRAFT_145007 [Chlorella variabilis], XP_005847616.1 hypothetical protein CHLNCDRAFT_59671 [Chlorella variabilis]	QAXK01000378.1_25585-26545
OG0000340	XP_005846623.1 hypothetical protein CHLNCDRAFT_24443_ partial [Chlorella variabilis], XP_005850990.1 hypothetical protein CHLNCDRAFT_56016 [Chlorella variabilis]	QAXK01005276.1_5688-3058
OG0000352	XP_005843767.1 hypothetical protein CHLNCDRAFT_54929 [Chlorella variabilis], XP_005845791.1 hypothetical protein CHLNCDRAFT_136500 [Chlorella variabilis]	QAXK01000899.1_7462-5804
OG0000353	XP_005846841.1 hypothetical protein CHLNCDRAFT_31371 [Chlorella variabilis], XP_005846842.1 hypothetical protein CHLNCDRAFT_35689 [Chlorella variabilis], XP_005842605.1 hypothetical protein CHLNCDRAFT_16011_ partial [Chlorella variabilis]	QAXK01000970.1_11060-12297
OG0000355	XP_005843214.1 hypothetical protein CHLNCDRAFT_28384 [Chlorella variabilis], XP_005843184.1 hypothetical protein CHLNCDRAFT_141464 [Chlorella variabilis]	QAXK01000575.1_38061-33279
OG0000356	XP_005850419.1 hypothetical protein CHLNCDRAFT_142335 [Chlorella variabilis], XP_005850962.1 hypothetical protein CHLNCDRAFT_48551 [Chlorella variabilis]	QAXK01001458.1_25468-28021
OG0000362	XP_005846340.1 hypothetical protein CHLNCDRAFT_135759 [Chlorella variabilis], XP_005847152.1 hypothetical protein CHLNCDRAFT_58089 [Chlorella variabilis]	QAXK01002504.1_1584-235
OG0000372	XP_005850810.1 hypothetical protein CHLNCDRAFT_140350 [Chlorella variabilis], XP_005842733.1 hypothetical protein CHLNCDRAFT_55698_ partial [Chlorella variabilis], XP_005850811.1 hypothetical protein CHLNCDRAFT_140351 [Chlorella variabilis]	QAXK01000007.1_3483-1851
OG0000374	XP_005849751.1 hypothetical protein CHLNCDRAFT_34609 [Chlorella variabilis], XP_005849750.1 hypothetical protein CHLNCDRAFT_21051_ partial [Chlorella variabilis]	QAXK01001576.1_25385-29462
OG0000375	XP_005846709.1 hypothetical protein CHLNCDRAFT_8428_ partial [Chlorella variabilis], XP_005846575.1 hypothetical protein CHLNCDRAFT_52919 [Chlorella variabilis]	QAXK01008707.1_239-2925
OG0000383	XP_005851508.1 hypothetical protein CHLNCDRAFT_48478 [Chlorella variabilis]	QAXK01011194.1_5918-9002
OG0000390	XP_005844467.1 hypothetical protein CHLNCDRAFT_138794 [Chlorella variabilis]	QAXK01005078.1_1174-132
OG0000390	XP_005844468.1 hypothetical protein CHLNCDRAFT_138795 [Chlorella variabilis]	QAXK01003294.1_6337-3495
OG0000394	XP_005852179.1 hypothetical protein CHLNCDRAFT_133375 [Chlorella variabilis]	QAXK01008702.1_3083-212
OG0000408	XP_005845135.1 hypothetical protein CHLNCDRAFT_26194 [Chlorella variabilis], XP_005845028.1 hypothetical protein CHLNCDRAFT_137251 [Chlorella variabilis]	QAXK01003094.1_1529-6518
OG0000412	XP_005843796.1 hypothetical protein CHLNCDRAFT_139944 [Chlorella variabilis], XP_005844481.1 hypothetical protein CHLNCDRAFT_26750_ partial [Chlorella variabilis]	QAXK01007672.1_3589-1228
OG0000418	XP_005849660.1 hypothetical protein CHLNCDRAFT_34770 [Chlorella variabilis], XP_005850396.1 hypothetical protein CHLNCDRAFT_142278 [Chlorella variabilis]	QAXK01005097.1_6985-2749
OG0000431	XP_005847566.1 hypothetical protein CHLNCDRAFT_133810 [Chlorella variabilis], XP_005849442.1 hypothetical protein CHLNCDRAFT_142698 [Chlorella variabilis]	QAXK01001330.1_10692-5073
OG0000443	XP_005844006.1 hypothetical protein CHLNCDRAFT_27314 [Chlorella variabilis], XP_005844009.1 hypothetical protein CHLNCDRAFT_54762 [Chlorella variabilis], XP_005844004.1 hypothetical protein CHLNCDRAFT_139527 [Chlorella variabilis]	QAXK01002390.1_2379-454
OG0000446	XP_005849694.1 hypothetical protein CHLNCDRAFT_20970_ partial [Chlorella variabilis]	QAXK01006391.1_1754-3793
OG0000449	XP_005851351.1 hypothetical protein CHLNCDRAFT_19196 [Chlorella variabilis], XP_005851646.1 hypothetical protein CHLNCDRAFT_19379_ partial [Chlorella variabilis]	QAXK01017753.1_1728-436
OG0000452	XP_005850888.1 hypothetical protein CHLNCDRAFT_56887 [Chlorella variabilis]	QAXK01003135.1_2479-16
OG0000455	XP_005843906.1 hypothetical protein CHLNCDRAFT_27668_ partial [Chlorella variabilis], XP_005843905.1 hypothetical protein CHLNCDRAFT_59136 [Chlorella variabilis]	QAXK01015054.1_2845-4309
OG0000468	XP_005846307.1 GTP-binding protein yptV1 [Chlorella variabilis], XP_005851611.1 hypothetical protein CHLNCDRAFT_33935 [Chlorella variabilis]	QAXK01006097.1_2371-905
OG0000470	XP_005848387.1 hypothetical protein CHLNCDRAFT_145167 [Chlorella variabilis], XP_005843941.1 hypothetical protein CHLNCDRAFT_32859 [Chlorella variabilis]	QAXK01000050.1_24428-29981
OG0000471	XP_005849344.1 hypothetical protein CHLNCDRAFT_143750 [Chlorella variabilis], XP_005849343.1 hypothetical protein CHLNCDRAFT_143749 [Chlorella variabilis]	QAXK01001670.1_7180-6388
OG0000474	XP_005845200.1 hypothetical protein CHLNCDRAFT_26241_ partial [Chlorella variabilis], XP_005845199.1 hypothetical protein CHLNCDRAFT_137425 [Chlorella variabilis]	QAXK01000042.1_28045-28765
OG0000479	XP_005845224.1 hypothetical protein CHLNCDRAFT_59750 [Chlorella variabilis], XP_005845223.1 hypothetical protein CHLNCDRAFT_137476 [Chlorella variabilis]	QAXK01004028.1_58546-56431
OG0000499	XP_005847220.1 hypothetical protein CHLNCDRAFT_31176_ partial [Chlorella variabilis]	QAXK01009964.1_53-2582
OG0000501	XP_005849197.1 hypothetical protein CHLNCDRAFT_21535_ partial [Chlorella variabilis]	QAXK01015180.1_1811-4048
OG0000501	XP_005849394.1 hypothetical protein CHLNCDRAFT_143887 [Chlorella variabilis]	QAXK01019765.1_356-165
OG0000506	XP_005849792.1 hypothetical protein CHLNCDRAFT_142884 [Chlorella variabilis], XP_005849791.1 hypothetical protein CHLNCDRAFT_142883 [Chlorella variabilis]	QAXK01002250.1_1739-4040
OG0000512	XP_005844806.1 hypothetical protein CHLNCDRAFT_26566 [Chlorella variabilis], XP_005844807.1 hypothetical protein CHLNCDRAFT_36787_ partial [Chlorella variabilis]	QAXK01000565.1_7520-10250
OG0000517	XP_005846970.1 hypothetical protein CHLNCDRAFT_58100 [Chlorella variabilis]	QAXK01001595.1_3107-7081
OG0000519	XP_005847186.1 hypothetical protein CHLNCDRAFT_134977 [Chlorella variabilis], XP_005847907.1 hypothetical protein CHLNCDRAFT_48776 [Chlorella variabilis]	QAXK01004538.1_836-4145
OG0000520	XP_005852105.1 hypothetical protein CHLNCDRAFT_18410 [Chlorella variabilis], XP_005852106.1 hypothetical protein CHLNCDRAFT_48072 [Chlorella variabilis]	QAXK01002274.1_7306-5678
OG0000521	XP_005843587.1 hypothetical protein CHLNCDRAFT_59242 [Chlorella variabilis]	QAXK01000876.1_25410-28882
OG0000522	XP_005844333.1 hypothetical protein CHLNCDRAFT_54553 [Chlorella variabilis], XP_005844349.1 hypothetical protein CHLNCDRAFT_139136 [Chlorella variabilis]	QAXK01010222.1_2855-4006
