Orthogroup	Chlorella_KRBP	Coccomyxa_SubellipsoideaC169
OG0000005	QAXK01016321.1_1655-2667	EIE20029.1 histone 2A variant [Coccomyxa subellipsoidea C-169], EIE19073.1 histone-fold-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE19114.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23631.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19130.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19099.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21864.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21867.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE20587.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]
OG0000013	QAXK01004822.1_8132-10307	EIE24690.1 CbiQ-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE19071.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18318.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22391.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE22392.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26092.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE20575.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE22449.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE19481.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE22450.1 Serine/threonine-protein kinase SRK2J [Coccomyxa subellipsoidea C-169], EIE25930.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22393.1 hypothetical protein COCSUDRAFT_42714 [Coccomyxa subellipsoidea C-169]
OG0000049	QAXK01004561.1_5673-2644	EIE23933.1 hypothetical protein COCSUDRAFT_62462 [Coccomyxa subellipsoidea C-169], EIE24013.1 hypothetical protein COCSUDRAFT_65695 [Coccomyxa subellipsoidea C-169]
OG0000059	QAXK01009817.1_2794-231	EIE19004.1 intramembrane metalloprotease [Coccomyxa subellipsoidea C-169], EIE19800.1 cobW-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE25747.1 cobW-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000060	QAXK01006650.1_4897-1380	EIE21789.1 hypothetical protein COCSUDRAFT_17195 [Coccomyxa subellipsoidea C-169], EIE21790.1 hypothetical protein COCSUDRAFT_7070_ partial [Coccomyxa subellipsoidea C-169], EIE24815.1 hypothetical protein COCSUDRAFT_46955 [Coccomyxa subellipsoidea C-169], EIE21788.1 hypothetical protein COCSUDRAFT_42835 [Coccomyxa subellipsoidea C-169], EIE21877.1 putative zinc finger protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000095	QAXK01000980.1_6477-3589	EIE20398.1 DUF1253-domain-containing protein_ partial [Coccomyxa subellipsoidea C-169], EIE19833.1 FAD/NAD_P_-binding domain-containing protein [Coccomyxa subellipsoidea C-169], EIE23231.1 amine oxidase [Coccomyxa subellipsoidea C-169]
OG0000100	QAXK01004495.1_1525-5952	EIE25271.1 hypothetical protein COCSUDRAFT_13722_ partial [Coccomyxa subellipsoidea C-169], EIE19865.1 chaperonin 60A [Coccomyxa subellipsoidea C-169], EIE22901.1 chaperonin 60B2 [Coccomyxa subellipsoidea C-169]
OG0000102	QAXK01002229.1_29280-27595	EIE25521.1 uracil DNA-glycosylase [Coccomyxa subellipsoidea C-169], EIE25370.1 ferredoxin-dependent glutamate synthase [Coccomyxa subellipsoidea C-169], EIE24001.1 glutamate synthase_ NADH-dependent [Coccomyxa subellipsoidea C-169]
OG0000106	QAXK01000521.1_8215-4849	EIE24632.1 aldose 1-epimerase [Coccomyxa subellipsoidea C-169], EIE18881.1 aldose 1-epimerase [Coccomyxa subellipsoidea C-169], EIE26900.1 farnesyl-diphosphate farnesyltransferase [Coccomyxa subellipsoidea C-169]
OG0000116	QAXK01010643.1_4647-4102	EIE27567.1 ferredoxin_ partial [Coccomyxa subellipsoidea C-169], EIE20433.1 chloroplast ferredoxin [Coccomyxa subellipsoidea C-169], EIE19276.1 ferredoxin [Coccomyxa subellipsoidea C-169]
OG0000126	QAXK01000372.1_2577-4525	EIE26385.1 hypothetical protein COCSUDRAFT_46068 [Coccomyxa subellipsoidea C-169], EIE27012.1 hypothetical protein COCSUDRAFT_83571 [Coccomyxa subellipsoidea C-169], EIE27011.1 hypothetical protein COCSUDRAFT_83570 [Coccomyxa subellipsoidea C-169], EIE20061.1 UDP-Glycosyltransferase/glycogen phosphorylase [Coccomyxa subellipsoidea C-169]
OG0000128	QAXK01009125.1_10140-8059	EIE26319.1 flagellar associated protein [Coccomyxa subellipsoidea C-169], EIE27123.1 peptidase C54 [Coccomyxa subellipsoidea C-169], EIE22388.1 RNB-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000137	QAXK01002137.1_9267-10854	EIE24164.1 ring finger protein 5_ partial [Coccomyxa subellipsoidea C-169], EIE18944.1 hypothetical protein COCSUDRAFT_59869 [Coccomyxa subellipsoidea C-169], EIE25580.1 hypothetical protein COCSUDRAFT_65314 [Coccomyxa subellipsoidea C-169]
OG0000152	QAXK01008299.1_4185-5535	EIE25415.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE24779.1 mitogen activated protein kinase [Coccomyxa subellipsoidea C-169]
OG0000163	QAXK01013733.1_9353-8061	EIE25145.1 ARF-like small GTPase [Coccomyxa subellipsoidea C-169], EIE18237.1 Arf6/ArfB-family small GTPase [Coccomyxa subellipsoidea C-169], EIE19146.1 ADP-ribosylation factor 1 [Coccomyxa subellipsoidea C-169]
OG0000165	QAXK01004609.1_12369-13533	EIE21929.1 ClpP/crotonase [Coccomyxa subellipsoidea C-169], EIE27428.1 AAA-domain-containing protein [Coccomyxa subellipsoidea C-169], EIE22247.1 hypothetical protein COCSUDRAFT_55943 [Coccomyxa subellipsoidea C-169]
OG0000175	QAXK01006319.1_3560-2355	EIE20380.1 ribosomal protein L9 component of cytosolic 80S ribosome and 60S large subunit [Coccomyxa subellipsoidea C-169], EIE26550.1 hypothetical protein COCSUDRAFT_39616 [Coccomyxa subellipsoidea C-169], EIE21189.1 hypothetical protein COCSUDRAFT_43511 [Coccomyxa subellipsoidea C-169], EIE24447.1 hypothetical protein COCSUDRAFT_61872 [Coccomyxa subellipsoidea C-169]
OG0000177	QAXK01000575.1_15675-16655	EIE20953.1 hypothetical protein COCSUDRAFT_18339 [Coccomyxa subellipsoidea C-169], EIE25020.1 hypothetical protein COCSUDRAFT_27748 [Coccomyxa subellipsoidea C-169], EIE26022.1 hypothetical protein COCSUDRAFT_27585 [Coccomyxa subellipsoidea C-169]
