Orthogroup	Scenedesmus_NREL	Scenedesmus_PABB004
OG0000002	KAF6257144.1 flagellar associated protein [Scenedesmus sp. NREL 46B-D3]	KAF8059971.1 RE1 [Scenedesmus sp. PABB004]
OG0000003	KAF6261474.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6265839.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3]	KAF8071037.1 hypothetical protein HT031_001119 [Scenedesmus sp. PABB004]
OG0000003	KAF6263597.1 SGNH hydrolase-type esterase domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8072564.1 phosphoribosyl transferase [Scenedesmus sp. PABB004]
OG0000003	KAF6266240.1 hypothetical protein COO60DRAFT_1632898 [Scenedesmus sp. NREL 46B-D3]	KAF8057889.1 hypothetical protein HT031_005835 [Scenedesmus sp. PABB004]
OG0000003	KAF6248448.1 hypothetical protein COO60DRAFT_1648906 [Scenedesmus sp. NREL 46B-D3]	KAF8069512.1 ASAT1 [Scenedesmus sp. PABB004]
OG0000004	KAF6260400.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8073156.1 SPL3 [Scenedesmus sp. PABB004]
OG0000004	KAF6261352.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250912.1 SBP domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3]	KAF8071295.1 SPL5 [Scenedesmus sp. PABB004]
OG0000004	KAF6251709.1 hypothetical protein COO60DRAFT_1644723 [Scenedesmus sp. NREL 46B-D3]	KAF8071247.1 SPL14 [Scenedesmus sp. PABB004]
OG0000004	KAF6259815.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8073215.1 SPL8 [Scenedesmus sp. PABB004]
OG0000004	KAF6250952.1 hypothetical protein COO60DRAFT_706206 [Scenedesmus sp. NREL 46B-D3]	KAF8073175.1 LG1 [Scenedesmus sp. PABB004], KAF8061149.1 SPL2 [Scenedesmus sp. PABB004], KAF8061148.1 SPL1 [Scenedesmus sp. PABB004]
OG0000004	KAF6261110.1 hypothetical protein COO60DRAFT_1637014 [Scenedesmus sp. NREL 46B-D3], KAF6258175.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]	KAF8055591.1 SPL7 [Scenedesmus sp. PABB004]
