Orthogroup	Chlorella_VariabilisNC64A	Chlorella_Sorokiniana1602
OG0000001	XP_005847914.1 hypothetical protein CHLNCDRAFT_145316 [Chlorella variabilis]	PRW33016.1 CSE family protein [Chlorella sorokiniana], PRW32527.1 Acetylornithine chloroplastic mitochondrial [Chlorella sorokiniana]
OG0000002	XP_005848796.1 hypothetical protein CHLNCDRAFT_51454 [Chlorella variabilis], XP_005848587.1 hypothetical protein CHLNCDRAFT_145176 [Chlorella variabilis]	PRW05741.1 reverse transcriptase_R [Chlorella sorokiniana]
OG0000003	XP_005845559.1 hypothetical protein CHLNCDRAFT_136719 [Chlorella variabilis]	PRW60465.1 expressed protein isoform B [Chlorella sorokiniana], PRW60464.1 expressed protein isoform A [Chlorella sorokiniana]
OG0000003	XP_005850750.1 hypothetical protein CHLNCDRAFT_140901 [Chlorella variabilis]	PRW56332.1 S-acyltransferase 24 [Chlorella sorokiniana]
OG0000003	XP_005845697.1 expressed protein [Chlorella variabilis]	PRW59533.1 hypothetical protein C2E21_1609 [Chlorella sorokiniana]
OG0000003	XP_005848871.1 hypothetical protein CHLNCDRAFT_144246 [Chlorella variabilis]	PRW51158.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana], PRW51157.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana]
OG0000003	XP_005847434.1 hypothetical protein CHLNCDRAFT_134328 [Chlorella variabilis], XP_005847441.1 hypothetical protein CHLNCDRAFT_134345 [Chlorella variabilis]	PRW60753.1 Zn2+-binding dehydrogenase [Chlorella sorokiniana]
OG0000003	XP_005850412.1 hypothetical protein CHLNCDRAFT_142315 [Chlorella variabilis]	PRW45267.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW45268.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana]
OG0000003	XP_005852056.1 hypothetical protein CHLNCDRAFT_133040 [Chlorella variabilis], XP_005852055.1 expressed protein [Chlorella variabilis]	PRW60261.1 Acyl-coenzyme A thioesterase THEM4 [Chlorella sorokiniana]
OG0000003	XP_005850406.1 hypothetical protein CHLNCDRAFT_142302 [Chlorella variabilis]	PRW56718.1 hypothetical protein C2E21_4783 [Chlorella sorokiniana]
OG0000003	XP_005850407.1 expressed protein [Chlorella variabilis]	PRW56397.1 hypothetical protein C2E21_4782 [Chlorella sorokiniana]
OG0000003	XP_005851305.1 hypothetical protein CHLNCDRAFT_56786 [Chlorella variabilis]	PRW58582.1 hypothetical protein C2E21_3184 [Chlorella sorokiniana]
OG0000003	XP_005844659.1 hypothetical protein CHLNCDRAFT_138538 [Chlorella variabilis]	PRW60976.1 hypothetical protein C2E21_0414 [Chlorella sorokiniana]
OG0000004	XP_005844033.1 hypothetical protein CHLNCDRAFT_54787 [Chlorella variabilis], XP_005847991.1 hypothetical protein CHLNCDRAFT_17960_ partial [Chlorella variabilis]	PRW50811.1 squamosa promoter binding [Chlorella sorokiniana]
OG0000004	XP_005845592.1 hypothetical protein CHLNCDRAFT_53768 [Chlorella variabilis]	PRW45379.1 squamosa promoter-binding 7 isoform X2 [Chlorella sorokiniana], PRW45644.1 squamosa promoter-binding 12 [Chlorella sorokiniana]
OG0000004	XP_005845837.1 hypothetical protein CHLNCDRAFT_136317 [Chlorella variabilis]	PRW55998.1 squamosa promoter-binding 9 [Chlorella sorokiniana]
