Orthogroup	Chlorella_KRBP	Auxenochlorella_protothecoides
OG0000005	QAXK01016321.1_1655-2667	RMZ53759.1 hypothetical protein APUTEX25_003898 [Auxenochlorella protothecoides], RMZ52566.1 hypothetical protein APUTEX25_003709 [Auxenochlorella protothecoides], RMZ52574.1 hypothetical protein APUTEX25_003717_ partial [Auxenochlorella protothecoides], RMZ55637.1 hypothetical protein APUTEX25_000220_ partial [Auxenochlorella protothecoides], RMZ53009.1 hypothetical protein APUTEX25_001128_ partial [Auxenochlorella protothecoides], RMZ54523.1 hypothetical protein APUTEX25_002099 [Auxenochlorella protothecoides]
OG0000013	QAXK01004822.1_8132-10307	RMZ55143.1 hypothetical protein APUTEX25_005421 [Auxenochlorella protothecoides], RMZ57357.1 hypothetical protein APUTEX25_004191 [Auxenochlorella protothecoides], RMZ57701.1 hypothetical protein APUTEX25_001901_ partial [Auxenochlorella protothecoides], RMZ52931.1 hypothetical protein APUTEX25_001050 [Auxenochlorella protothecoides]
OG0000049	QAXK01004561.1_5673-2644	RMZ56843.1 hypothetical protein APUTEX25_002932 [Auxenochlorella protothecoides], RMZ55633.1 hypothetical protein APUTEX25_000216_ partial [Auxenochlorella protothecoides]
OG0000059	QAXK01009817.1_2794-231	RMZ55038.1 hypothetical protein APUTEX25_005664 [Auxenochlorella protothecoides], RMZ53302.1 hypothetical protein APUTEX25_004790 [Auxenochlorella protothecoides], RMZ52433.1 hypothetical protein APUTEX25_000012_ partial [Auxenochlorella protothecoides]
OG0000060	QAXK01006650.1_4897-1380	RMZ52705.1 hypothetical protein APUTEX25_000824_ partial [Auxenochlorella protothecoides], RMZ57784.1 hypothetical protein APUTEX25_003489_ partial [Auxenochlorella protothecoides], RMZ53684.1 hypothetical protein APUTEX25_003218 [Auxenochlorella protothecoides], RMZ55289.1 hypothetical protein APUTEX25_003772_ partial [Auxenochlorella protothecoides], RMZ57737.1 hypothetical protein APUTEX25_005101_ partial [Auxenochlorella protothecoides], RMZ55290.1 hypothetical protein APUTEX25_003773_ partial [Auxenochlorella protothecoides]
OG0000095	QAXK01000980.1_6477-3589	RMZ52360.1 hypothetical protein APUTEX25_000635_ partial [Auxenochlorella protothecoides]
OG0000100	QAXK01004495.1_1525-5952	RMZ53823.1 hypothetical protein APUTEX25_003962_ partial [Auxenochlorella protothecoides], RMZ53226.1 hypothetical protein APUTEX25_005215 [Auxenochlorella protothecoides]
OG0000102	QAXK01002229.1_29280-27595	RMZ53552.1 hypothetical protein APUTEX25_003374_ partial [Auxenochlorella protothecoides], RMZ54043.1 hypothetical protein APUTEX25_002620_ partial [Auxenochlorella protothecoides], RMZ53532.1 hypothetical protein APUTEX25_003354_ partial [Auxenochlorella protothecoides]
OG0000106	QAXK01000521.1_8215-4849	RMZ57268.1 hypothetical protein APUTEX25_004102_ partial [Auxenochlorella protothecoides], RMZ57423.1 hypothetical protein APUTEX25_004257 [Auxenochlorella protothecoides]
OG0000116	QAXK01010643.1_4647-4102	RMZ52439.1 hypothetical protein APUTEX25_000018_ partial [Auxenochlorella protothecoides], RMZ56203.1 hypothetical protein APUTEX25_002393_ partial [Auxenochlorella protothecoides], RMZ55643.1 hypothetical protein APUTEX25_000226 [Auxenochlorella protothecoides], RMZ56509.1 hypothetical protein APUTEX25_001356_ partial [Auxenochlorella protothecoides]
OG0000126	QAXK01000372.1_2577-4525	RMZ54964.1 hypothetical protein APUTEX25_000481_ partial [Auxenochlorella protothecoides], RMZ54909.1 hypothetical protein APUTEX25_000426 [Auxenochlorella protothecoides], RMZ53251.1 hypothetical protein APUTEX25_005240 [Auxenochlorella protothecoides]
OG0000128	QAXK01009125.1_10140-8059	RMZ53355.1 hypothetical protein APUTEX25_004843_ partial [Auxenochlorella protothecoides], RMZ53549.1 hypothetical protein APUTEX25_003371 [Auxenochlorella protothecoides]
OG0000152	QAXK01008299.1_4185-5535	RMZ55975.1 hypothetical protein APUTEX25_004399 [Auxenochlorella protothecoides]
OG0000163	QAXK01013733.1_9353-8061	RMZ54968.1 hypothetical protein APUTEX25_000485_ partial [Auxenochlorella protothecoides], RMZ56933.1 hypothetical protein APUTEX25_004995 [Auxenochlorella protothecoides], RMZ52287.1 hypothetical protein APUTEX25_001677 [Auxenochlorella protothecoides]
OG0000165	QAXK01004609.1_12369-13533	RMZ54827.1 hypothetical protein APUTEX25_000344 [Auxenochlorella protothecoides], RMZ52546.1 hypothetical protein APUTEX25_003689 [Auxenochlorella protothecoides]
OG0000175	QAXK01006319.1_3560-2355	RMZ56765.1 hypothetical protein APUTEX25_002854 [Auxenochlorella protothecoides], RMZ56829.1 hypothetical protein APUTEX25_002918 [Auxenochlorella protothecoides]
OG0000187	QAXK01014854.1_51-3845	RMZ54155.1 hypothetical protein APUTEX25_005311_ partial [Auxenochlorella protothecoides], RMZ52453.1 hypothetical protein APUTEX25_000032_ partial [Auxenochlorella protothecoides]
OG0000189	QAXK01000217.1_14674-15859	RMZ52678.1 hypothetical protein APUTEX25_000797 [Auxenochlorella protothecoides], RMZ52787.1 hypothetical protein APUTEX25_000906 [Auxenochlorella protothecoides], RMZ53070.1 hypothetical protein APUTEX25_001189 [Auxenochlorella protothecoides]
OG0000192	QAXK01001504.1_2221-4972	RMZ57057.1 hypothetical protein APUTEX25_002289 [Auxenochlorella protothecoides], RMZ53258.1 hypothetical protein APUTEX25_005247 [Auxenochlorella protothecoides]
OG0000199	QAXK01013035.1_1945-4404	RMZ55605.1 hypothetical protein APUTEX25_000188_ partial [Auxenochlorella protothecoides]
OG0000199	QAXK01010173.1_3319-5256	RMZ54657.1 hypothetical protein APUTEX25_003035_ partial [Auxenochlorella protothecoides]
OG0000201	QAXK01000736.1_9467-8726	RMZ54777.1 hypothetical protein APUTEX25_000294 [Auxenochlorella protothecoides], RMZ57240.1 hypothetical protein APUTEX25_004074 [Auxenochlorella protothecoides]
OG0000207	QAXK01004998.1_5108-4093	RMZ56884.1 hypothetical protein APUTEX25_002973 [Auxenochlorella protothecoides]
OG0000207	QAXK01001786.1_12609-11430	RMZ56885.1 hypothetical protein APUTEX25_002974 [Auxenochlorella protothecoides]
OG0000215	QAXK01013809.1_3869-6090	RMZ52374.1 hypothetical protein APUTEX25_000649_ partial [Auxenochlorella protothecoides], RMZ53111.1 hypothetical protein APUTEX25_002520_ partial [Auxenochlorella protothecoides]
OG0000217	QAXK01003927.1_26651-24094	RMZ56040.1 hypothetical protein APUTEX25_004464 [Auxenochlorella protothecoides], RMZ52426.1 hypothetical protein APUTEX25_000005 [Auxenochlorella protothecoides]
OG0000222	QAXK01005046.1_1470-3041	RMZ52628.1 hypothetical protein APUTEX25_000747_ partial [Auxenochlorella protothecoides], RMZ52792.1 hypothetical protein APUTEX25_000911_ partial [Auxenochlorella protothecoides]
OG0000225	QAXK01000132.1_14211-8944	RMZ53161.1 hypothetical protein APUTEX25_005150_ partial [Auxenochlorella protothecoides]
OG0000226	QAXK01001147.1_264-2985	RMZ56002.1 hypothetical protein APUTEX25_004426 [Auxenochlorella protothecoides], RMZ53350.1 hypothetical protein APUTEX25_004838_ partial [Auxenochlorella protothecoides]
OG0000234	QAXK01001703.1_3693-800	RMZ57622.1 hypothetical protein APUTEX25_001822 [Auxenochlorella protothecoides]
OG0000234	QAXK01001715.1_46567-44103	RMZ57328.1 hypothetical protein APUTEX25_004162 [Auxenochlorella protothecoides]
OG0000243	QAXK01017572.1_4284-1659	RMZ52320.1 hypothetical protein APUTEX25_005073 [Auxenochlorella protothecoides], RMZ53256.1 hypothetical protein APUTEX25_005245 [Auxenochlorella protothecoides]
OG0000255	QAXK01003493.1_20875-19869	RMZ56797.1 hypothetical protein APUTEX25_002886_ partial [Auxenochlorella protothecoides], RMZ53756.1 hypothetical protein APUTEX25_003895 [Auxenochlorella protothecoides]
OG0000256	QAXK01000928.1_4721-1230	RMZ54009.1 hypothetical protein APUTEX25_002586_ partial [Auxenochlorella protothecoides]
OG0000260	QAXK01007811.1_6343-7669	RMZ55007.1 hypothetical protein APUTEX25_000524 [Auxenochlorella protothecoides]
OG0000262	QAXK01001305.1_3092-9737	RMZ57102.1 hypothetical protein APUTEX25_002334 [Auxenochlorella protothecoides], RMZ55345.1 hypothetical protein APUTEX25_003483 [Auxenochlorella protothecoides]
OG0000268	QAXK01007959.1_4344-7510	RMZ55826.1 hypothetical protein APUTEX25_003792 [Auxenochlorella protothecoides], RMZ57697.1 hypothetical protein APUTEX25_001897 [Auxenochlorella protothecoides]
OG0000269	QAXK01000159.1_2526-4128	RMZ55908.1 hypothetical protein APUTEX25_004332 [Auxenochlorella protothecoides], RMZ55963.1 hypothetical protein APUTEX25_004387 [Auxenochlorella protothecoides]
OG0000276	QAXK01013106.1_2869-3857	RMZ57398.1 hypothetical protein APUTEX25_004232_ partial [Auxenochlorella protothecoides]
OG0000290	QAXK01007708.1_8045-6769	RMZ57411.1 hypothetical protein APUTEX25_004245_ partial [Auxenochlorella protothecoides], RMZ52846.1 hypothetical protein APUTEX25_000965 [Auxenochlorella protothecoides]
OG0000293	QAXK01000427.1_18710-23853	RMZ52997.1 hypothetical protein APUTEX25_001116_ partial [Auxenochlorella protothecoides]
OG0000297	QAXK01003382.1_7730-10683	RMZ53301.1 hypothetical protein APUTEX25_004789 [Auxenochlorella protothecoides], RMZ56302.1 hypothetical protein APUTEX25_000541 [Auxenochlorella protothecoides]
OG0000298	QAXK01006215.1_8306-11634	RMZ53357.1 hypothetical protein APUTEX25_004845 [Auxenochlorella protothecoides], RMZ53374.1 hypothetical protein APUTEX25_004862 [Auxenochlorella protothecoides]
OG0000299	QAXK01000488.1_8485-5165	RMZ56351.1 hypothetical protein APUTEX25_004708 [Auxenochlorella protothecoides], RMZ53432.1 hypothetical protein APUTEX25_004920_ partial [Auxenochlorella protothecoides]
OG0000300	QAXK01000495.1_4618-6885	RMZ53487.1 hypothetical protein APUTEX25_003309 [Auxenochlorella protothecoides], RMZ54645.1 hypothetical protein APUTEX25_003023 [Auxenochlorella protothecoides]
OG0000301	QAXK01005324.1_4296-8149	RMZ57016.1 hypothetical protein APUTEX25_002248_ partial [Auxenochlorella protothecoides], RMZ53669.1 hypothetical protein APUTEX25_003203 [Auxenochlorella protothecoides]
OG0000302	QAXK01009146.1_0-3841	RMZ55097.1 hypothetical protein APUTEX25_005723_ partial [Auxenochlorella protothecoides], RMZ53675.1 hypothetical protein APUTEX25_003209 [Auxenochlorella protothecoides]
OG0000304	QAXK01014492.1_877-182	RMZ54339.1 hypothetical protein APUTEX25_001497 [Auxenochlorella protothecoides], RMZ53724.1 hypothetical protein APUTEX25_003258 [Auxenochlorella protothecoides], RMZ54285.1 hypothetical protein APUTEX25_001443 [Auxenochlorella protothecoides]
OG0000315	QAXK01002353.1_19232-23410	RMZ55874.1 hypothetical protein APUTEX25_003840_ partial [Auxenochlorella protothecoides], RMZ55539.1 hypothetical protein APUTEX25_000122 [Auxenochlorella protothecoides]
OG0000316	QAXK01003905.1_19782-15375	RMZ55571.1 hypothetical protein APUTEX25_000154 [Auxenochlorella protothecoides], RMZ56868.1 hypothetical protein APUTEX25_002957_ partial [Auxenochlorella protothecoides]
OG0000317	QAXK01008437.1_3645-238	RMZ55600.1 hypothetical protein APUTEX25_000183 [Auxenochlorella protothecoides], RMZ57048.1 hypothetical protein APUTEX25_002280_ partial [Auxenochlorella protothecoides]
OG0000320	QAXK01008510.1_15994-20405	RMZ55896.1 hypothetical protein APUTEX25_003862_ partial [Auxenochlorella protothecoides]
OG0000321	QAXK01000378.1_25585-26545	RMZ57699.1 hypothetical protein APUTEX25_001899 [Auxenochlorella protothecoides], RMZ55997.1 hypothetical protein APUTEX25_004421 [Auxenochlorella protothecoides]
OG0000340	QAXK01005276.1_5688-3058	RMZ54531.1 hypothetical protein APUTEX25_001703_ partial [Auxenochlorella protothecoides], RMZ52175.1 hypothetical protein APUTEX25_001565 [Auxenochlorella protothecoides]
OG0000352	QAXK01000899.1_7462-5804	RMZ53381.1 hypothetical protein APUTEX25_004869 [Auxenochlorella protothecoides]
OG0000353	QAXK01000970.1_11060-12297	RMZ53384.1 hypothetical protein APUTEX25_004872 [Auxenochlorella protothecoides]
OG0000355	QAXK01000575.1_38061-33279	RMZ53509.1 hypothetical protein APUTEX25_003331_ partial [Auxenochlorella protothecoides], RMZ54411.1 hypothetical protein APUTEX25_001987_ partial [Auxenochlorella protothecoides]
OG0000356	QAXK01001458.1_25468-28021	RMZ53540.1 hypothetical protein APUTEX25_003362 [Auxenochlorella protothecoides], RMZ55512.1 hypothetical protein APUTEX25_000095 [Auxenochlorella protothecoides]
OG0000362	QAXK01002504.1_1584-235	RMZ54367.1 hypothetical protein APUTEX25_001943 [Auxenochlorella protothecoides], RMZ55309.1 hypothetical protein APUTEX25_003447_ partial [Auxenochlorella protothecoides], RMZ57739.1 hypothetical protein APUTEX25_001715_ partial [Auxenochlorella protothecoides]
