Orthogroup	Coccomyxa_SubellipsoideaC169	Auxenochlorella_protothecoides
OG0000001	EIE22175.1 hypothetical protein COCSUDRAFT_55870 [Coccomyxa subellipsoidea C-169]	RMZ53941.1 hypothetical protein APUTEX25_004966 [Auxenochlorella protothecoides]
OG0000003	EIE23278.1 hypothetical protein COCSUDRAFT_47573 [Coccomyxa subellipsoidea C-169]	RMZ52249.1 hypothetical protein APUTEX25_001639 [Auxenochlorella protothecoides]
OG0000003	EIE24971.1 hypothetical protein COCSUDRAFT_83664 [Coccomyxa subellipsoidea C-169]	RMZ54089.1 hypothetical protein APUTEX25_002666_ partial [Auxenochlorella protothecoides]
OG0000003	EIE27713.1 hypothetical protein COCSUDRAFT_55699 [Coccomyxa subellipsoidea C-169], EIE19265.1 hypothetical protein COCSUDRAFT_58561 [Coccomyxa subellipsoidea C-169]	RMZ56204.1 hypothetical protein APUTEX25_002394 [Auxenochlorella protothecoides]
OG0000004	EIE27634.1 SBP-domain-containing protein [Coccomyxa subellipsoidea C-169]	RMZ54417.1 hypothetical protein APUTEX25_001993 [Auxenochlorella protothecoides]
OG0000007	EIE19157.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19113.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE23632.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21863.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19131.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19100.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21868.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE18782.1 putative histone H2B [Coccomyxa subellipsoidea C-169]	RMZ53786.1 hypothetical protein APUTEX25_003925 [Auxenochlorella protothecoides], RMZ55468.1 hypothetical protein APUTEX25_000051 [Auxenochlorella protothecoides], RMZ52472.1 hypothetical protein APUTEX25_003615 [Auxenochlorella protothecoides], RMZ52594.1 hypothetical protein APUTEX25_000713 [Auxenochlorella protothecoides]
OG0000008	EIE19112.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19132.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21862.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23633.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21869.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19101.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]	RMZ52519.1 hypothetical protein APUTEX25_003662 [Auxenochlorella protothecoides], RMZ55557.1 hypothetical protein APUTEX25_000140 [Auxenochlorella protothecoides], RMZ56756.1 hypothetical protein APUTEX25_002845 [Auxenochlorella protothecoides], RMZ54872.1 hypothetical protein APUTEX25_000389 [Auxenochlorella protothecoides], RMZ52774.1 hypothetical protein APUTEX25_000893 [Auxenochlorella protothecoides]
OG0000009	EIE27622.1 hypothetical protein COCSUDRAFT_39238 [Coccomyxa subellipsoidea C-169]	RMZ53398.1 hypothetical protein APUTEX25_004886 [Auxenochlorella protothecoides]
OG0000011	EIE23923.1 hypothetical protein COCSUDRAFT_62452 [Coccomyxa subellipsoidea C-169]	RMZ56599.1 hypothetical protein APUTEX25_004763_ partial [Auxenochlorella protothecoides]
OG0000013	EIE18318.1 kinase-like protein [Coccomyxa subellipsoidea C-169]	RMZ57357.1 hypothetical protein APUTEX25_004191 [Auxenochlorella protothecoides]
