Orthogroup	Chlorella_Sorokiniana1602	Scenedesmus_PABB004
OG0000002	PRW05741.1 reverse transcriptase_R [Chlorella sorokiniana]	KAF8059971.1 RE1 [Scenedesmus sp. PABB004]
OG0000002	PRW61566.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform A [Chlorella sorokiniana], PRW61567.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform B [Chlorella sorokiniana]	KAF8056151.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8064476.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8057710.1 hypothetical protein HT031_005894 [Scenedesmus sp. PABB004], KAF8055039.1 hypothetical protein HT031_006855 [Scenedesmus sp. PABB004]
OG0000002	PRW05739.1 Gag-Pol poly [Chlorella sorokiniana], PRW61569.1 Gag-Pol poly [Chlorella sorokiniana]	KAF8054533.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8072702.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8056152.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8054650.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8054775.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055044.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055043.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055041.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055042.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8059219.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8063819.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8057297.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8060630.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8071195.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8071196.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8054843.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8057708.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8061284.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8054514.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055085.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004]
OG0000003	PRW60465.1 expressed protein isoform B [Chlorella sorokiniana], PRW60464.1 expressed protein isoform A [Chlorella sorokiniana]	KAF8071037.1 hypothetical protein HT031_001119 [Scenedesmus sp. PABB004]
OG0000003	PRW61115.1 hypothetical protein C2E21_0584 [Chlorella sorokiniana], PRW59533.1 hypothetical protein C2E21_1609 [Chlorella sorokiniana]	KAF8072564.1 phosphoribosyl transferase [Scenedesmus sp. PABB004], KAF8062809.1 hypothetical protein HT031_004139 [Scenedesmus sp. PABB004], KAF8057926.1 hypothetical protein HT031_005872 [Scenedesmus sp. PABB004], KAF8057889.1 hypothetical protein HT031_005835 [Scenedesmus sp. PABB004], KAF8069512.1 ASAT1 [Scenedesmus sp. PABB004]
OG0000004	PRW50811.1 squamosa promoter binding [Chlorella sorokiniana]	KAF8073156.1 SPL3 [Scenedesmus sp. PABB004]
OG0000004	PRW20956.1 squamosa promoter-binding 8 [Chlorella sorokiniana], PRW60887.1 Squamosa promoter-binding 1 [Chlorella sorokiniana]	KAF8071247.1 SPL14 [Scenedesmus sp. PABB004], KAF8059132.1 SPL1 [Scenedesmus sp. PABB004], KAF8073215.1 SPL8 [Scenedesmus sp. PABB004], KAF8073175.1 LG1 [Scenedesmus sp. PABB004], KAF8061149.1 SPL2 [Scenedesmus sp. PABB004], KAF8061148.1 SPL1 [Scenedesmus sp. PABB004], KAF8067136.1 hypothetical protein HT031_002183 [Scenedesmus sp. PABB004]
OG0000004	PRW60923.1 squamosa promoter binding [Chlorella sorokiniana], PRW21082.1 Squamosa promoter-binding 16 [Chlorella sorokiniana]	KAF8057876.1 SPL3 [Scenedesmus sp. PABB004], KAF8057875.1 SPL3 [Scenedesmus sp. PABB004]
OG0000006	PRW57849.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57168.1 kinase [Chlorella sorokiniana], PRW32834.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW50860.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW51177.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57024.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW05806.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW39272.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW60541.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61477.1 Serine threonine- kinase CTR1 isoform A [Chlorella sorokiniana], PRW61478.1 Serine threonine- kinase CTR1 isoform B [Chlorella sorokiniana], PRW33300.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW60943.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW50839.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW44985.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33836.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33827.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58265.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61238.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33200.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57831.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57671.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57695.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW45340.1 TKL DRK kinase [Chlorella sorokiniana], PRW33991.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	KAF8069681.1 drkC [Scenedesmus sp. PABB004]
OG0000008	PRW57167.1 Histone H4 [Chlorella sorokiniana], PRW32851.1 Histone H4 [Chlorella sorokiniana], PRW32932.1 Histone H4 isoform B [Chlorella sorokiniana], PRW20318.1 Histone H4 [Chlorella sorokiniana], PRW57322.1 Histone H4 [Chlorella sorokiniana], PRW32931.1 Histone H4 isoform A [Chlorella sorokiniana], PRW33013.1 Histone H4 [Chlorella sorokiniana], PRW57296.1 Histone H4 [Chlorella sorokiniana], PRW57363.1 Histone H4 [Chlorella sorokiniana], PRW32923.1 Histone H4 [Chlorella sorokiniana], PRW33065.1 Histone H4 [Chlorella sorokiniana], PRW57495.1 Histone H4 [Chlorella sorokiniana], PRW57273.1 Histone H4 [Chlorella sorokiniana]	KAF8069669.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069673.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069657.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069678.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069686.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069659.1 Histone H4 [Scenedesmus sp. PABB004]
