Orthogroup	Chlorella_Sorokiniana1602	Chlorella_KRBP
OG0000005	PRW60758.1 putative histone H2A variant 3 [Chlorella sorokiniana], PRW32926.1 Histone H2A [Chlorella sorokiniana], PRW56969.1 Histone H2A [Chlorella sorokiniana], PRW57065.1 Histone H2A [Chlorella sorokiniana], PRW57122.1 Histone H2A [Chlorella sorokiniana], PRW32953.1 Histone H2A [Chlorella sorokiniana], PRW20373.1 Histone H2A [Chlorella sorokiniana], PRW33066.1 Histone H2A [Chlorella sorokiniana], PRW57339.1 Histone H2A [Chlorella sorokiniana], PRW57021.1 Histone H2A [Chlorella sorokiniana], PRW56948.1 Histone H2A [Chlorella sorokiniana], PRW20423.1 Histone H2A [Chlorella sorokiniana], PRW32875.1 Histone H2A [Chlorella sorokiniana], PRW50900.1 Histone H2A [Chlorella sorokiniana]	QAXK01016321.1_1655-2667
OG0000013	PRW20807.1 sulfur stress regulator [Chlorella sorokiniana], PRW33203.1 Serine threonine- kinase SAPK1 [Chlorella sorokiniana], PRW44937.1 sulfur stress regulator [Chlorella sorokiniana], PRW58909.1 sulfur stress regulator [Chlorella sorokiniana], PRW59234.1 sulfur stress regulator [Chlorella sorokiniana], PRW59170.1 sulfur stress regulator isoform A [Chlorella sorokiniana], PRW59171.1 sulfur stress regulator isoform B [Chlorella sorokiniana], PRW60419.1 serine threonine- kinase [Chlorella sorokiniana], PRW58940.1 serine threonine- kinase Nek1 isoform X5 [Chlorella sorokiniana]	QAXK01004822.1_8132-10307
OG0000049	PRW59120.1 hypothetical protein C2E21_2482 [Chlorella sorokiniana], PRW58828.1 putative ubiquitin-like-specific protease 2B isoform X1 [Chlorella sorokiniana], PRW55925.1 translation initiation factor fusion with methylthioribose kinase [Chlorella sorokiniana]	QAXK01004561.1_5673-2644
OG0000059	PRW21133.1 putative GTP-binding -like isoform B [Chlorella sorokiniana], PRW21134.1 putative GTP-binding -like isoform A [Chlorella sorokiniana], PRW59349.1 cobalamin biosynthesis [Chlorella sorokiniana], PRW58648.1 cobalamin biosynthesis [Chlorella sorokiniana], PRW32945.1 zinc metalloprotease [Chlorella sorokiniana]	QAXK01009817.1_2794-231
OG0000060	PRW58431.1 LOV domain-containing [Chlorella sorokiniana], PRW20982.1 LOV domain-containing isoform B [Chlorella sorokiniana], PRW20983.1 LOV domain-containing isoform A [Chlorella sorokiniana]	QAXK01006650.1_4897-1380
OG0000095	PRW59313.1 U3 small nucleolar RNA-associated 25 [Chlorella sorokiniana], PRW44628.1 carotene isomerase [Chlorella sorokiniana], PRW44291.1 ABC transporter A family member 7-like isoform B [Chlorella sorokiniana], PRW44290.1 ABC transporter A family member 7-like isoform C [Chlorella sorokiniana]	QAXK01000980.1_6477-3589
OG0000100	PRW61091.1 TOC75- chloroplastic [Chlorella sorokiniana], PRW61294.1 ru large subunit-binding subunit alpha [Chlorella sorokiniana], PRW61354.1 ru large subunit-binding subunit chloroplastic isoform A [Chlorella sorokiniana], PRW61355.1 ru large subunit-binding subunit chloroplastic isoform B [Chlorella sorokiniana]	QAXK01004495.1_1525-5952
OG0000102	PRW56489.1 ferredoxin-dependent glutamate synthase isoform A [Chlorella sorokiniana], PRW56490.1 ferredoxin-dependent glutamate synthase isoform B [Chlorella sorokiniana], PRW60858.1 glutamate synthase 1 [NADH] chloroplastic isoform X1 [Chlorella sorokiniana]	QAXK01002229.1_29280-27595
OG0000106	PRW60803.1 Squalene synthase isoform A [Chlorella sorokiniana], PRW60802.1 Squalene synthase isoform B [Chlorella sorokiniana], PRW57248.1 galactose mutarotase [Chlorella sorokiniana], PRW56102.1 Aldose 1-epimerase [Chlorella sorokiniana]	QAXK01000521.1_8215-4849
OG0000116	PRW57228.1 chloroplast precursor [Chlorella sorokiniana], PRW20534.1 chloroplast ferredoxin [Chlorella sorokiniana], PRW58415.1 leaf L-A-like [Chlorella sorokiniana], PRW33753.1 Ferredoxin [Chlorella sorokiniana]	QAXK01010643.1_4647-4102
