Orthogroup	Scenedesmus_NREL	Chlorella_Sorokiniana1602
OG0000001	KAF6265258.1 hypothetical protein COO60DRAFT_1623924_ partial [Scenedesmus sp. NREL 46B-D3]	PRW33016.1 CSE family protein [Chlorella sorokiniana], PRW32527.1 Acetylornithine chloroplastic mitochondrial [Chlorella sorokiniana]
OG0000002	KAF6258605.1 hypothetical protein COO60DRAFT_1639043 [Scenedesmus sp. NREL 46B-D3], KAF6257144.1 flagellar associated protein [Scenedesmus sp. NREL 46B-D3]	PRW05741.1 reverse transcriptase_R [Chlorella sorokiniana]
OG0000003	KAF6261474.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6265839.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3]	PRW60465.1 expressed protein isoform B [Chlorella sorokiniana], PRW60464.1 expressed protein isoform A [Chlorella sorokiniana]
OG0000003	KAF6263597.1 SGNH hydrolase-type esterase domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266240.1 hypothetical protein COO60DRAFT_1632898 [Scenedesmus sp. NREL 46B-D3], KAF6248448.1 hypothetical protein COO60DRAFT_1648906 [Scenedesmus sp. NREL 46B-D3]	PRW61115.1 hypothetical protein C2E21_0584 [Chlorella sorokiniana], PRW59533.1 hypothetical protein C2E21_1609 [Chlorella sorokiniana]
OG0000003	KAF6263598.1 phosphoribosyltransferase-like protein [Scenedesmus sp. NREL 46B-D3]	PRW51158.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana], PRW51157.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana], PRW39142.1 hypothetical protein C2E21_7125 [Chlorella sorokiniana], PRW59695.1 hypothetical protein C2E21_1633 [Chlorella sorokiniana], PRW60753.1 Zn2+-binding dehydrogenase [Chlorella sorokiniana], PRW50906.1 hypothetical protein C2E21_5437 [Chlorella sorokiniana], PRW45267.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW45268.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW60261.1 Acyl-coenzyme A thioesterase THEM4 [Chlorella sorokiniana], PRW56718.1 hypothetical protein C2E21_4783 [Chlorella sorokiniana], PRW56397.1 hypothetical protein C2E21_4782 [Chlorella sorokiniana], PRW58582.1 hypothetical protein C2E21_3184 [Chlorella sorokiniana], PRW60976.1 hypothetical protein C2E21_0414 [Chlorella sorokiniana]
OG0000004	KAF6260400.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW50811.1 squamosa promoter binding [Chlorella sorokiniana]
OG0000004	KAF6264844.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW45379.1 squamosa promoter-binding 7 isoform X2 [Chlorella sorokiniana], PRW45644.1 squamosa promoter-binding 12 [Chlorella sorokiniana], PRW55998.1 squamosa promoter-binding 9 [Chlorella sorokiniana]
OG0000004	KAF6251709.1 hypothetical protein COO60DRAFT_1644723 [Scenedesmus sp. NREL 46B-D3], KAF6262143.1 hypothetical protein COO60DRAFT_675428 [Scenedesmus sp. NREL 46B-D3], KAF6263211.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6259815.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250952.1 hypothetical protein COO60DRAFT_706206 [Scenedesmus sp. NREL 46B-D3]	PRW20956.1 squamosa promoter-binding 8 [Chlorella sorokiniana], PRW60887.1 Squamosa promoter-binding 1 [Chlorella sorokiniana]
OG0000006	KAF6263287.1 kinase-like domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3], KAF6253127.1 hypothetical protein COO60DRAFT_1463350 [Scenedesmus sp. NREL 46B-D3]	PRW57849.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57168.1 kinase [Chlorella sorokiniana], PRW32834.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW50860.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW51177.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57024.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW05806.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW39272.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW60541.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61477.1 Serine threonine- kinase CTR1 isoform A [Chlorella sorokiniana], PRW61478.1 Serine threonine- kinase CTR1 isoform B [Chlorella sorokiniana], PRW33300.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW60943.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW50839.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW44985.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33836.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33827.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58265.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61238.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33200.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57831.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57671.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57695.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW45340.1 TKL DRK kinase [Chlorella sorokiniana], PRW33991.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000007	KAF6252075.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6248398.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6252085.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253507.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253137.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253540.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6253534.1 histone H2B type 1-C/E/F/G/I-like protein [Scenedesmus sp. NREL 46B-D3], KAF6240836.1 histone H2B [Scenedesmus sp. NREL 46B-D3], KAF6266598.1 putative histone [Scenedesmus sp. NREL 46B-D3]	PRW60378.1 histone H2B [Chlorella sorokiniana], PRW32979.1 Histone [Chlorella sorokiniana], PRW56968.1 Histone [Chlorella sorokiniana], PRW33072.1 Histone [Chlorella sorokiniana], PRW57308.1 Histone [Chlorella sorokiniana], PRW20324.1 Histone [Chlorella sorokiniana], PRW56937.1 Histone isoform A [Chlorella sorokiniana], PRW57408.1 Histone [Chlorella sorokiniana], PRW56936.1 Histone isoform B [Chlorella sorokiniana], PRW32997.1 Histone [Chlorella sorokiniana], PRW33046.1 Histone [Chlorella sorokiniana], PRW33081.1 Histone [Chlorella sorokiniana], PRW57429.1 Histone [Chlorella sorokiniana], PRW57107.1 Histone [Chlorella sorokiniana]
OG0000008	KAF6253689.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253539.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252081.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252086.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248397.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253533.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6248395.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6252074.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6253506.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW57167.1 Histone H4 [Chlorella sorokiniana], PRW32851.1 Histone H4 [Chlorella sorokiniana], PRW32932.1 Histone H4 isoform B [Chlorella sorokiniana], PRW20318.1 Histone H4 [Chlorella sorokiniana], PRW57322.1 Histone H4 [Chlorella sorokiniana], PRW32931.1 Histone H4 isoform A [Chlorella sorokiniana], PRW33013.1 Histone H4 [Chlorella sorokiniana], PRW57296.1 Histone H4 [Chlorella sorokiniana], PRW57363.1 Histone H4 [Chlorella sorokiniana], PRW32923.1 Histone H4 [Chlorella sorokiniana], PRW33065.1 Histone H4 [Chlorella sorokiniana], PRW57495.1 Histone H4 [Chlorella sorokiniana], PRW57273.1 Histone H4 [Chlorella sorokiniana]
OG0000009	KAF6250026.1 hypothetical protein COO60DRAFT_912941 [Scenedesmus sp. NREL 46B-D3], KAF6242295.1 hypothetical protein COO60DRAFT_206430 [Scenedesmus sp. NREL 46B-D3]	PRW32927.1 peritrophic membrane chitin binding [Chlorella sorokiniana]
OG0000011	KAF6265892.1 hypothetical protein COO60DRAFT_768059 [Scenedesmus sp. NREL 46B-D3], KAF6265889.1 hypothetical protein COO60DRAFT_1697568 [Scenedesmus sp. NREL 46B-D3], KAF6258193.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263888.1 hypothetical protein COO60DRAFT_308005 [Scenedesmus sp. NREL 46B-D3], KAF6255294.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255835.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266356.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6265430.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW56437.1 kinase [Chlorella sorokiniana], PRW55899.1 kinase [Chlorella sorokiniana], PRW59693.1 kinase [Chlorella sorokiniana]
OG0000011	KAF6260297.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263742.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263821.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6262439.1 hypothetical protein COO60DRAFT_627220 [Scenedesmus sp. NREL 46B-D3], KAF6262437.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6237056.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256414.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW61362.1 laminin subunit alpha-2 isoform E [Chlorella sorokiniana]
OG0000012	KAF6251374.1 histone H3.1-like protein [Scenedesmus sp. NREL 46B-D3]	PRW32911.1 histone H3 [Chlorella sorokiniana]
OG0000013	KAF6263511.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6263514.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250539.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6257324.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6255583.1 Snf1-like ser/thr protein kinase [Scenedesmus sp. NREL 46B-D3]	PRW20807.1 sulfur stress regulator [Chlorella sorokiniana], PRW33203.1 Serine threonine- kinase SAPK1 [Chlorella sorokiniana], PRW44937.1 sulfur stress regulator [Chlorella sorokiniana]
OG0000013	KAF6258910.1 Snf1-like protein kinase [Scenedesmus sp. NREL 46B-D3]	PRW58909.1 sulfur stress regulator [Chlorella sorokiniana]
OG0000013	KAF6262199.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6256418.1 kinase-like domain-containing protein [Scenedesmus sp. NREL 46B-D3]	PRW60419.1 serine threonine- kinase [Chlorella sorokiniana]
