Orthogroup	Chlorella_Vulgaris2111P	Chlorella_VariabilisNC64A
OG0000000	KAI3432207.1 hypothetical protein D9Q98_003769_ partial [Chlorella vulgaris], KAI3427282.1 hypothetical protein D9Q98_007214 [Chlorella vulgaris]	XP_005844990.1 hypothetical protein CHLNCDRAFT_138413 [Chlorella variabilis]
OG0000000	KAI3432927.1 hypothetical protein D9Q98_010503 [Chlorella vulgaris], KAI3432941.1 hypothetical protein D9Q98_010517 [Chlorella vulgaris], KAI3427295.1 hypothetical protein D9Q98_007226 [Chlorella vulgaris], KAI3427289.1 hypothetical protein D9Q98_007220 [Chlorella vulgaris], KAI3432910.1 hypothetical protein D9Q98_010491 [Chlorella vulgaris], KAI3430953.1 hypothetical protein D9Q98_009360 [Chlorella vulgaris], KAI3432902.1 hypothetical protein D9Q98_010484 [Chlorella vulgaris], KAI3430930.1 hypothetical protein D9Q98_009339 [Chlorella vulgaris], KAI3430955.1 hypothetical protein D9Q98_009362 [Chlorella vulgaris], KAI3438360.1 hypothetical protein D9Q98_000792 [Chlorella vulgaris], KAI3435613.1 hypothetical protein D9Q98_001675 [Chlorella vulgaris], KAI3430945.1 hypothetical protein D9Q98_009353 [Chlorella vulgaris], KAI3433278.1 hypothetical protein D9Q98_003097 [Chlorella vulgaris], KAI3428394.1 hypothetical protein D9Q98_006773 [Chlorella vulgaris], KAI3433273.1 hypothetical protein D9Q98_003094 [Chlorella vulgaris], KAI3434585.1 hypothetical protein D9Q98_002654 [Chlorella vulgaris], KAI3434586.1 hypothetical protein D9Q98_002655 [Chlorella vulgaris], KAI3432918.1 hypothetical protein D9Q98_010495 [Chlorella vulgaris], KAI3423399.1 hypothetical protein D9Q98_010656 [Chlorella vulgaris], KAI3423398.1 hypothetical protein D9Q98_010655 [Chlorella vulgaris], KAI3425107.1 hypothetical protein D9Q98_008881 [Chlorella vulgaris], KAI3428398.1 hypothetical protein D9Q98_006777 [Chlorella vulgaris], KAI3428849.1 hypothetical protein D9Q98_007665 [Chlorella vulgaris], KAI3428396.1 hypothetical protein D9Q98_006775 [Chlorella vulgaris], KAI3423135.1 hypothetical protein D9Q98_010690 [Chlorella vulgaris], KAI3427284.1 hypothetical protein D9Q98_007216 [Chlorella vulgaris], KAI3427290.1 hypothetical protein D9Q98_007221 [Chlorella vulgaris], KAI3432937.1 hypothetical protein D9Q98_010513 [Chlorella vulgaris], KAI3428386.1 hypothetical protein D9Q98_006766 [Chlorella vulgaris], KAI3435610.1 hypothetical protein D9Q98_001672 [Chlorella vulgaris], KAI3435611.1 hypothetical protein D9Q98_001673 [Chlorella vulgaris], KAI3438343.1 hypothetical protein D9Q98_000776 [Chlorella vulgaris], KAI3429717.1 hypothetical protein D9Q98_005802 [Chlorella vulgaris], KAI3423712.1 hypothetical protein D9Q98_010680 [Chlorella vulgaris], KAI3432913.1 hypothetical protein D9Q98_010493 [Chlorella vulgaris], KAI3432922.1 hypothetical protein D9Q98_010498 [Chlorella vulgaris], KAI3430962.1 hypothetical protein D9Q98_009368 [Chlorella vulgaris], KAI3430963.1 hypothetical protein D9Q98_009368_ partial [Chlorella vulgaris], KAI3432924.1 hypothetical protein D9Q98_010500 [Chlorella vulgaris], KAI3424487.1 hypothetical protein D9Q98_010034 [Chlorella vulgaris], KAI3424486.1 hypothetical protein D9Q98_010034 [Chlorella vulgaris], KAI3424482.1 hypothetical protein D9Q98_010031 [Chlorella vulgaris], KAI3423542.1 hypothetical protein D9Q98_010672 [Chlorella vulgaris], KAI3430931.1 hypothetical protein D9Q98_009339 [Chlorella vulgaris], KAI3423292.1 hypothetical protein D9Q98_010688 [Chlorella vulgaris], KAI3430948.1 hypothetical protein D9Q98_009356 [Chlorella vulgaris], KAI3430950.1 hypothetical protein D9Q98_009357 [Chlorella vulgaris], KAI3428387.1 hypothetical protein D9Q98_006767 [Chlorella vulgaris], KAI3425116.1 hypothetical protein D9Q98_008888 [Chlorella vulgaris], KAI3428402.1 hypothetical protein D9Q98_006780 [Chlorella vulgaris], KAI3430951.1 hypothetical protein D9Q98_009358 [Chlorella vulgaris], KAI3432934.1 hypothetical protein D9Q98_010510 [Chlorella vulgaris], KAI3432898.1 hypothetical protein D9Q98_010480 [Chlorella vulgaris], KAI3430939.1 hypothetical protein D9Q98_009347 [Chlorella vulgaris], KAI3426513.1 hypothetical protein D9Q98_008878 [Chlorella vulgaris], KAI3427449.1 hypothetical protein D9Q98_010363 [Chlorella vulgaris], KAI3423397.1 hypothetical protein D9Q98_010654_ partial [Chlorella vulgaris], KAI3425108.1 hypothetical protein D9Q98_008882 [Chlorella vulgaris], KAI3423191.1 hypothetical protein D9Q98_010663 [Chlorella vulgaris], KAI3430968.1 hypothetical protein D9Q98_009373 [Chlorella vulgaris], KAI3423289.1 hypothetical protein D9Q98_010701 [Chlorella vulgaris], KAI3427297.1 hypothetical protein D9Q98_007228 [Chlorella vulgaris], KAI3425111.1 hypothetical protein D9Q98_008885 [Chlorella vulgaris], KAI3423189.1 hypothetical protein D9Q98_010661 [Chlorella vulgaris], KAI3424480.1 hypothetical protein D9Q98_010029 [Chlorella vulgaris], KAI3424483.1 hypothetical protein D9Q98_010032 [Chlorella vulgaris], KAI3423132.1 hypothetical protein D9Q98_010699 [Chlorella vulgaris], KAI3428391.1 hypothetical protein D9Q98_006771 [Chlorella vulgaris], KAI3424484.1 hypothetical protein D9Q98_010032 [Chlorella vulgaris], KAI3432921.1 hypothetical protein D9Q98_010497 [Chlorella vulgaris], KAI3432919.1 hypothetical protein D9Q98_010495 [Chlorella vulgaris], KAI3432912.1 hypothetical protein D9Q98_010492 [Chlorella vulgaris], KAI3432917.1 hypothetical protein D9Q98_010494 [Chlorella vulgaris], KAI3434584.1 hypothetical protein D9Q98_002653 [Chlorella vulgaris], KAI3430909.1 hypothetical protein D9Q98_009318 [Chlorella vulgaris], KAI3433275.1 hypothetical protein D9Q98_003096 [Chlorella vulgaris], KAI3438353.1 hypothetical protein D9Q98_000785 [Chlorella vulgaris], KAI3433279.1 hypothetical protein D9Q98_003098 [Chlorella vulgaris], KAI3432907.1 hypothetical protein D9Q98_010488 [Chlorella vulgaris], KAI3434588.1 hypothetical protein D9Q98_002657 [Chlorella vulgaris], KAI3423711.1 hypothetical protein D9Q98_010679_ partial [Chlorella vulgaris], KAI3423538.1 hypothetical protein D9Q98_010669 [Chlorella vulgaris], KAI3423537.1 hypothetical protein D9Q98_010669 [Chlorella vulgaris], KAI3430923.1 hypothetical protein D9Q98_009332 [Chlorella vulgaris], KAI3430917.1 hypothetical protein D9Q98_009326 [Chlorella vulgaris], KAI3433272.1 hypothetical protein D9Q98_003093 [Chlorella vulgaris], KAI3430946.1 hypothetical protein D9Q98_009354 [Chlorella vulgaris], KAI3430926.1 hypothetical protein D9Q98_009335 [Chlorella vulgaris], KAI3430920.1 hypothetical protein D9Q98_009329 [Chlorella vulgaris], KAI3425110.1 hypothetical protein D9Q98_008884 [Chlorella vulgaris], KAI3425109.1 hypothetical protein D9Q98_008883 [Chlorella vulgaris], KAI3435609.1 hypothetical protein D9Q98_001671 [Chlorella vulgaris], KAI3425113.1 hypothetical protein D9Q98_008887 [Chlorella vulgaris], KAI3432896.1 hypothetical protein D9Q98_010478 [Chlorella vulgaris], KAI3425115.1 hypothetical protein D9Q98_008887 [Chlorella vulgaris], KAI3432904.1 hypothetical protein D9Q98_010485 [Chlorella vulgaris], KAI3430911.1 hypothetical protein D9Q98_009320 [Chlorella vulgaris]	XP_005844991.1 hypothetical protein CHLNCDRAFT_138418 [Chlorella variabilis]
OG0000000	KAI3425104.1 hypothetical protein D9Q98_008482 [Chlorella vulgaris], KAI3423536.1 hypothetical protein D9Q98_010668 [Chlorella vulgaris], KAI3433277.1 hypothetical protein D9Q98_003096 [Chlorella vulgaris], KAI3434589.1 hypothetical protein D9Q98_002658 [Chlorella vulgaris], KAI3438356.1 hypothetical protein D9Q98_000788 [Chlorella vulgaris], KAI3427285.1 hypothetical protein D9Q98_007216 [Chlorella vulgaris], KAI3438366.1 hypothetical protein D9Q98_000798 [Chlorella vulgaris], KAI3433283.1 hypothetical protein D9Q98_003102 [Chlorella vulgaris], KAI3430958.1 hypothetical protein D9Q98_009365 [Chlorella vulgaris], KAI3438344.1 hypothetical protein D9Q98_000777 [Chlorella vulgaris], KAI3430944.1 hypothetical protein D9Q98_009352 [Chlorella vulgaris], KAI3430956.1 hypothetical protein D9Q98_009363 [Chlorella vulgaris], KAI3426514.1 hypothetical protein D9Q98_008879 [Chlorella vulgaris], KAI3424488.1 hypothetical protein D9Q98_010034 [Chlorella vulgaris], KAI3438371.1 hypothetical protein D9Q98_000803 [Chlorella vulgaris], KAI3428845.1 hypothetical protein D9Q98_007662 [Chlorella vulgaris], KAI3428851.1 hypothetical protein D9Q98_007667 [Chlorella vulgaris], KAI3430938.1 hypothetical protein D9Q98_009346 [Chlorella vulgaris], KAI3430914.1 hypothetical protein D9Q98_009323 [Chlorella vulgaris], KAI3432931.1 hypothetical protein D9Q98_010507 [Chlorella vulgaris], KAI3423133.1 hypothetical protein D9Q98_010700 [Chlorella vulgaris], KAI3430942.1 hypothetical protein D9Q98_009350 [Chlorella vulgaris], KAI3427447.1 hypothetical protein D9Q98_010361 [Chlorella vulgaris], KAI3428846.1 hypothetical protein D9Q98_007662 [Chlorella vulgaris], KAI3434587.1 hypothetical protein D9Q98_002656 [Chlorella vulgaris], KAI3438369.1 hypothetical protein D9Q98_000801 [Chlorella vulgaris], KAI3432925.1 hypothetical protein D9Q98_010501 [Chlorella vulgaris], KAI3428395.1 hypothetical protein D9Q98_006774 [Chlorella vulgaris], KAI3428389.1 hypothetical protein D9Q98_006769 [Chlorella vulgaris], KAI3428390.1 hypothetical protein D9Q98_006770 [Chlorella vulgaris], KAI3428397.1 hypothetical protein D9Q98_006776 [Chlorella vulgaris], KAI3423192.1 hypothetical protein D9Q98_010664 [Chlorella vulgaris], KAI3432911.1 hypothetical protein D9Q98_010492 [Chlorella vulgaris], KAI3423401.1 hypothetical protein D9Q98_010658 [Chlorella vulgaris], KAI3432916.1 hypothetical protein D9Q98_010494 [Chlorella vulgaris], KAI3438348.1 hypothetical protein D9Q98_000780 [Chlorella vulgaris], KAI3430965.1 hypothetical protein D9Q98_009370 [Chlorella vulgaris], KAI3432942.1 hypothetical protein D9Q98_010518 [Chlorella vulgaris], KAI3435607.1 hypothetical protein D9Q98_001670 [Chlorella vulgaris], KAI3435608.1 hypothetical protein D9Q98_001670 [Chlorella vulgaris], KAI3432928.1 hypothetical protein D9Q98_010504 [Chlorella vulgaris], KAI3432935.1 hypothetical protein D9Q98_010511 [Chlorella vulgaris], KAI3432900.1 hypothetical protein D9Q98_010482 [Chlorella vulgaris], KAI3432899.1 hypothetical protein D9Q98_010481 [Chlorella vulgaris], KAI3428843.1 hypothetical protein D9Q98_007660 [Chlorella vulgaris], KAI3425105.1 hypothetical protein D9Q98_008483 [Chlorella vulgaris], KAI3423402.1 hypothetical protein D9Q98_010659 [Chlorella vulgaris], KAI3430912.1 hypothetical protein D9Q98_009321 [Chlorella vulgaris], KAI3432903.1 hypothetical protein D9Q98_010485 [Chlorella vulgaris], KAI3438368.1 hypothetical protein D9Q98_000800 [Chlorella vulgaris], KAI3428392.1 hypothetical protein D9Q98_006771 [Chlorella vulgaris], KAI3430927.1 hypothetical protein D9Q98_009336 [Chlorella vulgaris], KAI3432938.1 hypothetical protein D9Q98_010514 [Chlorella vulgaris], KAI3428848.1 hypothetical protein D9Q98_007664 [Chlorella vulgaris], KAI3424479.1 hypothetical protein D9Q98_010029 [Chlorella vulgaris], KAI3432923.1 hypothetical protein D9Q98_010499 [Chlorella vulgaris], KAI3428847.1 hypothetical protein D9Q98_007663 [Chlorella vulgaris], KAI3428852.1 hypothetical protein D9Q98_007668 [Chlorella vulgaris], KAI3432945.1 hypothetical protein D9Q98_010521 [Chlorella vulgaris], KAI3432908.1 hypothetical protein D9Q98_010489 [Chlorella vulgaris], KAI3432895.1 hypothetical protein D9Q98_010477 [Chlorella vulgaris], KAI3432915.1 hypothetical protein D9Q98_010493 [Chlorella vulgaris], KAI3430964.1 hypothetical protein D9Q98_009369 [Chlorella vulgaris], KAI3438350.1 hypothetical protein D9Q98_000782 [Chlorella vulgaris]	XP_005843530.1 hypothetical protein CHLNCDRAFT_140127 [Chlorella variabilis]
OG0000001	KAI3426450.1 hypothetical protein D9Q98_008817 [Chlorella vulgaris], KAI3423840.1 hypothetical protein D9Q98_009676 [Chlorella vulgaris]	XP_005847914.1 hypothetical protein CHLNCDRAFT_145316 [Chlorella variabilis]
OG0000002	KAI3438351.1 hypothetical protein D9Q98_000783 [Chlorella vulgaris]	XP_005848796.1 hypothetical protein CHLNCDRAFT_51454 [Chlorella variabilis], XP_005848587.1 hypothetical protein CHLNCDRAFT_145176 [Chlorella variabilis]
OG0000003	KAI3424123.1 hypothetical protein D9Q98_009484 [Chlorella vulgaris]	XP_005845559.1 hypothetical protein CHLNCDRAFT_136719 [Chlorella variabilis]
OG0000003	KAI3436441.1 hypothetical protein D9Q98_005858 [Chlorella vulgaris]	XP_005850750.1 hypothetical protein CHLNCDRAFT_140901 [Chlorella variabilis]
OG0000003	KAI3424212.1 hypothetical protein D9Q98_009568 [Chlorella vulgaris]	XP_005845697.1 expressed protein [Chlorella variabilis]
OG0000003	KAI3426970.1 hypothetical protein D9Q98_006914 [Chlorella vulgaris]	XP_005848945.1 hypothetical protein CHLNCDRAFT_144427 [Chlorella variabilis]
OG0000003	KAI3437643.1 hypothetical protein D9Q98_000094 [Chlorella vulgaris]	XP_005847999.1 expressed protein [Chlorella variabilis], XP_005847434.1 hypothetical protein CHLNCDRAFT_134328 [Chlorella variabilis], XP_005847441.1 hypothetical protein CHLNCDRAFT_134345 [Chlorella variabilis]
