Orthogroup	Scenedesmus_PABB004	Chlorella_A99
OG0000002	KAF8059971.1 RE1 [Scenedesmus sp. PABB004]	PCFQ01000029.1 g2733 [Chlorella sp. A99]
OG0000002	KAF8056151.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8064476.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8057710.1 hypothetical protein HT031_005894 [Scenedesmus sp. PABB004], KAF8055039.1 hypothetical protein HT031_006855 [Scenedesmus sp. PABB004]	PCFQ01000005.1 g859 [Chlorella sp. A99]
OG0000004	KAF8073156.1 SPL3 [Scenedesmus sp. PABB004], KAF8071295.1 SPL5 [Scenedesmus sp. PABB004], KAF8071247.1 SPL14 [Scenedesmus sp. PABB004], KAF8059132.1 SPL1 [Scenedesmus sp. PABB004], KAF8073215.1 SPL8 [Scenedesmus sp. PABB004], KAF8073175.1 LG1 [Scenedesmus sp. PABB004], KAF8061149.1 SPL2 [Scenedesmus sp. PABB004], KAF8061148.1 SPL1 [Scenedesmus sp. PABB004], KAF8067136.1 hypothetical protein HT031_002183 [Scenedesmus sp. PABB004], KAF8055591.1 SPL7 [Scenedesmus sp. PABB004], KAF8057876.1 SPL3 [Scenedesmus sp. PABB004], KAF8057875.1 SPL3 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1475 [Chlorella sp. A99]
OG0000005	KAF8069675.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069689.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069662.1 Histone H2A-IV [Scenedesmus sp. PABB004]	PCFQ01000001.1 g977 [Chlorella sp. A99]
OG0000006	KAF8069681.1 drkC [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1425 [Chlorella sp. A99], PCFQ01000009.1 g1704 [Chlorella sp. A99], PCFQ01000002.1 g693 [Chlorella sp. A99], PCFQ01000015.1 g3051 [Chlorella sp. A99], PCFQ01000020.1 g891 [Chlorella sp. A99], PCFQ01000008.1 g1169 [Chlorella sp. A99], PCFQ01000082.1 g563 [Chlorella sp. A99]
OG0000008	KAF8069669.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069673.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069657.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069678.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069686.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069659.1 Histone H4 [Scenedesmus sp. PABB004]	PCFQ01000015.1 g2986 [Chlorella sp. A99], PCFQ01000082.1 g615 [Chlorella sp. A99], PCFQ01000015.1 g3004 [Chlorella sp. A99], PCFQ01000082.1 g610 [Chlorella sp. A99], PCFQ01000015.1 g3013 [Chlorella sp. A99], PCFQ01000015.1 g3026 [Chlorella sp. A99], PCFQ01000015.1 g2978 [Chlorella sp. A99], PCFQ01000015.1 g3019 [Chlorella sp. A99], PCFQ01000015.1 g3022 [Chlorella sp. A99], PCFQ01000015.1 g3016 [Chlorella sp. A99]
OG0000011	KAF8066337.1 Map3k12 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1466 [Chlorella sp. A99]
OG0000012	KAF8069674.1 histone H3 [Scenedesmus sp. PABB004]	PCFQ01000023.1 g2231 [Chlorella sp. A99], PCFQ01000015.1 g3020 [Chlorella sp. A99], PCFQ01000015.1 g3003 [Chlorella sp. A99], PCFQ01000015.1 g3015 [Chlorella sp. A99], PCFQ01000015.1 g3027 [Chlorella sp. A99], PCFQ01000082.1 g616 [Chlorella sp. A99], PCFQ01000082.1 g609 [Chlorella sp. A99], PCFQ01000015.1 g2996 [Chlorella sp. A99]
OG0000013	KAF8069392.1 SRK2A [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2688 [Chlorella sp. A99]
OG0000014	KAF8070918.1 PCKR1 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2026 [Chlorella sp. A99]
OG0000014	KAF8061127.1 CYP20-1 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g245 [Chlorella sp. A99]
OG0000014	KAF8055596.1 peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. PABB004]	PCFQ01000046.1 g1865 [Chlorella sp. A99]
OG0000016	KAF8073145.1 NDT1 [Scenedesmus sp. PABB004]	PCFQ01000005.1 g825 [Chlorella sp. A99]
OG0000016	KAF8061910.1 RUB1 [Scenedesmus sp. PABB004]	PCFQ01000006.1 g3104 [Chlorella sp. A99]
OG0000016	KAF8056382.1 UBI3 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2796 [Chlorella sp. A99]
OG0000018	KAF8067115.1 MYB98 [Scenedesmus sp. PABB004]	PCFQ01000008.1 g1163 [Chlorella sp. A99]
OG0000018	KAF8056861.1 MYB44 [Scenedesmus sp. PABB004], KAF8058933.1 MYB73 [Scenedesmus sp. PABB004]	PCFQ01000077.1 g1778 [Chlorella sp. A99]
OG0000023	KAF8058078.1 zinc finger CCCH domain-containing protein 2 [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2484 [Chlorella sp. A99]
OG0000024	KAF8059396.1 subtilisin-like protein [Scenedesmus sp. PABB004], KAF8056848.1 Thermophilic serine proteinase [Scenedesmus sp. PABB004]	PCFQ01000082.1 g566 [Chlorella sp. A99], PCFQ01000058.1 g150 [Chlorella sp. A99], PCFQ01000010.1 g357 [Chlorella sp. A99], PCFQ01000010.1 g359 [Chlorella sp. A99], PCFQ01000007.1 g1217 [Chlorella sp. A99]
OG0000026	KAF8061965.1 hypothetical protein HT031_004225 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g54 [Chlorella sp. A99]
OG0000029	KAF8069379.1 EXPA2 [Scenedesmus sp. PABB004]	PCFQ01000020.1 g911 [Chlorella sp. A99]
OG0000031	KAF8072732.1 Cyp3a9 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g100 [Chlorella sp. A99]
OG0000035	KAF8070895.1 hypothetical protein HT031_000976 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2024 [Chlorella sp. A99]
OG0000036	KAF8072834.1 TRZ1 [Scenedesmus sp. PABB004], KAF8059664.1 Map3k11 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2010 [Chlorella sp. A99], PCFQ01000010.1 g311 [Chlorella sp. A99], PCFQ01000082.1 g538 [Chlorella sp. A99]
OG0000037	KAF8062790.1 RCABP89 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2858 [Chlorella sp. A99]
OG0000039	KAF8066381.1 hif1an [Scenedesmus sp. PABB004], KAF8072832.1 hypothetical protein HT031_000492 [Scenedesmus sp. PABB004]	PCFQ01000078.1 g2164 [Chlorella sp. A99], PCFQ01000002.1 g694 [Chlorella sp. A99]
OG0000042	KAF8065474.1 pho-4 [Scenedesmus sp. PABB004], KAF8066209.1 pho-4 [Scenedesmus sp. PABB004], KAF8059159.1 PHO89 [Scenedesmus sp. PABB004], KAF8062088.1 pho-4 [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2664 [Chlorella sp. A99]
OG0000043	KAF8065606.1 infC [Scenedesmus sp. PABB004]	PCFQ01000037.1 g2394 [Chlorella sp. A99]
OG0000043	KAF8057148.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062772.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062771.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062770.1 Alpha-glucosidase [Scenedesmus sp. PABB004], KAF8062769.1 alpha-glucosidase [Scenedesmus sp. PABB004], KAF8061064.1 alpha-glucosidase [Scenedesmus sp. PABB004]	PCFQ01000020.1 g910 [Chlorella sp. A99]
OG0000049	KAF8058952.1 MTK1 [Scenedesmus sp. PABB004], KAF8055466.1 methylthioribose-1-phosphate isomerase [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2855 [Chlorella sp. A99]
OG0000050	KAF8057910.1 hypothetical protein HT031_005856 [Scenedesmus sp. PABB004], KAF8069493.1 hypothetical protein HT031_001609 [Scenedesmus sp. PABB004]	PCFQ01000005.1 g823 [Chlorella sp. A99]
OG0000051	KAF8060322.1 DTX16 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1472 [Chlorella sp. A99]
OG0000052	KAF8057270.1 hypothetical protein HT031_006078 [Scenedesmus sp. PABB004], KAF8072531.1 hypothetical protein HT031_000191 [Scenedesmus sp. PABB004], KAF8065866.1 hypothetical protein HT031_002926 [Scenedesmus sp. PABB004], KAF8056142.1 hypothetical protein HT031_006493 [Scenedesmus sp. PABB004], KAF8064531.1 Galns [Scenedesmus sp. PABB004], KAF8058413.1 hypothetical protein HT031_005537 [Scenedesmus sp. PABB004], KAF8065865.1 hypothetical protein HT031_002925 [Scenedesmus sp. PABB004], KAF8066216.1 MRL1 [Scenedesmus sp. PABB004], KAF8062975.1 REIL1 [Scenedesmus sp. PABB004]	PCFQ01000080.1 g1947 [Chlorella sp. A99]
OG0000055	KAF8072999.1 pentatricopeptide repeat-containing protein [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2784 [Chlorella sp. A99], PCFQ01000002.1 g663 [Chlorella sp. A99]
OG0000059	KAF8062708.1 hypothetical protein HT031_004037 [Scenedesmus sp. PABB004]	PCFQ01000004.1 g2590 [Chlorella sp. A99]
OG0000062	KAF8063043.1 CCDC40 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2914 [Chlorella sp. A99]
OG0000064	KAF8072395.1 infB [Scenedesmus sp. PABB004], KAF8061073.1 translation initiation factor IF-2 [Scenedesmus sp. PABB004]	PCFQ01000002.1 g733 [Chlorella sp. A99]
OG0000064	KAF8068312.1 CUL4A [Scenedesmus sp. PABB004]	PCFQ01000018.1 g479 [Chlorella sp. A99]
OG0000064	KAF8071138.1 CUL3A [Scenedesmus sp. PABB004]	PCFQ01000002.1 g732 [Chlorella sp. A99]
OG0000065	KAF8060089.1 hypothetical protein HT031_005028 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1443 [Chlorella sp. A99], PCFQ01000079.1 g1442 [Chlorella sp. A99]
OG0000069	KAF8069631.1 HSP81-3 [Scenedesmus sp. PABB004]	PCFQ01000005.1 g800 [Chlorella sp. A99]
OG0000069	KAF8068330.1 HSP90-5 [Scenedesmus sp. PABB004]	PCFQ01000082.1 g619 [Chlorella sp. A99]
OG0000069	KAF8060354.1 HSP90B1 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g50 [Chlorella sp. A99]
OG0000071	KAF8066277.1 Camk1 [Scenedesmus sp. PABB004]	PCFQ01000046.1 g1858 [Chlorella sp. A99], PCFQ01000081.1 g1641 [Chlorella sp. A99], PCFQ01000079.1 g1436 [Chlorella sp. A99], PCFQ01000079.1 g1437 [Chlorella sp. A99], PCFQ01000058.1 g242 [Chlorella sp. A99]
OG0000071	KAF8055935.1 mlkA [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1323 [Chlorella sp. A99]
OG0000073	KAF8056137.1 hypothetical protein HT031_006488 [Scenedesmus sp. PABB004]	PCFQ01000073.1 g1975 [Chlorella sp. A99], PCFQ01000005.1 g782 [Chlorella sp. A99]
OG0000078	KAF8059208.1 PFK5 [Scenedesmus sp. PABB004]	PCFQ01000081.1 g1620 [Chlorella sp. A99]
OG0000078	KAF8067362.1 PFK5 [Scenedesmus sp. PABB004]	PCFQ01000001.1 g954 [Chlorella sp. A99]
OG0000078	KAF8065867.1 PFK5 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2872 [Chlorella sp. A99]
OG0000079	KAF8065619.1 HSP70 [Scenedesmus sp. PABB004], KAF8070942.1 HSP70 [Scenedesmus sp. PABB004]	PCFQ01000002.1 g739 [Chlorella sp. A99], PCFQ01000006.1 g3202 [Chlorella sp. A99]
OG0000079	KAF8060359.1 BIP5 [Scenedesmus sp. PABB004]	PCFQ01000058.1 g51 [Chlorella sp. A99]
OG0000082	KAF8057866.1 nek2 [Scenedesmus sp. PABB004]	PCFQ01000079.1 g1317 [Chlorella sp. A99], PCFQ01000004.1 g2633 [Chlorella sp. A99], PCFQ01000005.1 g842 [Chlorella sp. A99]
OG0000083	KAF8061293.1 puromycin-sensitive aminopeptidase [Scenedesmus sp. PABB004]	PCFQ01000031.1 g3095 [Chlorella sp. A99]
OG0000083	KAF8055757.1 Fam91a1 [Scenedesmus sp. PABB004]	PCFQ01000011.1 g2844 [Chlorella sp. A99]
OG0000084	KAF8072629.1 Cysteine synthase [Scenedesmus sp. PABB004]	PCFQ01000058.1 g283 [Chlorella sp. A99]
OG0000087	KAF8058038.1 uhpC [Scenedesmus sp. PABB004], KAF8068291.1 uhpC [Scenedesmus sp. PABB004]	PCFQ01000082.1 g584 [Chlorella sp. A99]
