Orthogroup	Chlorella_KRBP	Chlorella_Vulgaris2111P
OG0000005	QAXK01016321.1_1655-2667	KAI3429680.1 hypothetical protein D9Q98_005765 [Chlorella vulgaris], KAI3424375.1 hypothetical protein D9Q98_009928 [Chlorella vulgaris], KAI3424432.1 hypothetical protein D9Q98_009984 [Chlorella vulgaris], KAI3424402.1 hypothetical protein D9Q98_009955 [Chlorella vulgaris], KAI3428571.1 hypothetical protein D9Q98_007393 [Chlorella vulgaris], KAI3424353.1 hypothetical protein D9Q98_009906 [Chlorella vulgaris], KAI3424410.1 hypothetical protein D9Q98_009962 [Chlorella vulgaris], KAI3424383.1 hypothetical protein D9Q98_009936 [Chlorella vulgaris], KAI3428592.1 hypothetical protein D9Q98_007415 [Chlorella vulgaris], KAI3427071.1 hypothetical protein D9Q98_007011 [Chlorella vulgaris], KAI3429597.1 hypothetical protein D9Q98_005683 [Chlorella vulgaris]
OG0000013	QAXK01004822.1_8132-10307	KAI3426414.1 hypothetical protein D9Q98_008783 [Chlorella vulgaris], KAI3438615.1 hypothetical protein D9Q98_001038 [Chlorella vulgaris], KAI3438890.1 hypothetical protein D9Q98_001305 [Chlorella vulgaris], KAI3438617.1 hypothetical protein D9Q98_001040 [Chlorella vulgaris], KAI3438616.1 hypothetical protein D9Q98_001039 [Chlorella vulgaris], KAI3429786.1 hypothetical protein D9Q98_010099 [Chlorella vulgaris], KAI3438614.1 hypothetical protein D9Q98_001037 [Chlorella vulgaris]
OG0000049	QAXK01004561.1_5673-2644	KAI3438841.1 hypothetical protein D9Q98_001258 [Chlorella vulgaris], KAI3436640.1 hypothetical protein D9Q98_006056 [Chlorella vulgaris]
OG0000059	QAXK01009817.1_2794-231	KAI3430825.1 hypothetical protein D9Q98_009236 [Chlorella vulgaris], KAI3439001.1 hypothetical protein D9Q98_001413 [Chlorella vulgaris], KAI3428122.1 hypothetical protein D9Q98_006505 [Chlorella vulgaris], KAI3430446.1 hypothetical protein D9Q98_005041 [Chlorella vulgaris]
OG0000060	QAXK01006650.1_4897-1380	KAI3430814.1 hypothetical protein D9Q98_009225 [Chlorella vulgaris], KAI3433447.1 hypothetical protein D9Q98_003261 [Chlorella vulgaris], KAI3430812.1 hypothetical protein D9Q98_009223 [Chlorella vulgaris]
OG0000095	QAXK01000980.1_6477-3589	KAI3438528.1 hypothetical protein D9Q98_000956 [Chlorella vulgaris], KAI3428704.1 hypothetical protein D9Q98_007528 [Chlorella vulgaris], KAI3428469.1 hypothetical protein D9Q98_007294 [Chlorella vulgaris]
OG0000100	QAXK01004495.1_1525-5952	KAI3432619.1 hypothetical protein D9Q98_004165 [Chlorella vulgaris], KAI3432569.1 hypothetical protein D9Q98_004118 [Chlorella vulgaris], KAI3432618.1 hypothetical protein D9Q98_004164 [Chlorella vulgaris]
OG0000102	QAXK01002229.1_29280-27595	KAI3428153.1 hypothetical protein D9Q98_006537 [Chlorella vulgaris], KAI3429699.1 hypothetical protein D9Q98_005784 [Chlorella vulgaris]
OG0000106	QAXK01000521.1_8215-4849	KAI3429252.1 hypothetical protein D9Q98_005349 [Chlorella vulgaris], KAI3429253.1 hypothetical protein D9Q98_005350 [Chlorella vulgaris]
OG0000116	QAXK01010643.1_4647-4102	KAI3437889.1 hypothetical protein D9Q98_000334 [Chlorella vulgaris], KAI3430347.1 hypothetical protein D9Q98_004942 [Chlorella vulgaris]
