Orthogroup	Chlorella_Sorokiniana1602	Coccomyxa_SubellipsoideaC169
OG0000001	PRW32527.1 Acetylornithine chloroplastic mitochondrial [Chlorella sorokiniana]	EIE22175.1 hypothetical protein COCSUDRAFT_55870 [Coccomyxa subellipsoidea C-169]
OG0000002	PRW05741.1 reverse transcriptase_R [Chlorella sorokiniana]	EIE18168.1 hypothetical protein COCSUDRAFT_60541 [Coccomyxa subellipsoidea C-169]
OG0000003	PRW60465.1 expressed protein isoform B [Chlorella sorokiniana], PRW60464.1 expressed protein isoform A [Chlorella sorokiniana]	EIE23278.1 hypothetical protein COCSUDRAFT_47573 [Coccomyxa subellipsoidea C-169]
OG0000003	PRW56332.1 S-acyltransferase 24 [Chlorella sorokiniana]	EIE24971.1 hypothetical protein COCSUDRAFT_83664 [Coccomyxa subellipsoidea C-169]
OG0000003	PRW61115.1 hypothetical protein C2E21_0584 [Chlorella sorokiniana], PRW59533.1 hypothetical protein C2E21_1609 [Chlorella sorokiniana]	EIE27713.1 hypothetical protein COCSUDRAFT_55699 [Coccomyxa subellipsoidea C-169], EIE19265.1 hypothetical protein COCSUDRAFT_58561 [Coccomyxa subellipsoidea C-169]
OG0000003	PRW51158.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana], PRW51157.1 hypothetical protein C2E21_5422 [Chlorella sorokiniana], PRW39142.1 hypothetical protein C2E21_7125 [Chlorella sorokiniana], PRW59695.1 hypothetical protein C2E21_1633 [Chlorella sorokiniana], PRW60753.1 Zn2+-binding dehydrogenase [Chlorella sorokiniana], PRW50906.1 hypothetical protein C2E21_5437 [Chlorella sorokiniana], PRW45267.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW45268.1 hypothetical protein C2E21_6426 [Chlorella sorokiniana], PRW60261.1 Acyl-coenzyme A thioesterase THEM4 [Chlorella sorokiniana], PRW56718.1 hypothetical protein C2E21_4783 [Chlorella sorokiniana], PRW56397.1 hypothetical protein C2E21_4782 [Chlorella sorokiniana], PRW58582.1 hypothetical protein C2E21_3184 [Chlorella sorokiniana], PRW60976.1 hypothetical protein C2E21_0414 [Chlorella sorokiniana]	EIE27712.1 hypothetical protein COCSUDRAFT_55698 [Coccomyxa subellipsoidea C-169]
OG0000004	PRW50811.1 squamosa promoter binding [Chlorella sorokiniana]	EIE27634.1 SBP-domain-containing protein [Coccomyxa subellipsoidea C-169]
OG0000005	PRW60758.1 putative histone H2A variant 3 [Chlorella sorokiniana]	EIE20029.1 histone 2A variant [Coccomyxa subellipsoidea C-169]
OG0000006	PRW57168.1 kinase [Chlorella sorokiniana]	EIE18296.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000006	PRW32834.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW50860.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW51177.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57024.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW05806.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW39272.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW60541.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61477.1 Serine threonine- kinase CTR1 isoform A [Chlorella sorokiniana], PRW61478.1 Serine threonine- kinase CTR1 isoform B [Chlorella sorokiniana], PRW33300.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW60943.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW50839.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW44985.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33836.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33827.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58265.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61238.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33200.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57831.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57671.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57695.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW45340.1 TKL DRK kinase [Chlorella sorokiniana], PRW33991.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]	EIE20275.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20985.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000007	PRW60378.1 histone H2B [Chlorella sorokiniana], PRW32979.1 Histone [Chlorella sorokiniana], PRW56968.1 Histone [Chlorella sorokiniana], PRW33072.1 Histone [Chlorella sorokiniana], PRW57308.1 Histone [Chlorella sorokiniana], PRW20324.1 Histone [Chlorella sorokiniana], PRW56937.1 Histone isoform A [Chlorella sorokiniana], PRW57408.1 Histone [Chlorella sorokiniana], PRW56936.1 Histone isoform B [Chlorella sorokiniana], PRW32997.1 Histone [Chlorella sorokiniana], PRW33046.1 Histone [Chlorella sorokiniana], PRW33081.1 Histone [Chlorella sorokiniana], PRW57429.1 Histone [Chlorella sorokiniana], PRW57107.1 Histone [Chlorella sorokiniana]	EIE19157.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19113.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE23632.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21863.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19131.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE19100.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE21868.1 putative histone H2B_ partial [Coccomyxa subellipsoidea C-169], EIE18782.1 putative histone H2B [Coccomyxa subellipsoidea C-169]
OG0000008	PRW57167.1 Histone H4 [Chlorella sorokiniana], PRW32851.1 Histone H4 [Chlorella sorokiniana], PRW32932.1 Histone H4 isoform B [Chlorella sorokiniana], PRW20318.1 Histone H4 [Chlorella sorokiniana], PRW57322.1 Histone H4 [Chlorella sorokiniana], PRW32931.1 Histone H4 isoform A [Chlorella sorokiniana], PRW33013.1 Histone H4 [Chlorella sorokiniana], PRW57296.1 Histone H4 [Chlorella sorokiniana], PRW57363.1 Histone H4 [Chlorella sorokiniana], PRW32923.1 Histone H4 [Chlorella sorokiniana], PRW33065.1 Histone H4 [Chlorella sorokiniana], PRW57495.1 Histone H4 [Chlorella sorokiniana], PRW57273.1 Histone H4 [Chlorella sorokiniana]	EIE19112.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19132.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21862.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE23633.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE21869.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169], EIE19101.1 histone-fold-containing protein [Coccomyxa subellipsoidea C-169]
OG0000009	PRW32927.1 peritrophic membrane chitin binding [Chlorella sorokiniana]	EIE19508.1 hypothetical protein COCSUDRAFT_83559 [Coccomyxa subellipsoidea C-169], EIE27622.1 hypothetical protein COCSUDRAFT_39238 [Coccomyxa subellipsoidea C-169]
OG0000011	PRW56437.1 kinase [Chlorella sorokiniana], PRW55899.1 kinase [Chlorella sorokiniana], PRW59693.1 kinase [Chlorella sorokiniana]	EIE23922.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE23924.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE19365.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE26735.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18365.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE26174.1 hypothetical protein COCSUDRAFT_46522 [Coccomyxa subellipsoidea C-169], EIE18397.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE20425.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE20426.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE20544.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE22674.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE27156.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000011	PRW61362.1 laminin subunit alpha-2 isoform E [Chlorella sorokiniana]	EIE26632.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18704.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE18366.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE25815.1 kinase-like protein [Coccomyxa subellipsoidea C-169], EIE23923.1 hypothetical protein COCSUDRAFT_62452 [Coccomyxa subellipsoidea C-169]
OG0000012	PRW57380.1 histone H3 [Chlorella sorokiniana]	EIE21870.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19169.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE23634.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19102.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19133.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE19111.1 histone H3 [Coccomyxa subellipsoidea C-169], EIE21861.1 histone H3 [Coccomyxa subellipsoidea C-169]
OG0000013	PRW44937.1 sulfur stress regulator [Chlorella sorokiniana]	EIE18318.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000013	PRW58909.1 sulfur stress regulator [Chlorella sorokiniana]	EIE22391.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169]
OG0000013	PRW59234.1 sulfur stress regulator [Chlorella sorokiniana]	EIE20575.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE22449.1 sulfur stress regulator [Coccomyxa subellipsoidea C-169], EIE19481.1 kinase-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE22450.1 Serine/threonine-protein kinase SRK2J [Coccomyxa subellipsoidea C-169]
OG0000013	PRW60419.1 serine threonine- kinase [Chlorella sorokiniana]	EIE25930.1 kinase-like protein [Coccomyxa subellipsoidea C-169]
OG0000013	PRW58940.1 serine threonine- kinase Nek1 isoform X5 [Chlorella sorokiniana]	EIE22393.1 hypothetical protein COCSUDRAFT_42714 [Coccomyxa subellipsoidea C-169]
OG0000014	PRW56328.1 cyclophilin [Chlorella sorokiniana]	EIE18936.1 cyclophilin-like protein [Coccomyxa subellipsoidea C-169]
OG0000014	PRW59726.1 peptidyl-prolyl cis-trans isomerase CYP19-3 isoform X2 [Chlorella sorokiniana]	EIE20388.1 gcip-interacting family protein-like protein [Coccomyxa subellipsoidea C-169]
OG0000014	PRW45741.1 peptidyl-prolyl cis-trans isomerase CYP19-4 [Chlorella sorokiniana]	EIE22797.1 cyclophilin_ partial [Coccomyxa subellipsoidea C-169]
OG0000014	PRW57312.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Chlorella sorokiniana]	EIE27323.1 hypothetical protein COCSUDRAFT_11218_ partial [Coccomyxa subellipsoidea C-169]
OG0000014	PRW58429.1 Peptidyl-prolyl cis-trans isomerase [Chlorella sorokiniana]	EIE25709.1 hypothetical protein COCSUDRAFT_12651 [Coccomyxa subellipsoidea C-169]
OG0000016	PRW50795.1 polyubiquitin 3 isoform B [Chlorella sorokiniana], PRW50796.1 polyubiquitin 3 isoform A [Chlorella sorokiniana]	EIE19689.1 mitochondrial carrier_ partial [Coccomyxa subellipsoidea C-169]
OG0000016	PRW33690.1 ubiquitin-NEDD8 RUB2 [Chlorella sorokiniana]	EIE20101.1 hypothetical protein COCSUDRAFT_44063 [Coccomyxa subellipsoidea C-169]
OG0000016	PRW56465.1 ubiquitin-60S ribosomal L40 [Chlorella sorokiniana]	EIE25290.1 ubiquitin fusion protein_ partial [Coccomyxa subellipsoidea C-169]
OG0000016	PRW56057.1 polyubiquitin [Chlorella sorokiniana]	EIE26662.1 ubiquitin [Coccomyxa subellipsoidea C-169]
OG0000018	PRW56613.1 transcription factor MYB98-like [Chlorella sorokiniana]	EIE25106.1 Homeodomain-like protein_ partial [Coccomyxa subellipsoidea C-169], EIE24716.1 hypothetical protein COCSUDRAFT_46919 [Coccomyxa subellipsoidea C-169]
OG0000018	PRW56509.1 transcription factor Myb13 [Chlorella sorokiniana]	EIE25757.1 hypothetical protein COCSUDRAFT_12896_ partial [Coccomyxa subellipsoidea C-169]
