Orthogroup	Chlorella_Vulgaris2111P	Scenedesmus_NREL
OG0000001	KAI3426450.1 hypothetical protein D9Q98_008817 [Chlorella vulgaris], KAI3423840.1 hypothetical protein D9Q98_009676 [Chlorella vulgaris]	KAF6265258.1 hypothetical protein COO60DRAFT_1623924_ partial [Scenedesmus sp. NREL 46B-D3]
OG0000002	KAI3438351.1 hypothetical protein D9Q98_000783 [Chlorella vulgaris]	KAF6258605.1 hypothetical protein COO60DRAFT_1639043 [Scenedesmus sp. NREL 46B-D3], KAF6257144.1 flagellar associated protein [Scenedesmus sp. NREL 46B-D3]
OG0000003	KAI3424123.1 hypothetical protein D9Q98_009484 [Chlorella vulgaris]	KAF6261474.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3], KAF6265839.1 Alpha/Beta hydrolase protein [Scenedesmus sp. NREL 46B-D3]
OG0000003	KAI3432370.1 hypothetical protein D9Q98_003927 [Chlorella vulgaris], KAI3432358.1 hypothetical protein D9Q98_003915 [Chlorella vulgaris], KAI3424212.1 hypothetical protein D9Q98_009568 [Chlorella vulgaris], KAI3426970.1 hypothetical protein D9Q98_006914 [Chlorella vulgaris]	KAF6263597.1 SGNH hydrolase-type esterase domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6266240.1 hypothetical protein COO60DRAFT_1632898 [Scenedesmus sp. NREL 46B-D3], KAF6248448.1 hypothetical protein COO60DRAFT_1648906 [Scenedesmus sp. NREL 46B-D3]
OG0000003	KAI3427272.1 hypothetical protein D9Q98_007204 [Chlorella vulgaris], KAI3437643.1 hypothetical protein D9Q98_000094 [Chlorella vulgaris], KAI3430747.1 hypothetical protein D9Q98_009159 [Chlorella vulgaris], KAI3430596.1 hypothetical protein D9Q98_005189 [Chlorella vulgaris], KAI3428300.1 hypothetical protein D9Q98_006679 [Chlorella vulgaris], KAI3429368.1 hypothetical protein D9Q98_005463 [Chlorella vulgaris], KAI3429367.1 hypothetical protein D9Q98_005462 [Chlorella vulgaris], KAI3436557.1 hypothetical protein D9Q98_005973 [Chlorella vulgaris], KAI3428290.1 hypothetical protein D9Q98_006669 [Chlorella vulgaris], KAI3430755.1 hypothetical protein D9Q98_009167 [Chlorella vulgaris], KAI3428291.1 hypothetical protein D9Q98_006670 [Chlorella vulgaris], KAI3433380.1 hypothetical protein D9Q98_003196 [Chlorella vulgaris]	KAF6263598.1 phosphoribosyltransferase-like protein [Scenedesmus sp. NREL 46B-D3]
OG0000004	KAI3437670.1 hypothetical protein D9Q98_000120 [Chlorella vulgaris]	KAF6260400.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000004	KAI3424143.1 hypothetical protein D9Q98_009503 [Chlorella vulgaris], KAI3424061.1 hypothetical protein D9Q98_009424 [Chlorella vulgaris], KAI3425342.1 hypothetical protein D9Q98_009106 [Chlorella vulgaris]	KAF6264844.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3]
OG0000004	KAI3424328.1 hypothetical protein D9Q98_009881 [Chlorella vulgaris]	KAF6261352.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250912.1 SBP domain-containing protein_ partial [Scenedesmus sp. NREL 46B-D3]
OG0000004	KAI3426124.1 hypothetical protein D9Q98_008503 [Chlorella vulgaris]	KAF6251709.1 hypothetical protein COO60DRAFT_1644723 [Scenedesmus sp. NREL 46B-D3], KAF6262143.1 hypothetical protein COO60DRAFT_675428 [Scenedesmus sp. NREL 46B-D3], KAF6263211.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6259815.1 SBP domain-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6250952.1 hypothetical protein COO60DRAFT_706206 [Scenedesmus sp. NREL 46B-D3]
OG0000005	KAI3429597.1 hypothetical protein D9Q98_005683 [Chlorella vulgaris]	KAF6252076.1 hypothetical protein COO60DRAFT_1251114_ partial [Scenedesmus sp. NREL 46B-D3], KAF6252084.1 hypothetical protein COO60DRAFT_1257178_ partial [Scenedesmus sp. NREL 46B-D3], KAF6263025.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6254739.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3], KAF6240835.1 histone-fold-containing protein [Scenedesmus sp. NREL 46B-D3]
