Orthogroup	Scenedesmus_PABB004	Chlorella_Sorokiniana1602
OG0000002	KAF8059971.1 RE1 [Scenedesmus sp. PABB004]	PRW05741.1 reverse transcriptase_R [Chlorella sorokiniana]
OG0000002	KAF8056151.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8064476.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8057710.1 hypothetical protein HT031_005894 [Scenedesmus sp. PABB004], KAF8055039.1 hypothetical protein HT031_006855 [Scenedesmus sp. PABB004]	PRW61566.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform A [Chlorella sorokiniana], PRW61567.1 Retrovirus-related Pol poly from transposon TNT 1-94 isoform B [Chlorella sorokiniana]
OG0000002	KAF8054533.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8072702.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8056152.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8054650.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8054775.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055044.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055043.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055041.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055042.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8059219.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8063819.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8057297.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8060630.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8071195.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8071196.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8054843.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8057708.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8061284.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8054514.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004], KAF8055085.1 Retrovirus-related Pol polyprotein from transposon TNT 1-94 [Scenedesmus sp. PABB004]	PRW05739.1 Gag-Pol poly [Chlorella sorokiniana], PRW61569.1 Gag-Pol poly [Chlorella sorokiniana]
OG0000003	KAF8071037.1 hypothetical protein HT031_001119 [Scenedesmus sp. PABB004]	PRW60465.1 expressed protein isoform B [Chlorella sorokiniana], PRW60464.1 expressed protein isoform A [Chlorella sorokiniana]
OG0000003	KAF8072564.1 phosphoribosyl transferase [Scenedesmus sp. PABB004], KAF8062809.1 hypothetical protein HT031_004139 [Scenedesmus sp. PABB004], KAF8057926.1 hypothetical protein HT031_005872 [Scenedesmus sp. PABB004], KAF8057889.1 hypothetical protein HT031_005835 [Scenedesmus sp. PABB004], KAF8069512.1 ASAT1 [Scenedesmus sp. PABB004]	PRW61115.1 hypothetical protein C2E21_0584 [Chlorella sorokiniana], PRW59533.1 hypothetical protein C2E21_1609 [Chlorella sorokiniana]
OG0000004	KAF8073156.1 SPL3 [Scenedesmus sp. PABB004]	PRW50811.1 squamosa promoter binding [Chlorella sorokiniana]
OG0000004	KAF8071247.1 SPL14 [Scenedesmus sp. PABB004], KAF8059132.1 SPL1 [Scenedesmus sp. PABB004], KAF8073215.1 SPL8 [Scenedesmus sp. PABB004], KAF8073175.1 LG1 [Scenedesmus sp. PABB004], KAF8061149.1 SPL2 [Scenedesmus sp. PABB004], KAF8061148.1 SPL1 [Scenedesmus sp. PABB004], KAF8067136.1 hypothetical protein HT031_002183 [Scenedesmus sp. PABB004]	PRW20956.1 squamosa promoter-binding 8 [Chlorella sorokiniana], PRW60887.1 Squamosa promoter-binding 1 [Chlorella sorokiniana]
OG0000004	KAF8057876.1 SPL3 [Scenedesmus sp. PABB004], KAF8057875.1 SPL3 [Scenedesmus sp. PABB004]	PRW60923.1 squamosa promoter binding [Chlorella sorokiniana], PRW21082.1 Squamosa promoter-binding 16 [Chlorella sorokiniana]
OG0000006	KAF8069681.1 drkC [Scenedesmus sp. PABB004]	PRW57849.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57168.1 kinase [Chlorella sorokiniana], PRW32834.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW50860.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW51177.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57024.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW05806.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW39272.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW60541.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61477.1 Serine threonine- kinase CTR1 isoform A [Chlorella sorokiniana], PRW61478.1 Serine threonine- kinase CTR1 isoform B [Chlorella sorokiniana], PRW33300.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW60943.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW50839.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW44985.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33836.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33827.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW58265.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW61238.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW33200.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57831.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57671.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW57695.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana], PRW45340.1 TKL DRK kinase [Chlorella sorokiniana], PRW33991.1 Serine threonine- kinase CTR1 [Chlorella sorokiniana]
OG0000008	KAF8069669.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069673.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069657.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069678.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069686.1 Histone H4 [Scenedesmus sp. PABB004], KAF8069659.1 Histone H4 [Scenedesmus sp. PABB004]	PRW57167.1 Histone H4 [Chlorella sorokiniana], PRW32851.1 Histone H4 [Chlorella sorokiniana], PRW32932.1 Histone H4 isoform B [Chlorella sorokiniana], PRW20318.1 Histone H4 [Chlorella sorokiniana], PRW57322.1 Histone H4 [Chlorella sorokiniana], PRW32931.1 Histone H4 isoform A [Chlorella sorokiniana], PRW33013.1 Histone H4 [Chlorella sorokiniana], PRW57296.1 Histone H4 [Chlorella sorokiniana], PRW57363.1 Histone H4 [Chlorella sorokiniana], PRW32923.1 Histone H4 [Chlorella sorokiniana], PRW33065.1 Histone H4 [Chlorella sorokiniana], PRW57495.1 Histone H4 [Chlorella sorokiniana], PRW57273.1 Histone H4 [Chlorella sorokiniana]
OG0000011	KAF8066337.1 Map3k12 [Scenedesmus sp. PABB004]	PRW56437.1 kinase [Chlorella sorokiniana], PRW55899.1 kinase [Chlorella sorokiniana], PRW59693.1 kinase [Chlorella sorokiniana]
OG0000011	KAF8057650.1 DNA-directed RNA polymerase II subunit RPB7 [Scenedesmus sp. PABB004], KAF8057640.1 HT1 [Scenedesmus sp. PABB004], KAF8066284.1 Gucy1b1 [Scenedesmus sp. PABB004], KAF8072490.1 Map3k20 [Scenedesmus sp. PABB004]	PRW61362.1 laminin subunit alpha-2 isoform E [Chlorella sorokiniana]
OG0000012	KAF8069656.1 histone H3 [Scenedesmus sp. PABB004], KAF8069687.1 histone H3 [Scenedesmus sp. PABB004]	PRW57192.1 histone H3 [Chlorella sorokiniana]
OG0000012	KAF8069660.1 histone H3 [Scenedesmus sp. PABB004]	PRW57428.1 histone H3 [Chlorella sorokiniana]
OG0000012	KAF8069674.1 histone H3 [Scenedesmus sp. PABB004]	PRW32916.1 histone H3 [Chlorella sorokiniana], PRW57380.1 histone H3 [Chlorella sorokiniana], PRW59210.1 Histone [Chlorella sorokiniana]
OG0000013	KAF8060557.1 SRK2G [Scenedesmus sp. PABB004]	PRW20807.1 sulfur stress regulator [Chlorella sorokiniana], PRW33203.1 Serine threonine- kinase SAPK1 [Chlorella sorokiniana], PRW44937.1 sulfur stress regulator [Chlorella sorokiniana]
OG0000013	KAF8069392.1 SRK2A [Scenedesmus sp. PABB004]	PRW58909.1 sulfur stress regulator [Chlorella sorokiniana]
OG0000014	KAF8070918.1 PCKR1 [Scenedesmus sp. PABB004]	PRW59726.1 peptidyl-prolyl cis-trans isomerase CYP19-3 isoform X2 [Chlorella sorokiniana]
OG0000014	KAF8061127.1 CYP20-1 [Scenedesmus sp. PABB004]	PRW45741.1 peptidyl-prolyl cis-trans isomerase CYP19-4 [Chlorella sorokiniana]
OG0000014	KAF8055596.1 peptidyl-prolyl cis-trans isomerase [Scenedesmus sp. PABB004]	PRW57312.1 peptidylprolyl cis-trans cyclophilin-type domain containing [Chlorella sorokiniana]
OG0000014	KAF8066173.1 hypothetical protein HT031_002495 [Scenedesmus sp. PABB004]	PRW58429.1 Peptidyl-prolyl cis-trans isomerase [Chlorella sorokiniana]
OG0000014	KAF8056125.1 Ppib [Scenedesmus sp. PABB004]	PRW57025.1 peptidyl-prolyl cis-trans isomerase B [Chlorella sorokiniana]
OG0000015	KAF8064658.1 LINE-1 retrotransposable element ORF2 protein [Scenedesmus sp. PABB004]	PRW05686.1 reverse transcriptase_ partial [Chlorella sorokiniana], PRW05743.1 Pol [Chlorella sorokiniana], PRW05685.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW44387.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW45629.1 Pol isoform B [Chlorella sorokiniana], PRW45726.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW33714.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW18418.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW56112.1 ERD4-related membrane_ partial [Chlorella sorokiniana], PRW21010.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW60954.1 hypothetical protein C2E21_0274 [Chlorella sorokiniana], PRW60796.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW33265.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW56022.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW20585.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW50991.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW57871.1 Transposon TX1 uncharacterized 149 kDa [Chlorella sorokiniana], PRW58827.1 Pol [Chlorella sorokiniana], PRW56997.1 ERD4-related membrane [Chlorella sorokiniana], PRW34092.1 Pol [Chlorella sorokiniana], PRW45630.1 Pol isoform A [Chlorella sorokiniana]
OG0000016	KAF8073145.1 NDT1 [Scenedesmus sp. PABB004]	PRW50795.1 polyubiquitin 3 isoform B [Chlorella sorokiniana], PRW50796.1 polyubiquitin 3 isoform A [Chlorella sorokiniana]
OG0000016	KAF8056382.1 UBI3 [Scenedesmus sp. PABB004]	PRW56465.1 ubiquitin-60S ribosomal L40 [Chlorella sorokiniana]
OG0000016	KAF8064496.1 SDE2 [Scenedesmus sp. PABB004]	PRW45491.1 40S ribosomal S27 [Chlorella sorokiniana]
OG0000018	KAF8067115.1 MYB98 [Scenedesmus sp. PABB004]	PRW56613.1 transcription factor MYB98-like [Chlorella sorokiniana]
OG0000018	KAF8057715.1 MYB118 [Scenedesmus sp. PABB004]	PRW20403.1 Myb-related B isoform B [Chlorella sorokiniana], PRW20404.1 Myb-related B isoform A [Chlorella sorokiniana]
OG0000018	KAF8065600.1 hypothetical protein HT031_003201 [Scenedesmus sp. PABB004]	PRW44975.1 transcription factor MYB44-like [Chlorella sorokiniana]
OG0000018	KAF8056861.1 MYB44 [Scenedesmus sp. PABB004], KAF8058933.1 MYB73 [Scenedesmus sp. PABB004]	PRW56509.1 transcription factor Myb13 [Chlorella sorokiniana]
