Orthogroup	Scenedesmus_PABB004	Chlorella_KRBP
OG0000005	KAF8062745.1 histone H2A variant 2 [Scenedesmus sp. PABB004], KAF8069675.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069689.1 Histone H2A-IV [Scenedesmus sp. PABB004], KAF8069662.1 Histone H2A-IV [Scenedesmus sp. PABB004]	QAXK01016321.1_1655-2667
OG0000013	KAF8071107.1 ABCI12 [Scenedesmus sp. PABB004], KAF8060557.1 SRK2G [Scenedesmus sp. PABB004], KAF8069392.1 SRK2A [Scenedesmus sp. PABB004]	QAXK01004822.1_8132-10307
OG0000049	KAF8059417.1 MTK1 [Scenedesmus sp. PABB004], KAF8054828.1 hypothetical protein HT031_006922 [Scenedesmus sp. PABB004], KAF8054826.1 hypothetical protein HT031_006920 [Scenedesmus sp. PABB004], KAF8054637.1 hypothetical protein HT031_006962 [Scenedesmus sp. PABB004], KAF8060108.1 AGO3 [Scenedesmus sp. PABB004], KAF8054806.1 MTK1 [Scenedesmus sp. PABB004], KAF8054761.1 hypothetical protein HT031_006935 [Scenedesmus sp. PABB004], KAF8063770.1 PSAT1 [Scenedesmus sp. PABB004], KAF8055670.1 hypothetical protein HT031_006692 [Scenedesmus sp. PABB004], KAF8058310.1 drkD [Scenedesmus sp. PABB004], KAF8058311.1 hypothetical protein HT031_005627 [Scenedesmus sp. PABB004], KAF8063020.1 hypothetical protein HT031_003859 [Scenedesmus sp. PABB004], KAF8063012.1 ALKBH8 [Scenedesmus sp. PABB004], KAF8058952.1 MTK1 [Scenedesmus sp. PABB004], KAF8055466.1 methylthioribose-1-phosphate isomerase [Scenedesmus sp. PABB004]	QAXK01004561.1_5673-2644
OG0000059	KAF8062708.1 hypothetical protein HT031_004037 [Scenedesmus sp. PABB004]	QAXK01009817.1_2794-231
OG0000060	KAF8060352.1 dhkB [Scenedesmus sp. PABB004], KAF8063740.1 e2f7 [Scenedesmus sp. PABB004], KAF8062684.1 zinc finger protein BRUTUS-like [Scenedesmus sp. PABB004]	QAXK01006650.1_4897-1380
OG0000095	KAF8061343.1 utp25 [Scenedesmus sp. PABB004], KAF8062760.1 CRTISO2 [Scenedesmus sp. PABB004]	QAXK01000980.1_6477-3589
OG0000100	KAF8067279.1 RAD54B [Scenedesmus sp. PABB004], KAF8055929.1 RuBisCO large subunit-binding protein subunit alpha [Scenedesmus sp. PABB004], KAF8065914.1 RuBisCO large subunit-binding protein subunit beta [Scenedesmus sp. PABB004]	QAXK01004495.1_1525-5952
OG0000102	KAF8065477.1 hypothetical protein HT031_003078 [Scenedesmus sp. PABB004], KAF8066383.1 Glutamate synthase [NADH] [Scenedesmus sp. PABB004], KAF8055943.1 hypothetical protein HT031_006582 [Scenedesmus sp. PABB004]	QAXK01002229.1_29280-27595
OG0000106	KAF8061163.1 hypothetical protein HT031_004625 [Scenedesmus sp. PABB004], KAF8067300.1 hypothetical protein HT031_002348 [Scenedesmus sp. PABB004], KAF8067278.1 hypothetical protein HT031_002325 [Scenedesmus sp. PABB004]	QAXK01000521.1_8215-4849
OG0000126	KAF8062936.1 RASA4 [Scenedesmus sp. PABB004], KAF8059985.1 SQD2 [Scenedesmus sp. PABB004]	QAXK01000372.1_2577-4525
OG0000128	KAF8069375.1 YchF1 [Scenedesmus sp. PABB004]	QAXK01009125.1_10140-8059
OG0000137	KAF8072839.1 E3 ubiquitin-protein ligase [Scenedesmus sp. PABB004], KAF8073081.1 hypothetical protein HT031_000742 [Scenedesmus sp. PABB004]	QAXK01002137.1_9267-10854
OG0000152	KAF8067119.1 SIS8 [Scenedesmus sp. PABB004], KAF8072740.1 hypothetical protein HT031_000400 [Scenedesmus sp. PABB004]	QAXK01008299.1_4185-5535
OG0000163	KAF8056009.1 ADP-ribosylation factor [Scenedesmus sp. PABB004], KAF8069368.1 ARF1 [Scenedesmus sp. PABB004]	QAXK01013733.1_9353-8061
OG0000165	KAF8071130.1 CHY1 [Scenedesmus sp. PABB004], KAF8058896.1 E3 ubiquitin-protein ligase listerin [Scenedesmus sp. PABB004]	QAXK01004609.1_12369-13533
OG0000175	KAF8069362.1 RPL9 [Scenedesmus sp. PABB004], KAF8070975.1 MSL9 [Scenedesmus sp. PABB004]	QAXK01006319.1_3560-2355
