Orthogroup	Chlorella_A99	Auxenochlorella_protothecoides
OG0000001	PCFQ01000058.1 g261 [Chlorella sp. A99], PCFQ01000006.1 g3245 [Chlorella sp. A99]	RMZ53941.1 hypothetical protein APUTEX25_004966 [Auxenochlorella protothecoides]
OG0000004	PCFQ01000079.1 g1475 [Chlorella sp. A99]	RMZ54417.1 hypothetical protein APUTEX25_001993 [Auxenochlorella protothecoides], RMZ52284.1 hypothetical protein APUTEX25_001674 [Auxenochlorella protothecoides], RMZ52588.1 hypothetical protein APUTEX25_000707 [Auxenochlorella protothecoides], RMZ54530.1 hypothetical protein APUTEX25_001702_ partial [Auxenochlorella protothecoides], RMZ53046.1 hypothetical protein APUTEX25_001165 [Auxenochlorella protothecoides], RMZ55712.1 hypothetical protein APUTEX25_005753 [Auxenochlorella protothecoides], RMZ54640.1 hypothetical protein APUTEX25_003018 [Auxenochlorella protothecoides]
OG0000005	PCFQ01000015.1 g2977 [Chlorella sp. A99]	RMZ53759.1 hypothetical protein APUTEX25_003898 [Auxenochlorella protothecoides], RMZ52566.1 hypothetical protein APUTEX25_003709 [Auxenochlorella protothecoides], RMZ52574.1 hypothetical protein APUTEX25_003717_ partial [Auxenochlorella protothecoides], RMZ55637.1 hypothetical protein APUTEX25_000220_ partial [Auxenochlorella protothecoides], RMZ53009.1 hypothetical protein APUTEX25_001128_ partial [Auxenochlorella protothecoides]
OG0000005	PCFQ01000015.1 g3014 [Chlorella sp. A99]	RMZ54523.1 hypothetical protein APUTEX25_002099 [Auxenochlorella protothecoides]
OG0000006	PCFQ01000079.1 g1425 [Chlorella sp. A99]	RMZ56115.1 hypothetical protein APUTEX25_004539 [Auxenochlorella protothecoides]
OG0000007	PCFQ01000082.1 g581 [Chlorella sp. A99]	RMZ52176.1 hypothetical protein APUTEX25_001566 [Auxenochlorella protothecoides]
OG0000007	PCFQ01000018.1 g423 [Chlorella sp. A99], PCFQ01000015.1 g3043 [Chlorella sp. A99], PCFQ01000015.1 g3021 [Chlorella sp. A99], PCFQ01000015.1 g3000 [Chlorella sp. A99], PCFQ01000015.1 g3005 [Chlorella sp. A99], PCFQ01000015.1 g3025 [Chlorella sp. A99]	RMZ53786.1 hypothetical protein APUTEX25_003925 [Auxenochlorella protothecoides], RMZ55468.1 hypothetical protein APUTEX25_000051 [Auxenochlorella protothecoides], RMZ52472.1 hypothetical protein APUTEX25_003615 [Auxenochlorella protothecoides], RMZ52594.1 hypothetical protein APUTEX25_000713 [Auxenochlorella protothecoides]
OG0000008	PCFQ01000015.1 g3004 [Chlorella sp. A99]	RMZ52519.1 hypothetical protein APUTEX25_003662 [Auxenochlorella protothecoides], RMZ55557.1 hypothetical protein APUTEX25_000140 [Auxenochlorella protothecoides], RMZ56756.1 hypothetical protein APUTEX25_002845 [Auxenochlorella protothecoides]
OG0000008	PCFQ01000015.1 g3019 [Chlorella sp. A99]	RMZ54872.1 hypothetical protein APUTEX25_000389 [Auxenochlorella protothecoides]
OG0000008	PCFQ01000015.1 g3016 [Chlorella sp. A99]	RMZ52774.1 hypothetical protein APUTEX25_000893 [Auxenochlorella protothecoides]
OG0000013	PCFQ01000004.1 g2688 [Chlorella sp. A99]	RMZ57701.1 hypothetical protein APUTEX25_001901_ partial [Auxenochlorella protothecoides]
OG0000013	PCFQ01000004.1 g2624 [Chlorella sp. A99]	RMZ52931.1 hypothetical protein APUTEX25_001050 [Auxenochlorella protothecoides]
OG0000014	PCFQ01000058.1 g245 [Chlorella sp. A99]	RMZ57118.1 hypothetical protein APUTEX25_002350 [Auxenochlorella protothecoides]
OG0000014	PCFQ01000046.1 g1865 [Chlorella sp. A99]	RMZ52047.1 hypothetical protein APUTEX25_001241 [Auxenochlorella protothecoides]
OG0000016	PCFQ01000005.1 g825 [Chlorella sp. A99]	RMZ52516.1 hypothetical protein APUTEX25_003659 [Auxenochlorella protothecoides]
OG0000016	PCFQ01000001.1 g1003 [Chlorella sp. A99]	RMZ57375.1 hypothetical protein APUTEX25_004209 [Auxenochlorella protothecoides]
OG0000016	PCFQ01000004.1 g2689 [Chlorella sp. A99]	RMZ57690.1 hypothetical protein APUTEX25_001890 [Auxenochlorella protothecoides]
OG0000018	PCFQ01000008.1 g1163 [Chlorella sp. A99]	RMZ56462.1 hypothetical protein APUTEX25_004685 [Auxenochlorella protothecoides]
OG0000020	PCFQ01000079.1 g1504 [Chlorella sp. A99], PCFQ01000001.1 g998 [Chlorella sp. A99], PCFQ01000037.1 g2425 [Chlorella sp. A99]	RMZ57168.1 hypothetical protein APUTEX25_004002 [Auxenochlorella protothecoides], RMZ53879.1 hypothetical protein APUTEX25_005625_ partial [Auxenochlorella protothecoides], RMZ52155.1 hypothetical protein APUTEX25_001545 [Auxenochlorella protothecoides]
